year,England,East of England,East Midlands,London,North East,North West,South East,South West,West Midlands,Yorkshire and the Humber
2009,52196381,5751443,4611954,7942594,2575441,6986156,8350621,5226821,5528007,5223344
2010,52642452,5807402,4648408,8061495,2586868,7019921,8436434,5261270,5565866,5254788
2011,53107169,5862418,4679700,8204407,2596441,7055961,8510532,5300831,5608667,5288212
2012,53493729,5905914,4710734,8308833,2602387,7084470,8581992,5339739,5642763,5316897
2013,53865817,5951934,4742370,8417458,2610563,7103488,8649332,5377702,5675030,5337940
2014,54316618,6017250,4781889,8539398,2618736,7133026,8729485,5423278,5713439,5360117
2015,54786327,6075970,4822979,8666930,2624579,7175178,8803838,5471610,5755032,5390211
2016,55268067,6129005,4872025,8769659,2636589,7223961,8883712,5516973,5810773,5425370
2017,55619430,6168432,4919268,8825001,2644727,7258627,8933223,5559316,5860706,5450130
2018,55977178,6201214,4953310,8908081,2657909,7292093,8984464,5599735,5900757,5479615
2019,56286961,6236072,4986431,8961989,2669941,7341196,9029632,5624696,5934037,5502967
