,year,Cleveland,Durham,Northumbria,Cheshire,Cumbria,Greater Manchester,Lancashire,Merseyside,Humberside,North Yorkshire,South Yorkshire,West Yorkshire,Derbyshire,Leicestershire,Lincolnshire,Northamptonshire,Nottinghamshire,Staffordshire,Warwickshire,West Mercia,West Midlands,Bedfordshire,Cambridgeshire,Essex,Hertfordshire,Norfolk,Suffolk,City of London,Metropolitan Police,Hampshire,Kent,Surrey,Sussex,Thames Valley,Avon and Somerset,Devon and Cornwall,Dorset,Gloucestershire,Wiltshire
0,2009,554648,611666,1409127,1020832,500786,2639833,1452916,1371789,913088,788794,1323855,2197607,1008297,999380,705599,683464,1215214,1087139,542131,1211621,2687116,600586,785201,1704519,1096599,846355,718183,7472,7461878,1869067,1695499,1113665,1581993,2090397,1580383,1654361,730515,590480,671082
1,2010,555725,615656,1415487,1024715,500165,2661841,1457298,1375902,915263,794098,1332871,2212556,1014983,1008874,711805,688011,1224735,1092653,544166,1217109,2711938,608578,796661,1717620,1107641,852926,723976,7338,7570679,1886496,1714643,1125804,1596300,2113191,1590358,1661600,738077,594097,677138
2,2011,557444,618578,1420419,1028693,499817,2685386,1461295,1380770,918047,798989,1343805,2227371,1019631,1018387,714768,693967,1232947,1098265,546554,1224115,2739733,617125,806769,1729141,1119824,859426,730133,7412,7702631,1901813,1731351,1135367,1609080,2132921,1601701,1671475,745338,598289,684028
3,2012,558450,619764,1424173,1032183,499205,2701377,1465261,1386444,921052,803075,1352382,2240388,1024308,1025345,719184,700331,1241566,1101831,548320,1230725,2761887,624458,812504,1742012,1129291,864847,732802,6612,7797797,1915256,1748281,1144046,1622772,2151637,1616083,1682854,749754,602216,688832
4,2013,559966,621649,1428948,1035314,498499,2713572,1467960,1388143,921939,806837,1358520,2250644,1027951,1033339,724523,705655,1250902,1107031,549517,1236729,2781753,632750,817289,1755137,1140618,870296,735844,6031,7896555,1925263,1763803,1154136,1635835,2170295,1631349,1692722,753733,605959,693939
5,2014,561122,623450,1434164,1040060,498376,2730123,1470919,1393548,923888,808384,1366088,2261757,1032695,1043436,731886,713351,1260521,1110826,552450,1244272,2805891,642018,825679,1775471,1154195,877388,742499,6139,8007035,1939102,1782513,1164095,1651665,2192110,1646414,1706731,757843,611739,700551
6,2015,562260,625345,1436974,1044171,498581,2754017,1476893,1401516,925157,811801,1375457,2277796,1036957,1055798,737350,722167,1270707,1113912,555154,1251476,2834490,652378,835181,1790597,1165332,884748,747734,6687,8122991,1953349,1798276,1172382,1667619,2212212,1665286,1720201,762525,617527,706071
7,2016,564625,628103,1443861,1049306,498793,2780844,1483863,1411155,928474,816458,1385413,2295025,1042937,1068928,744811,732452,1282897,1120089,558991,1261142,2870551,661459,841310,1806944,1176386,891731,751175,7246,8215935,1969079,1817395,1180956,1683618,2232664,1682782,1732980,767297,623094,710820
8,2017,566150,630009,1448568,1054131,498375,2798799,1490497,1416825,929854,819796,1393445,2307035,1049000,1083226,751171,741209,1294662,1126203,564562,1272638,2897303,664600,847151,1820379,1180934,898390,756978,7654,8265489,1978789,1832252,1185321,1692767,2244094,1694986,1749096,770689,628139,716406
9,2018,567718,633546,1456645,1059271,498888,2812569,1498300,1423065,932085,824398,1402918,2320214,1053316,1093183,755833,747622,1303356,1131052,571010,1282237,2916458,669338,852523,1832752,1184365,903680,758556,8706,8340045,1985783,1846478,1189934,1703837,2258432,1711473,1762376,772268,633558,720060
10,2019,569141,636897,1463903,1066647,500012,2835686,1508941,1429910,932806,828672,1409020,2332469,1059996,1100306,761224,753278,1311627,1135935,577933,1291577,2928592,674992,855796,1846655,1189519,907760,761350,9721,8390028,1991738,1860111,1196236,1712094,2269453,1719029,1772541,773839,637070,722217
