,year,Barking and Dagenham,Barnet,Barnsley,Bath and North East Somerset,Bedfordshire,Bexley,Birmingham,Blackburn with Darwen,Blackpool,Bolton,Bournemouth and Poole,Bradford,Brent,Brighton and Hove,"Bristol, City of",Bromley,Buckinghamshire,Bury,Calderdale,Cambridgeshire,Camden,Cheshire,City of London and Hackney,Cornwall and Isles of Scilly,County Durham,Coventry,Croydon,Cumbria,Darlington,Derby,Derbyshire,Devon,Doncaster,Dorset,Dudley,Ealing,East Berkshire,East Riding of Yorkshire,East Sussex,Enfield,Essex,Gateshead,Gloucestershire,Greenwich,Halton and St. Helens,Hammersmith and Fulham,Hampshire,Haringey,Harrow,Hartlepool,Havering,"Herefordshire, County of",Hertfordshire,Hillingdon,Hounslow,Isle of Wight,Islington,Kensington and Chelsea,Kent,"Kingston upon Hull, City of",Kingston upon Thames,Kirklees,Knowsley,Lambeth,Lancashire,Leeds,Leicester,Leicestershire and Rutland,Lewisham,Lincolnshire,Liverpool,Luton,Manchester,Medway,Merton and Sutton,Middlesbrough,Milton Keynes,Newcastle upon Tyne,Newham,Norfolk,North East Lincolnshire,North Lincolnshire,North Somerset,North Tyneside,North Yorkshire and York,Northamptonshire,Northumberland,Nottingham,Nottinghamshire,Oldham,Oxfordshire,Peterborough,Plymouth,Portsmouth,Redbridge,Redcar and Cleveland,Richmond upon Thames,Rochdale,Rotherham,Salford,Sandwell,Sefton,Sheffield,Shropshire,Solihull,Somerset,South Gloucestershire,South Tyneside,Southampton,Southwark,Staffordshire,Stockport,Stockton-on-Tees,Stoke-on-Trent,Suffolk,Sunderland,Surrey,Swindon,Tameside and Glossop,Telford and Wrekin,Torbay,Tower Hamlets,Trafford,Wakefield,Walsall,Waltham Forest,Wandsworth,Warrington,Warwickshire,West Berkshire,West Sussex,Westminster,Wigan,Wiltshire,Wirral,Wolverhampton,Worcestershire
0,2009,11,20,32,22,28,11,130,37,53,65,64,61,25,92,78,16,35,17,21,48,40,59,31,55,57,34,8,44,11,33,60,85,30,32,24,27,57,16,62,20,108,39,50,19,37,24,93,24,12,14,8,14,63,19,14,13,39,23,126,50,15,52,3,51,157,87,36,40,32,80,91,20,98,28,30,21,18,56,20,126,30,18,45,30,55,69,32,27,36,33,67,32,64,22,15,16,9,34,21,37,19,34,54,14,13,51,15,26,21,39,61,19,20,42,57,32,70,22,23,11,23,42,16,49,14,14,17,22,43,12,60,34,46,22,46,13,47
1,2010,13,21,27,24,31,4,114,34,45,67,62,65,17,88,78,20,29,17,25,51,41,59,36,59,69,31,15,53,10,33,57,84,30,29,22,25,63,15,61,17,108,39,54,24,33,26,104,28,13,13,8,21,62,32,17,13,37,24,118,45,14,49,6,46,159,98,50,36,30,73,86,16,109,29,28,25,16,56,23,122,30,14,43,32,66,70,38,20,33,36,68,32,62,25,19,13,14,32,20,48,21,30,51,20,16,48,20,25,26,41,57,25,22,37,65,34,68,20,30,18,22,33,20,50,16,16,11,28,44,10,59,28,38,25,46,14,42
2,2011,9,25,19,26,28,6,89,36,39,59,48,60,17,78,74,13,31,21,21,50,35,48,34,52,64,31,20,51,7,30,69,84,29,23,19,29,58,20,60,15,125,44,58,23,27,28,101,22,12,17,10,24,54,35,16,8,35,20,117,42,6,45,6,38,157,95,48,36,25,62,88,11,99,27,26,26,15,54,16,94,26,16,30,31,78,67,32,12,29,35,64,26,58,30,16,11,14,32,18,53,22,35,52,21,13,50,15,20,29,26,54,31,23,30,73,40,76,17,30,19,12,24,23,35,15,17,17,23,41,10,58,32,44,23,37,14,44
3,2012,8,21,25,21,30,8,79,34,50,45,54,56,18,58,66,17,30,20,16,50,20,36,24,52,62,29,22,53,7,29,70,63,42,26,18,28,49,21,60,7,133,36,53,18,28,22,92,21,10,14,12,23,48,29,15,13,34,15,109,40,9,40,12,26,155,85,31,34,22,53,93,10,90,22,27,25,14,45,15,80,19,15,20,23,76,61,31,10,34,23,50,26,49,34,13,6,14,34,18,54,20,35,47,28,9,44,20,24,26,22,52,36,23,33,69,40,65,19,30,19,9,22,19,37,19,17,23,24,47,6,53,35,36,19,30,20,44
4,2013,6,17,22,18,31,9,93,36,56,46,56,57,18,65,65,19,32,18,20,49,22,42,21,55,71,39,18,58,10,37,74,57,54,31,22,27,48,20,59,8,145,32,51,15,28,19,86,22,10,17,13,17,62,14,18,18,29,18,111,41,12,38,10,22,149,76,25,37,22,54,109,13,85,29,21,23,13,51,11,79,15,16,16,17,80,58,21,14,43,21,37,23,41,42,11,6,8,35,20,43,19,42,56,27,4,49,18,26,29,24,69,44,26,40,73,46,66,20,32,11,10,21,23,35,18,12,26,24,40,12,47,37,32,18,28,19,45
5,2014,11,14,26,15,32,11,148,26,63,37,59,69,20,63,68,26,36,25,26,52,26,60,21,71,86,39,18,66,14,39,75,65,60,32,33,21,55,17,51,10,160,34,47,18,37,10,120,26,12,13,13,14,75,9,17,28,27,23,139,31,15,38,11,32,151,81,27,32,20,54,116,13,97,41,22,33,14,56,18,110,15,16,16,24,70,66,35,24,56,34,40,22,37,41,14,9,6,43,21,27,17,47,73,29,13,40,18,28,29,31,74,44,26,47,70,49,70,25,28,17,7,26,27,37,25,14,23,26,43,16,58,36,38,22,40,26,49
6,2015,9,23,29,19,34,13,161,29,76,50,66,81,24,65,80,24,35,22,30,60,39,75,30,76,93,44,25,70,13,42,84,73,50,38,40,24,59,14,61,11,182,37,54,29,40,17,129,43,14,25,11,19,85,16,18,25,35,22,189,30,13,44,10,42,167,120,27,29,25,58,109,13,106,50,25,39,16,63,20,121,16,17,22,33,88,71,39,26,64,37,50,31,39,55,15,19,12,42,32,32,18,47,101,25,13,50,15,29,36,35,90,40,36,58,79,47,76,21,33,24,5,35,28,50,31,18,18,32,47,20,69,42,52,30,49,26,59
7,2016,7,30,35,23,40,13,173,32,79,48,66,78,27,56,93,19,40,31,31,65,42,82,43,81,96,36,25,73,13,37,84,88,47,37,40,31,71,11,69,17,197,51,68,31,43,21,143,40,17,26,12,22,86,17,16,20,37,20,214,43,12,48,12,49,190,139,26,35,28,51,121,14,113,46,29,43,25,65,30,138,21,18,27,47,93,79,46,25,62,43,53,34,50,55,15,24,16,48,41,41,16,50,107,28,21,54,17,28,43,38,89,39,41,56,84,52,83,19,31,26,4,33,24,52,38,31,19,29,62,15,81,41,61,46,61,32,70
8,2017,7,33,37,28,43,10,163,37,73,51,81,81,24,74,86,15,36,29,26,67,52,85,50,75,103,37,25,77,14,35,96,84,44,43,32,32,63,10,84,13,183,49,74,27,43,23,130,44,13,39,12,22,80,17,20,28,40,20,204,57,9,53,18,44,200,159,34,43,33,60,135,19,113,35,22,41,27,59,27,135,32,15,28,45,125,89,39,22,60,45,49,30,52,52,14,37,18,46,51,51,13,42,96,31,22,70,18,24,46,40,95,33,57,57,84,58,85,17,32,19,12,28,16,62,40,29,21,30,70,15,82,33,64,48,61,28,72
9,2018,12,27,36,28,47,17,206,43,69,44,80,90,26,85,95,13,46,48,37,71,53,88,45,85,117,34,24,83,19,38,96,85,56,42,38,38,57,8,76,16,181,60,76,27,41,25,150,27,11,34,15,19,98,34,31,29,39,20,188,54,8,64,22,46,207,158,42,48,40,69,151,21,112,36,21,48,29,73,24,154,35,17,28,48,127,93,52,28,69,45,48,25,61,53,14,35,15,52,40,48,11,42,98,33,28,69,22,29,42,42,97,32,56,64,80,66,87,20,29,16,20,26,19,61,36,25,24,26,75,13,82,26,65,46,73,31,72
