year,Barking and Dagenham,Barnet,Barnsley,Bath and North East Somerset,Bedfordshire,Bexley,Birmingham,Blackburn with Darwen,Blackpool,Bolton,Bournemouth and Poole,Bradford,Brent,Brighton and Hove,"Bristol, City of",Bromley,Buckinghamshire,Bury,Calderdale,Cambridgeshire,Camden,Cheshire,City of London and Hackney,Cornwall and Isles of Scilly,County Durham,Coventry,Croydon,Cumbria,Darlington,Derby,Derbyshire,Devon,Doncaster,Dorset,Dudley,Ealing,East Berkshire,East Riding of Yorkshire,East Sussex,Enfield,Essex,Gateshead,Gloucestershire,Greenwich,Halton and St. Helens,Hammersmith and Fulham,Hampshire,Haringey,Harrow,Hartlepool,Havering,"Herefordshire, County of",Hertfordshire,Hillingdon,Hounslow,Isle of Wight,Islington,Kensington and Chelsea,Kent,"Kingston upon Hull, City of",Kingston upon Thames,Kirklees,Knowsley,Lambeth,Lancashire,Leeds,Leicester,Leicestershire and Rutland,Lewisham,Lincolnshire,Liverpool,Luton,Manchester,Medway,Merton and Sutton,Middlesbrough,Milton Keynes,Newcastle upon Tyne,Newham,Norfolk,North East Lincolnshire,North Lincolnshire,North Somerset,North Tyneside,North Yorkshire and York,Northamptonshire,Northumberland,Nottingham,Nottinghamshire,Oldham,Oxfordshire,Peterborough,Plymouth,Portsmouth,Redbridge,Redcar and Cleveland,Richmond upon Thames,Rochdale,Rotherham,Salford,Sandwell,Sefton,Sheffield,Shropshire,Solihull,Somerset,South Gloucestershire,South Tyneside,Southampton,Southwark,Staffordshire,Stockport,Stockton-on-Tees,Stoke-on-Trent,Suffolk,Sunderland,Surrey,Swindon,Tameside and Glossop,Telford and Wrekin,Torbay,Tower Hamlets,Trafford,Wakefield,Walsall,Waltham Forest,Wandsworth,Warrington,Warwickshire,West Berkshire,West Sussex,Westminster,Wigan,Wiltshire,Wirral,Wolverhampton,Worcestershire
2009,6.19,5.78,13.98,12.69,6.91,4.82,12.38,25.31,37.17,23.81,17.44,11.9,8.39,34.64,18.62,5.21,7.02,9.24,10.39,7.92,18.79,8.46,12.7,10.4,11.24,11.06,2.27,8.79,10.54,13.53,7.85,11.47,9.99,8.8,7.71,8.18,8.19,4.81,11.91,6.62,6.34,19.75,8.47,7.8,12.38,13.32,7.14,9.61,5.14,15.3,3.42,7.68,5.75,7.15,5.75,9.4,19.83,14.21,8.78,19.53,9.54,12.54,2.04,17.34,13.49,11.7,11.26,5.89,11.83,11.34,19.89,10.23,20.26,10.76,7.77,15.3,7.49,20.48,6.98,14.89,18.9,10.87,22.31,15.07,6.97,10.1,10.18,9.16,3.91,14.81,13.33,17.88,25.28,11.06,5.55,11.78,4.88,16.17,8.19,16.16,6.29,12.4,10.03,4.63,6.33,9.68,5.78,17.51,9.13,13.87,7.25,6.73,10.53,17.08,7.94,11.59,6.29,10.76,10.58,6.67,17.47,17.46,7.17,15.1,5.29,5.64,5.68,11.0,7.93,7.84,7.54,15.67,14.63,4.71,14.48,5.28,8.36
2010,7.11,5.98,11.74,13.77,7.58,1.73,10.74,23.13,31.52,24.35,16.59,12.55,5.58,32.65,18.44,6.48,5.77,9.2,12.31,8.29,19.09,8.45,14.45,11.09,13.51,9.95,4.19,10.6,9.52,13.36,7.42,11.29,9.96,7.96,7.05,7.48,8.95,4.5,11.65,5.53,6.29,19.62,9.09,9.63,11.0,14.38,7.92,11.08,5.47,14.17,3.39,11.48,5.6,11.88,6.82,9.4,18.49,14.96,8.13,17.57,8.82,11.71,4.1,15.45,13.62,13.11,15.39,5.26,11.01,10.26,18.64,8.02,22.13,11.04,7.21,18.16,6.52,20.24,7.69,14.3,18.87,8.41,21.19,15.99,8.31,10.17,12.05,6.67,3.57,16.09,13.4,17.61,24.39,12.33,6.91,9.6,7.51,15.18,7.79,20.7,6.86,10.96,9.36,6.57,7.75,9.08,7.65,16.84,11.15,14.45,6.74,8.85,11.52,14.96,8.98,12.32,6.04,9.66,13.71,10.87,16.74,13.28,8.88,15.36,6.0,6.3,3.63,13.91,8.09,6.5,7.35,12.89,12.01,5.32,14.42,5.65,7.45
2011,4.81,6.99,8.19,14.81,6.77,2.58,8.28,24.38,27.45,21.28,12.65,11.47,5.44,28.58,17.29,4.19,6.12,11.33,10.29,8.03,15.9,6.85,13.35,9.7,12.48,9.78,5.48,10.2,6.63,12.05,8.95,11.23,9.59,6.29,6.07,8.55,8.17,5.98,11.38,4.78,7.23,21.96,9.69,9.0,8.97,15.35,7.64,8.61,4.99,18.46,4.2,13.07,4.82,12.7,6.28,5.78,16.97,12.64,7.98,16.4,3.74,10.64,4.11,12.48,13.4,12.66,14.56,5.23,9.03,8.67,18.9,5.4,19.69,10.19,6.64,18.79,6.0,19.35,5.15,10.94,16.28,9.55,14.77,15.41,9.76,9.65,10.12,3.95,3.12,15.54,12.49,14.1,22.6,14.6,5.69,8.14,7.47,15.1,6.98,22.6,7.12,12.78,9.42,6.84,6.28,9.41,5.69,13.5,12.29,9.01,6.36,10.94,11.99,12.06,10.0,14.53,6.69,8.11,13.65,11.39,9.15,9.37,10.13,10.72,5.57,6.54,5.52,11.35,7.5,6.49,7.17,14.57,13.83,4.85,11.57,5.6,7.77
2012,4.2,5.77,10.69,11.85,7.16,3.41,7.28,23.0,35.2,16.12,14.11,10.68,5.72,21.04,15.24,5.41,5.87,10.74,7.8,7.99,8.9,5.12,9.27,9.62,12.06,8.99,5.96,10.62,6.63,11.57,9.05,8.37,13.87,7.09,5.74,8.23,6.84,6.25,11.3,2.21,7.63,17.98,8.8,6.92,9.27,12.08,6.91,8.14,4.13,15.17,5.01,12.42,4.25,10.31,5.8,9.36,16.09,9.56,7.36,15.56,5.51,9.4,8.22,8.4,13.19,11.22,9.34,4.9,7.84,7.37,19.78,4.87,17.63,8.2,6.83,18.02,5.54,15.96,4.74,9.25,11.89,8.91,9.78,11.42,9.46,8.71,9.79,3.24,3.64,10.19,9.67,13.93,19.01,16.46,4.57,4.45,7.41,16.04,6.97,22.79,6.43,12.78,8.43,9.08,4.34,8.22,7.51,16.18,10.9,7.5,6.1,12.69,11.95,13.21,9.42,14.51,5.68,8.97,13.62,11.32,6.85,8.35,8.32,11.28,7.02,6.48,7.43,11.78,8.57,3.88,6.5,15.64,11.29,3.98,9.36,7.97,7.73
2013,3.08,4.62,9.33,10.03,7.29,3.8,8.52,24.36,39.55,16.41,14.54,10.84,5.68,23.38,14.83,5.97,6.21,9.65,9.7,7.79,9.55,5.97,7.97,10.11,13.76,11.87,4.82,11.63,9.46,14.72,9.53,7.52,17.78,8.41,7.0,7.89,6.65,5.95,11.03,2.5,8.26,15.99,8.42,5.68,9.26,10.47,6.42,8.43,4.12,18.35,5.37,9.12,5.44,4.9,6.89,12.99,13.43,11.45,7.43,15.94,7.24,8.88,6.85,7.04,12.64,9.99,7.47,5.3,7.72,7.45,23.1,6.27,16.55,10.71,5.26,16.56,5.07,17.84,3.42,9.08,9.38,9.48,7.76,8.41,9.92,8.22,6.64,4.51,4.57,9.25,7.11,12.21,15.86,20.32,3.81,4.45,4.19,16.5,7.73,18.02,6.05,15.36,10.0,8.74,1.91,9.1,6.69,17.52,12.09,8.04,8.05,15.44,13.44,15.99,9.92,16.66,5.72,9.34,14.51,6.52,7.56,7.67,9.99,10.61,6.62,4.52,8.3,11.7,7.28,7.69,5.71,16.42,10.01,3.75,8.73,7.55,7.86
2014,5.54,3.75,10.93,8.28,7.41,4.58,13.44,17.64,44.71,13.18,15.19,13.08,6.25,22.45,15.32,8.08,6.91,13.35,12.56,8.19,11.02,8.49,7.8,12.95,16.62,11.64,4.77,13.24,13.22,15.46,9.61,8.5,19.71,8.66,10.45,6.12,7.54,5.04,9.44,3.08,9.01,16.93,7.68,6.7,12.18,5.5,8.89,9.83,4.89,14.04,5.28,7.46,6.5,3.09,6.44,20.1,12.19,14.57,9.21,12.04,8.91,8.84,7.51,10.11,12.77,10.58,7.98,4.54,6.89,7.38,24.44,6.19,18.7,15.01,5.47,23.74,5.38,19.42,5.49,12.54,9.37,9.46,7.69,11.83,8.66,9.25,11.05,7.63,5.92,14.9,7.62,11.55,14.2,19.71,4.76,6.66,3.1,20.19,8.07,11.18,5.37,17.16,12.96,9.33,6.18,7.38,6.64,18.85,11.98,10.24,8.61,15.36,13.37,18.73,9.43,17.7,6.01,11.57,12.69,10.01,5.25,9.14,11.62,11.15,9.13,5.23,7.27,12.58,7.78,10.21,6.98,15.66,11.83,4.54,12.44,10.27,8.51
2015,4.43,6.07,12.09,10.31,7.75,5.36,14.47,19.61,54.22,17.74,16.88,15.29,7.42,22.88,17.75,7.38,6.64,11.72,14.43,9.35,15.99,10.57,10.9,13.75,17.91,12.78,6.58,14.04,12.26,16.54,10.73,9.45,16.37,10.23,12.64,6.97,8.01,4.16,11.19,3.35,10.16,18.34,8.74,10.56,13.14,9.33,9.51,16.03,5.67,27.03,4.41,10.08,7.29,5.4,6.76,17.89,15.38,13.87,12.41,11.6,7.58,10.17,6.79,13.09,14.05,15.52,7.85,4.07,8.47,7.87,22.67,6.09,20.01,18.17,6.16,28.0,6.08,21.67,5.95,13.68,10.0,10.01,10.48,16.28,10.84,9.83,12.32,8.15,6.72,16.07,9.47,16.01,14.92,26.12,5.03,14.04,6.18,19.6,12.26,13.05,5.64,17.15,17.74,8.01,6.17,9.15,5.48,19.53,14.63,11.35,10.44,13.88,18.45,23.04,10.57,16.98,6.48,9.65,14.9,13.98,3.74,11.91,12.02,14.97,11.24,6.65,5.63,15.4,8.47,12.7,8.23,17.64,16.14,6.14,15.23,10.19,10.19
2016,3.36,7.8,14.47,12.3,8.98,5.3,15.34,21.55,56.44,16.93,16.75,14.65,8.27,19.5,20.4,5.8,7.5,16.45,14.83,10.08,16.86,11.5,15.33,14.53,18.4,10.19,6.52,14.64,12.23,14.44,10.68,11.3,15.29,9.91,12.6,8.99,9.56,3.26,12.56,5.12,10.9,25.17,10.91,11.11,14.06,11.55,10.48,14.7,6.84,28.0,4.74,11.61,7.31,5.67,5.96,14.26,15.94,12.76,13.89,16.54,6.91,11.03,8.11,15.17,15.89,17.8,7.44,4.87,9.37,6.85,24.82,6.48,20.87,16.61,7.1,30.64,9.39,22.13,8.71,15.48,13.14,10.54,12.75,23.09,11.39,10.79,14.49,7.7,6.47,18.51,9.97,17.28,19.06,25.78,4.98,17.71,8.2,22.19,15.64,16.52,4.96,18.19,18.64,8.91,9.9,9.79,6.14,18.77,17.17,12.19,10.27,13.46,20.92,22.08,11.18,18.75,7.03,8.69,13.89,14.97,2.98,10.97,10.25,15.43,13.63,11.3,5.91,13.88,11.09,9.46,9.56,16.94,18.85,9.35,18.93,12.4,12.0
2017,3.32,8.51,15.21,14.84,9.56,4.06,14.33,24.87,52.19,17.91,20.47,15.15,7.29,25.68,18.73,4.55,6.72,15.29,12.41,10.34,20.52,11.86,17.63,13.31,19.67,10.27,6.5,15.45,13.16,13.62,12.12,10.67,14.24,11.47,10.02,9.34,8.43,2.96,15.21,3.91,10.05,24.21,11.78,9.55,14.01,12.57,9.48,16.22,5.22,41.93,4.69,11.52,6.77,5.62,7.43,19.86,17.02,12.84,13.12,21.87,5.15,12.12,12.12,13.58,16.64,20.26,9.62,5.89,10.95,7.99,27.46,8.85,20.71,12.61,5.38,29.15,10.09,19.94,7.76,15.03,20.02,8.76,13.16,22.01,15.25,12.01,12.22,6.68,6.21,19.25,9.16,15.08,19.77,24.22,4.64,27.2,9.2,21.06,19.36,20.29,3.99,15.3,16.62,9.77,10.28,12.61,6.45,16.05,18.23,12.73,10.91,11.34,29.01,22.32,11.1,20.92,7.17,7.71,14.28,10.81,8.87,9.09,6.79,18.19,14.22,10.53,6.5,14.31,12.4,9.47,9.62,13.48,19.71,9.68,18.9,10.77,12.24
2018,5.66,6.89,14.68,14.58,10.32,6.88,18.05,28.87,49.53,15.42,20.21,16.75,7.86,29.27,20.5,3.93,8.52,25.25,17.61,10.9,20.21,12.2,15.6,14.96,22.2,9.27,6.23,16.64,17.83,14.78,12.06,10.69,18.03,11.16,11.85,11.11,7.57,2.36,13.7,4.79,9.88,29.63,12.0,9.43,13.29,13.48,10.9,9.98,4.4,36.46,5.82,9.89,8.27,11.15,11.45,20.49,16.31,12.8,11.99,20.72,4.56,14.59,14.71,14.11,17.11,20.02,11.82,6.5,13.18,9.13,30.52,9.81,20.45,12.96,5.11,34.15,10.8,24.32,6.82,17.04,21.9,9.88,13.09,23.3,15.41,12.44,16.24,8.46,7.1,19.1,8.92,12.44,23.19,24.64,4.61,25.6,7.62,23.64,15.11,18.87,3.36,15.25,16.82,10.3,13.03,12.33,7.78,19.3,16.61,13.24,11.08,10.97,28.4,25.02,10.55,23.79,7.31,9.01,12.88,9.0,14.73,8.18,8.04,17.68,12.7,9.04,7.35,12.41,13.13,8.2,9.55,10.18,19.93,9.24,22.58,11.83,12.16
