,year,Cleveland,Durham,Northumbria,Cheshire,Cumbria,Greater Manchester,Lancashire,Merseyside,Humberside,North Yorkshire,South Yorkshire,West Yorkshire,Derbyshire,Leicestershire,Lincolnshire,Northamptonshire,Nottinghamshire,Staffordshire,Warwickshire,West Mercia,West Midlands,Bedfordshire,Cambridgeshire,Essex,Hertfordshire,Norfolk,Suffolk,City of London,Metropolitan Police,Hampshire,Kent,Surrey,Sussex,Thames Valley,Avon and Somerset,Devon and Cornwall,Dorset,Gloucestershire,Wiltshire
0,2009,12.8,11.12,15.26,11.56,8.79,14.7,17.0,12.68,12.49,6.97,10.35,12.29,9.22,7.6,11.34,10.1,5.18,9.47,7.93,7.1,9.19,7.99,10.19,6.34,5.75,14.89,7.94,414.88,9.09,7.97,9.08,6.29,13.53,9.04,13.35,13.72,13.14,8.47,6.56
1,2010,13.14,12.83,15.82,11.71,10.6,15.85,16.33,12.21,11.36,8.31,9.6,12.97,8.87,8.52,10.26,10.17,4.33,8.6,8.09,8.3,8.63,7.72,10.42,6.29,5.6,14.3,8.98,490.6,9.05,8.91,8.57,6.04,13.03,8.8,13.39,13.66,12.33,9.09,6.65
2,2011,13.81,11.48,15.56,9.53,10.2,15.9,15.88,12.02,11.33,9.76,8.78,11.49,9.71,8.25,8.67,9.65,3.33,7.65,7.5,8.82,7.41,6.32,9.42,7.23,4.82,10.94,10.0,458.72,8.14,8.83,8.32,6.69,12.18,8.35,12.17,12.32,9.53,9.69,5.85
3,2012,12.18,11.13,13.97,8.53,10.62,14.33,16.31,12.26,10.31,9.46,9.76,10.44,9.67,6.34,7.37,8.71,3.54,7.71,8.57,9.26,7.02,6.41,9.35,7.63,4.25,9.25,9.42,362.98,7.31,8.62,7.49,5.68,10.54,6.92,10.58,10.28,10.67,8.8,5.52
4,2013,12.86,13.03,13.51,9.08,11.63,13.97,16.42,13.62,9.98,9.92,11.19,10.04,10.8,6.0,7.45,8.22,4.56,9.85,7.28,8.09,7.69,6.95,8.81,8.26,5.44,9.08,9.92,348.2,6.7,9.09,7.94,5.72,10.45,6.54,10.18,9.63,11.54,8.42,5.48
5,2014,14.44,16.04,15.76,11.83,13.24,14.65,16.32,15.36,8.55,8.66,13.18,11.1,11.04,5.65,7.38,9.25,6.35,10.89,7.78,8.76,10.73,7.01,8.96,9.01,6.5,12.54,9.43,342.08,7.11,11.24,10.1,6.01,10.41,7.34,9.54,10.55,12.01,7.68,6.71
6,2015,21.16,16.95,17.26,14.08,14.04,16.05,18.42,15.34,8.32,10.84,15.41,14.27,12.15,5.3,7.87,9.83,7.08,13.29,8.47,10.15,11.75,7.2,10.9,10.16,7.29,13.68,10.57,448.63,8.58,12.54,13.29,6.48,11.69,8.14,11.17,11.22,13.64,8.74,7.22
7,2016,23.73,17.35,20.02,14.68,14.64,17.22,20.28,17.29,10.02,11.39,16.6,15.16,11.6,5.71,6.85,10.79,6.78,12.95,11.09,11.58,12.4,8.16,11.77,10.9,7.31,15.48,11.18,593.43,9.29,13.25,14.31,7.03,12.24,9.14,12.72,12.87,13.42,10.91,9.14
8,2017,30.73,18.57,18.92,14.99,15.45,17.15,20.8,18.07,12.26,15.25,16.36,16.51,12.49,7.11,7.99,12.01,6.33,13.5,12.4,11.32,11.56,9.33,11.45,10.05,6.77,15.03,11.1,653.25,9.01,12.94,13.04,7.17,14.18,8.47,13.57,12.75,16.09,11.78,9.07
9,2018,30.47,21.47,22.52,14.63,16.64,17.56,21.29,20.24,12.23,15.41,16.39,17.67,12.72,8.23,9.13,12.44,7.44,14.23,13.13,10.92,13.17,10.16,11.26,9.88,8.27,17.04,10.55,516.88,9.18,13.8,12.13,7.31,14.26,8.55,14.14,14.24,15.8,12.0,9.17
