,year,Barking and Dagenham,Barnet,Barnsley,Bath and North East Somerset,Bedfordshire,Bexley,Birmingham,Blackburn with Darwen,Blackpool,Bolton,Bournemouth and Poole,Bradford,Brent,Brighton and Hove,"Bristol, City of",Bromley,Buckinghamshire,Bury,Calderdale,Cambridgeshire,Camden,Cheshire,City of London and Hackney,Cornwall and Isles of Scilly,County Durham,Coventry,Croydon,Cumbria,Darlington,Derby,Derbyshire,Devon,Doncaster,Dorset,Dudley,Ealing,East Berkshire,East Riding of Yorkshire,East Sussex,Enfield,Essex,Gateshead,Gloucestershire,Greenwich,Halton and St. Helens,Hammersmith and Fulham,Hampshire,Haringey,Harrow,Hartlepool,Havering,"Herefordshire, County of",Hertfordshire,Hillingdon,Hounslow,Isle of Wight,Islington,Kensington and Chelsea,Kent,"Kingston upon Hull, City of",Kingston upon Thames,Kirklees,Knowsley,Lambeth,Lancashire,Leeds,Leicester,Leicestershire and Rutland,Lewisham,Lincolnshire,Liverpool,Luton,Manchester,Medway,Merton and Sutton,Middlesbrough,Milton Keynes,Newcastle upon Tyne,Newham,Norfolk,North East Lincolnshire,North Lincolnshire,North Somerset,North Tyneside,North Yorkshire and York,Northamptonshire,Northumberland,Nottingham,Nottinghamshire,Oldham,Oxfordshire,Peterborough,Plymouth,Portsmouth,Redbridge,Redcar and Cleveland,Richmond upon Thames,Rochdale,Rotherham,Salford,Sandwell,Sefton,Sheffield,Shropshire,Solihull,Somerset,South Gloucestershire,South Tyneside,Southampton,Southwark,Staffordshire,Stockport,Stockton-on-Tees,Stoke-on-Trent,Suffolk,Sunderland,Surrey,Swindon,Tameside and Glossop,Telford and Wrekin,Torbay,Tower Hamlets,Trafford,Wakefield,Walsall,Waltham Forest,Wandsworth,Warrington,Warwickshire,West Berkshire,West Sussex,Westminster,Wigan,Wiltshire,Wirral,Wolverhampton,Worcestershire
0,2009,15,37,47,27,39,19,163,47,67,90,78,79,35,121,111,28,54,33,32,77,51,91,44,72,76,47,22,74,17,48,87,113,37,44,31,36,79,34,80,30,176,45,79,30,54,36,148,32,23,17,18,26,108,31,23,21,59,41,204,74,19,63,8,58,228,126,59,72,40,124,115,30,142,44,47,26,29,68,37,185,36,22,54,55,77,113,47,51,79,45,96,39,79,29,28,28,13,52,31,46,29,47,76,25,16,72,21,32,35,47,100,32,27,52,94,46,107,36,43,16,33,57,26,56,29,23,28,33,68,15,98,52,63,47,62,27,75
1,2010,20,34,44,30,47,11,150,45,56,89,75,79,28,114,104,33,48,29,38,76,50,90,48,81,95,48,28,78,17,47,79,114,37,40,34,36,85,34,77,29,187,45,83,36,54,38,171,37,21,16,22,30,109,47,29,18,56,40,180,63,18,61,14,54,234,135,73,77,37,105,111,26,160,42,43,30,26,68,37,174,37,18,56,57,90,110,54,40,74,49,94,37,78,30,33,23,21,47,26,62,34,41,68,28,19,72,28,34,38,50,99,41,31,50,98,50,108,35,58,27,35,41,33,55,30,24,26,41,68,12,90,47,53,51,60,29,74
2,2011,17,36,36,30,45,13,123,49,48,85,64,74,26,106,93,26,47,32,29,67,49,75,42,71,98,52,35,73,14,41,88,116,38,33,32,44,78,35,80,23,230,53,86,36,43,44,165,30,16,21,19,32,98,53,31,15,54,32,169,53,12,57,16,46,228,133,73,69,36,93,114,19,140,39,36,30,22,69,31,149,35,23,43,50,102,109,50,34,66,49,93,31,71,40,30,16,25,49,23,69,38,49,64,30,16,76,24,30,41,35,97,48,32,41,96,56,120,35,59,32,27,30,32,45,28,25,29,38,67,13,80,49,58,49,53,26,78
3,2012,20,33,42,26,48,16,110,45,60,64,73,73,24,87,86,28,54,24,21,66,38,62,38,70,97,45,39,80,15,39,91,94,56,38,32,48,80,35,88,14,247,43,93,32,45,32,149,29,11,18,21,32,93,45,31,20,50,18,158,55,16,53,22,36,231,123,49,69,37,87,115,19,136,35,39,31,18,62,23,125,28,20,32,44,97,100,51,30,84,36,74,33,64,44,28,9,27,48,24,72,35,54,60,38,13,69,29,32,37,30,90,48,27,48,93,56,105,40,60,32,21,33,28,48,33,24,37,37,69,8,76,52,51,42,55,28,71
4,2013,16,34,39,24,43,22,123,46,66,62,83,87,23,88,84,29,55,27,29,70,44,77,40,73,111,53,38,87,18,44,96,95,66,41,34,43,82,36,86,16,258,40,84,25,43,32,140,30,12,22,21,27,102,26,29,26,46,21,177,63,20,55,20,31,230,113,45,68,38,95,140,21,127,45,34,28,18,70,24,135,26,22,22,37,108,106,53,39,86,38,67,29,52,55,25,10,20,46,33,59,32,66,85,37,6,80,24,33,47,30,104,59,28,54,98,60,111,43,55,22,23,39,30,49,30,18,39,36,62,15,75,48,48,38,62,29,67
5,2014,23,36,42,23,42,24,191,35,74,48,82,105,24,79,92,33,62,35,37,75,43,94,40,102,126,47,34,103,22,48,107,115,70,44,48,32,92,38,76,23,265,46,79,31,58,18,194,36,14,17,23,25,109,17,25,33,43,28,222,61,22,55,20,41,234,108,49,61,36,100,144,20,136,64,34,48,17,81,31,169,25,19,23,38,102,105,67,52,110,56,72,33,55,53,27,14,14,59,38,41,26,75,103,35,20,72,28,35,58,35,104,60,36,62,104,66,122,44,49,29,28,50,39,54,39,18,42,36,69,18,92,46,60,40,74,38,68
6,2015,18,51,52,26,41,27,208,38,88,64,94,115,31,83,109,33,62,35,42,82,52,121,50,122,141,54,47,102,19,50,118,131,57,48,57,36,90,36,91,23,288,50,77,42,59,29,205,54,19,31,23,32,120,27,29,31,55,28,274,60,24,66,22,51,240,151,52,53,37,107,150,20,143,72,37,56,21,96,36,181,29,23,31,46,122,109,77,59,114,60,87,42,64,75,25,24,22,58,53,46,33,78,129,30,22,84,26,36,66,47,129,61,47,70,111,67,132,36,54,37,26,60,39,78,45,29,36,43,78,23,112,54,76,52,81,43,78
7,2016,23,55,59,29,49,24,225,42,94,66,97,104,33,76,119,28,72,41,39,92,54,122,56,136,133,45,43,113,19,47,120,150,57,51,57,50,107,44,108,25,306,65,101,46,64,30,220,53,22,32,23,35,125,27,29,26,52,30,305,77,26,66,27,59,265,170,51,66,40,101,155,20,148,73,44,65,29,102,50,208,33,28,38,65,130,117,77,56,118,63,82,47,89,78,26,28,25,71,62,55,36,84,120,32,33,84,29,41,70,53,128,57,57,66,122,70,142,35,47,38,28,53,37,83,53,46,41,41,94,19,125,58,84,70,82,47,92
8,2017,20,55,67,34,55,22,205,46,94,70,121,99,32,96,113,25,70,41,32,98,65,131,65,128,140,53,45,129,19,43,119,152,58,61,49,49,108,45,129,17,288,64,107,36,64,38,200,58,19,46,23,34,120,26,37,37,52,31,306,109,21,69,35,54,283,203,53,82,46,123,182,35,151,60,41,57,34,92,45,203,47,30,37,71,164,130,77,53,123,60,74,38,95,83,24,43,26,65,71,72,39,80,115,34,29,97,24,39,64,62,140,53,66,68,121,80,136,34,50,28,36,42,26,93,54,45,44,44,97,21,124,53,80,73,79,40,91
9,2018,25,42,67,34,62,26,252,53,94,67,114,116,35,99,118,22,74,60,46,115,68,125,52,138,153,54,40,142,26,44,126,160,76,64,56,60,112,49,127,28,294,86,111,36,69,48,226,40,17,40,22,26,155,41,47,38,57,31,308,112,19,78,39,62,299,207,64,89,53,135,188,37,146,63,47,64,36,108,40,235,48,36,36,79,171,134,91,65,141,59,65,37,105,87,23,46,25,68,55,66,38,76,122,42,33,101,25,48,63,63,144,51,69,76,124,93,136,37,48,25,51,39,30,89,46,36,47,42,98,19,119,48,81,63,85,42,95
