,year,Barking and Dagenham,Barnet,Barnsley,Bath and North East Somerset,Bedfordshire,Bexley,Birmingham,Blackburn with Darwen,Blackpool,Bolton,Bournemouth and Poole,Bradford,Brent,Brighton and Hove,"Bristol, City of",Bromley,Buckinghamshire,Bury,Calderdale,Cambridgeshire,Camden,Cheshire,City of London and Hackney,Cornwall and Isles of Scilly,County Durham,Coventry,Croydon,Cumbria,Darlington,Derby,Derbyshire,Devon,Doncaster,Dorset,Dudley,Ealing,East Berkshire,East Riding of Yorkshire,East Sussex,Enfield,Essex,Gateshead,Gloucestershire,Greenwich,Halton and St. Helens,Hammersmith and Fulham,Hampshire,Haringey,Harrow,Hartlepool,Havering,"Herefordshire, County of",Hertfordshire,Hillingdon,Hounslow,Isle of Wight,Islington,Kensington and Chelsea,Kent,"Kingston upon Hull, City of",Kingston upon Thames,Kirklees,Knowsley,Lambeth,Lancashire,Leeds,Leicester,Leicestershire and Rutland,Lewisham,Lincolnshire,Liverpool,Luton,Manchester,Medway,Merton and Sutton,Middlesbrough,Milton Keynes,Newcastle upon Tyne,Newham,Norfolk,North East Lincolnshire,North Lincolnshire,North Somerset,North Tyneside,North Yorkshire and York,Northamptonshire,Northumberland,Nottingham,Nottinghamshire,Oldham,Oxfordshire,Peterborough,Plymouth,Portsmouth,Redbridge,Redcar and Cleveland,Richmond upon Thames,Rochdale,Rotherham,Salford,Sandwell,Sefton,Sheffield,Shropshire,Solihull,Somerset,South Gloucestershire,South Tyneside,Southampton,Southwark,Staffordshire,Stockport,Stockton-on-Tees,Stoke-on-Trent,Suffolk,Sunderland,Surrey,Swindon,Tameside and Glossop,Telford and Wrekin,Torbay,Tower Hamlets,Trafford,Wakefield,Walsall,Waltham Forest,Wandsworth,Warrington,Warwickshire,West Berkshire,West Sussex,Westminster,Wigan,Wiltshire,Wirral,Wolverhampton,Worcestershire
0,2009,2.68,0.89,3.92,5.18,0.59,1.6,0.14,15.04,23.12,4.42,1.58,0.59,1.32,6.46,1.51,0.97,0.44,5.31,3.88,0.34,5.28,0.27,3.03,0.49,0.58,1.62,0.5,0.59,14.96,3.3,0.19,0.28,1.37,0.92,1.03,1.0,0.23,0.92,0.57,1.09,0.04,5.84,0.38,2.07,2.02,6.16,0.07,2.05,1.81,22.17,1.4,4.29,0.08,1.65,1.59,7.93,7.75,9.67,0.07,4.41,4.88,0.88,2.52,2.28,0.14,0.31,1.8,0.23,2.02,0.35,1.2,4.02,1.25,2.5,0.82,10.05,2.09,3.33,1.57,0.3,9.01,4.85,6.58,6.98,0.16,0.35,1.51,1.99,0.1,4.07,0.76,6.81,4.87,3.68,1.42,11.17,2.07,5.59,1.84,3.83,1.05,2.28,0.49,0.91,1.84,0.49,1.2,9.77,2.88,2.12,0.17,1.42,3.94,3.5,0.25,2.18,0.08,4.22,4.19,3.57,14.46,4.1,2.34,1.64,1.56,1.51,1.04,4.12,0.43,4.18,0.19,5.09,2.03,0.46,1.93,1.81,0.42
1,2010,3.27,0.78,3.61,5.67,0.69,0.9,0.13,14.17,19.25,4.27,1.44,0.57,0.99,5.83,1.37,1.12,0.38,4.6,4.54,0.33,5.05,0.26,3.11,0.54,0.71,1.58,0.61,0.62,14.67,3.12,0.17,0.28,1.35,0.83,1.12,0.97,0.24,0.91,0.54,1.0,0.04,5.73,0.4,2.33,2.0,6.43,0.08,2.29,1.57,20.69,1.67,4.91,0.08,2.4,1.87,6.79,6.99,9.68,0.06,3.75,4.51,0.83,4.46,2.05,0.15,0.32,2.13,0.24,1.83,0.29,1.13,3.27,1.34,2.32,0.73,11.5,1.76,3.21,1.38,0.28,9.22,3.9,6.7,7.11,0.18,0.34,1.72,1.48,0.09,4.37,0.72,6.16,4.75,3.6,1.58,9.27,3.25,5.02,1.53,4.97,1.19,2.0,0.42,0.99,2.16,0.49,1.57,10.39,3.0,2.19,0.16,1.82,4.46,3.3,0.26,2.38,0.08,3.95,5.54,5.94,15.41,2.67,2.89,1.59,1.58,1.46,0.94,5.03,0.42,3.29,0.17,4.59,1.68,0.49,1.85,1.91,0.41
2,2011,2.6,0.79,2.89,5.55,0.64,1.03,0.1,15.22,16.74,3.98,1.17,0.52,0.86,5.21,1.19,0.87,0.36,5.02,3.4,0.28,4.59,0.22,2.55,0.46,0.73,1.63,0.72,0.58,11.9,2.66,0.19,0.28,1.37,0.68,1.04,1.13,0.22,0.94,0.55,0.74,0.04,6.59,0.4,2.16,1.57,7.25,0.07,1.8,1.15,26.89,1.41,5.17,0.07,2.53,1.87,5.66,6.15,8.08,0.05,3.15,2.9,0.75,5.15,1.63,0.14,0.31,2.04,0.21,1.69,0.25,1.13,2.25,1.1,2.1,0.6,11.32,1.41,3.17,1.04,0.24,8.59,4.9,5.13,6.14,0.2,0.33,1.58,1.21,0.08,4.29,0.69,4.94,4.2,4.61,1.35,6.48,3.79,5.15,1.34,5.35,1.29,2.38,0.38,1.04,1.81,0.51,1.31,9.23,3.12,1.45,0.16,2.11,4.54,2.67,0.25,2.68,0.08,3.8,5.56,6.89,11.96,1.79,2.73,1.29,1.43,1.42,0.99,4.56,0.41,3.55,0.15,4.63,1.8,0.46,1.62,1.67,0.43
3,2012,2.88,0.68,3.29,4.67,0.65,1.24,0.09,13.93,20.94,2.95,1.3,0.51,0.77,4.15,1.06,0.9,0.41,3.72,2.43,0.27,3.35,0.18,2.19,0.44,0.71,1.34,0.77,0.64,12.78,2.48,0.2,0.22,2.01,0.77,1.04,1.22,0.22,0.92,0.59,0.44,0.05,5.35,0.43,1.82,1.64,5.3,0.06,1.69,0.78,22.92,1.52,5.04,0.06,2.02,1.79,7.48,5.3,4.66,0.05,3.24,3.68,0.69,7.08,1.22,0.14,0.28,1.34,0.21,1.67,0.23,1.11,2.19,1.02,1.82,0.63,11.61,1.12,2.77,0.73,0.19,6.86,4.19,3.74,5.38,0.19,0.29,1.61,1.02,0.1,3.13,0.54,5.08,3.74,5.0,1.22,3.66,4.0,5.04,1.39,5.41,1.16,2.63,0.35,1.29,1.46,0.45,1.54,9.81,2.73,1.19,0.15,2.1,3.79,3.08,0.24,2.67,0.07,4.2,5.62,6.77,9.24,1.8,2.35,1.36,1.66,1.33,1.25,4.37,0.42,2.16,0.14,4.64,1.57,0.39,1.67,1.77,0.38
4,2013,2.17,0.68,2.97,4.15,0.56,1.66,0.09,14.26,23.25,2.82,1.45,0.6,0.72,4.1,1.0,0.9,0.4,4.17,3.31,0.28,3.59,0.22,2.19,0.45,0.81,1.5,0.73,0.7,15.24,2.77,0.2,0.22,2.36,0.82,1.09,1.07,0.22,0.95,0.56,0.49,0.05,4.99,0.38,1.36,1.55,5.36,0.06,1.69,0.84,27.65,1.48,4.17,0.07,1.11,1.63,9.78,4.57,5.41,0.05,3.71,4.4,0.7,6.41,1.01,0.14,0.26,1.2,0.2,1.64,0.25,1.33,2.35,0.94,2.27,0.53,10.45,1.07,3.0,0.72,0.2,6.35,4.58,2.51,4.48,0.21,0.3,1.67,1.3,0.1,3.25,0.48,4.34,3.01,6.23,1.04,4.07,2.86,4.82,1.9,4.34,1.04,3.23,0.48,1.25,0.66,0.51,1.23,10.1,3.41,1.13,0.17,2.55,3.87,3.45,0.25,2.85,0.07,4.39,5.13,4.59,9.95,1.9,2.46,1.37,1.49,0.96,1.27,4.17,0.37,3.95,0.13,4.19,1.47,0.34,1.88,1.82,0.36
5,2014,2.93,0.69,3.12,3.86,0.52,1.74,0.14,10.92,26.46,2.17,1.4,0.71,0.73,3.57,1.05,0.99,0.44,5.33,4.17,0.29,3.27,0.27,2.05,0.62,0.91,1.25,0.63,0.83,18.54,2.99,0.23,0.26,2.48,0.87,1.53,0.79,0.24,0.99,0.48,0.68,0.05,5.68,0.34,1.6,2.07,3.0,0.08,1.95,0.95,21.41,1.54,3.78,0.07,0.69,1.36,12.2,3.96,7.12,0.06,3.58,4.6,0.69,6.37,1.29,0.14,0.24,1.26,0.17,1.47,0.26,1.35,2.16,0.97,3.14,0.52,17.87,0.96,3.38,0.88,0.25,6.1,3.92,2.55,4.55,0.19,0.29,2.11,1.67,0.13,4.71,0.5,4.77,3.11,5.89,1.07,5.68,1.94,6.11,2.16,2.91,0.82,3.65,0.58,1.16,2.15,0.45,1.41,10.67,4.09,1.26,0.16,2.56,4.9,3.92,0.25,3.11,0.08,4.37,4.56,5.93,11.83,2.17,3.11,1.48,1.9,0.94,1.32,4.08,0.41,4.69,0.16,3.78,1.81,0.35,2.23,2.34,0.36
6,2015,2.15,0.94,3.77,4.16,0.49,1.9,0.15,11.75,31.96,2.86,1.57,0.77,0.92,3.62,1.19,0.96,0.42,5.29,4.68,0.31,3.59,0.34,2.4,0.72,1.01,1.32,0.86,0.82,15.95,3.06,0.25,0.28,2.0,0.94,1.8,0.88,0.23,0.94,0.56,0.65,0.05,6.09,0.33,2.03,2.09,4.8,0.08,2.8,1.26,39.17,1.48,4.77,0.08,1.04,1.54,11.35,4.67,7.02,0.08,3.47,4.75,0.81,6.89,1.55,0.14,0.33,1.28,0.15,1.44,0.27,1.35,2.05,0.96,3.46,0.55,20.72,1.15,3.91,0.95,0.26,7.08,4.69,3.35,5.52,0.23,0.29,2.43,1.82,0.13,4.92,0.59,5.78,3.58,8.04,0.95,9.69,3.01,5.89,2.98,3.12,1.02,3.79,0.7,0.99,2.35,0.51,1.26,10.99,4.43,1.6,0.2,2.55,6.33,4.39,0.26,3.16,0.08,3.5,4.97,7.31,10.85,2.37,3.09,2.09,2.14,1.46,1.1,4.79,0.46,5.89,0.19,4.0,2.27,0.45,2.43,2.59,0.4
7,2016,2.55,0.96,4.17,4.44,0.55,1.63,0.16,12.84,34.27,2.9,1.59,0.69,0.95,3.21,1.25,0.8,0.47,6.12,4.27,0.34,3.49,0.34,2.54,0.79,0.94,1.02,0.76,0.91,15.81,2.79,0.25,0.32,1.96,0.98,1.78,1.22,0.26,1.14,0.65,0.68,0.05,7.81,0.42,2.11,2.24,4.99,0.09,2.63,1.43,39.99,1.41,5.14,0.08,1.0,1.5,9.43,4.16,7.79,0.08,4.38,4.96,0.8,8.32,1.75,0.15,0.36,1.19,0.18,1.5,0.24,1.34,1.99,0.93,3.44,0.65,23.52,1.54,4.02,1.22,0.29,8.08,5.62,4.0,7.7,0.24,0.3,2.41,1.63,0.13,5.02,0.55,6.17,4.93,8.03,0.95,11.25,3.36,7.01,3.44,3.6,1.07,4.05,0.63,1.03,3.45,0.5,1.37,12.35,4.46,1.75,0.2,2.34,7.58,4.04,0.29,3.28,0.09,3.35,4.23,7.25,11.53,1.94,2.88,2.17,2.44,2.23,1.23,4.49,0.54,4.76,0.21,4.1,2.48,0.59,2.45,2.74,0.46
8,2017,2.14,0.94,4.65,5.06,0.6,1.47,0.14,13.97,34.35,3.03,1.95,0.65,0.9,4.01,1.17,0.7,0.46,6.01,3.49,0.36,4.0,0.36,2.85,0.72,0.97,1.14,0.79,1.04,15.8,2.53,0.24,0.31,1.97,1.16,1.5,1.22,0.26,1.17,0.77,0.46,0.05,7.72,0.43,1.59,2.21,6.2,0.08,2.91,1.23,57.15,1.37,4.88,0.07,0.94,1.9,13.2,4.01,8.21,0.08,6.15,3.95,0.83,10.68,1.59,0.16,0.42,1.2,0.21,1.68,0.29,1.53,3.54,0.93,2.8,0.6,20.49,1.78,3.55,1.07,0.28,11.51,5.97,3.84,8.3,0.3,0.32,2.37,1.49,0.14,4.7,0.48,4.83,5.22,8.39,0.87,17.09,3.47,6.23,3.89,4.54,1.13,3.86,0.6,1.06,2.96,0.57,1.1,11.66,3.98,2.0,0.21,2.15,8.7,4.08,0.28,3.75,0.08,3.18,4.44,5.15,14.55,1.44,1.99,2.35,2.43,2.15,1.3,4.77,0.54,5.28,0.2,3.61,2.34,0.6,2.35,2.28,0.45
9,2018,2.62,0.7,4.54,4.79,0.66,1.72,0.17,16.04,34.77,2.88,1.84,0.75,0.97,4.04,1.18,0.61,0.47,8.73,4.96,0.42,3.77,0.33,2.17,0.75,1.05,1.09,0.7,1.14,21.49,2.59,0.25,0.32,2.54,1.2,1.7,1.5,0.26,1.25,0.74,0.75,0.05,10.36,0.44,1.54,2.35,7.53,0.09,2.02,1.09,49.34,1.28,3.66,0.09,1.45,2.37,13.4,4.17,8.14,0.08,6.33,3.52,0.92,11.65,1.79,0.17,0.42,1.43,0.22,1.89,0.31,1.55,3.77,0.89,2.94,0.68,23.05,1.86,3.99,0.92,0.32,11.76,7.08,3.68,9.04,0.31,0.32,2.77,1.79,0.15,4.51,0.42,4.55,5.77,8.74,0.82,18.0,3.28,6.39,2.97,4.01,1.08,3.64,0.62,1.28,3.33,0.58,1.11,14.15,3.9,1.97,0.21,2.05,9.0,4.54,0.28,4.35,0.08,3.38,4.2,4.45,20.37,1.22,2.27,2.16,2.02,1.7,1.35,4.56,0.53,4.77,0.19,2.88,2.34,0.51,2.52,2.34,0.46
