,year,Cleveland,Durham,Northumbria,Cheshire,Cumbria,Greater Manchester,Lancashire,Merseyside,Humberside,North Yorkshire,South Yorkshire,West Yorkshire,Derbyshire,Leicestershire,Lincolnshire,Northamptonshire,Nottinghamshire,Staffordshire,Warwickshire,West Mercia,West Midlands,Bedfordshire,Cambridgeshire,Essex,Hertfordshire,Norfolk,Suffolk,City of London,Metropolitan Police,Hampshire,Kent,Surrey,Sussex,Thames Valley,Avon and Somerset,Devon and Cornwall,Dorset,Gloucestershire,Wiltshire
0,2009,17.67,15.2,20.79,17.44,14.78,21.67,23.54,16.91,18.18,9.76,14.43,16.2,13.39,13.11,17.57,16.53,10.7,13.98,12.54,11.72,12.73,11.49,14.77,10.33,9.85,21.86,13.09,588.87,13.6,12.47,14.63,9.61,18.9,13.06,18.03,17.95,16.7,13.38,12.37
1,2010,17.99,18.19,21.76,18.05,15.59,23.33,22.99,16.43,16.61,11.33,13.13,16.63,12.41,14.87,14.75,15.99,9.31,13.64,12.5,13.06,12.68,12.0,14.18,10.89,9.84,20.4,13.54,654.13,13.55,13.62,12.95,9.59,17.6,12.54,18.23,18.54,15.58,13.97,12.7
2,2011,17.76,18.11,21.68,15.16,14.61,23.13,22.24,16.8,15.9,12.77,11.98,15.17,12.65,13.94,13.01,15.71,8.11,12.57,12.26,14.05,11.5,10.37,12.15,13.3,8.75,17.34,13.15,566.65,12.57,13.72,12.01,10.57,16.53,11.86,16.61,17.05,13.01,14.37,12.28
3,2012,15.22,18.07,20.22,13.95,16.03,20.99,22.93,17.74,14.98,12.08,13.46,14.19,12.69,11.51,12.1,14.28,9.18,12.52,12.58,14.06,10.72,10.73,12.18,14.18,8.24,14.45,12.69,574.71,11.68,13.05,11.04,9.18,15.47,10.88,14.97,14.8,14.8,15.44,11.9
4,2013,15.72,20.75,20.5,15.07,17.45,20.31,23.3,20.75,15.94,13.39,16.41,14.8,13.62,10.94,13.11,15.02,9.99,14.27,11.28,12.37,11.04,10.11,12.11,14.7,8.94,15.51,13.32,663.24,11.06,13.92,12.59,9.62,15.22,10.92,14.34,14.36,16.45,13.86,11.67
5,2014,20.49,23.74,23.22,18.08,20.67,21.35,23.32,22.46,15.48,12.62,18.52,15.87,15.01,10.54,13.66,14.72,12.85,14.94,12.49,12.62,14.58,9.66,13.08,14.93,9.44,19.26,14.01,651.57,11.28,17.43,16.04,10.48,14.95,11.91,14.46,17.58,16.63,12.91,11.99
6,2015,28.1,25.59,25.89,21.36,20.46,23.09,24.78,23.62,16.0,15.03,21.16,19.84,16.2,9.95,14.51,15.09,13.61,17.86,14.05,14.14,16.3,9.35,14.85,16.08,10.3,20.46,14.84,747.72,13.32,19.3,19.24,11.26,17.15,12.79,16.57,19.94,18.62,12.47,12.46
7,2016,32.23,24.2,29.09,21.63,22.65,24.06,27.02,24.66,19.6,15.92,21.51,20.13,16.01,10.95,13.56,15.97,13.56,17.32,16.82,15.62,17.28,10.43,16.52,16.93,10.63,23.33,16.24,772.84,14.22,20.01,20.8,12.02,18.35,13.84,17.77,23.25,19.29,16.21,14.77
8,2017,37.45,25.24,29.2,22.67,25.88,23.87,28.38,26.54,24.84,20.0,22.32,21.5,15.44,12.46,16.37,17.54,13.59,18.47,17.18,14.69,16.19,13.54,16.05,15.82,10.16,22.6,15.98,849.23,13.95,19.41,19.98,11.47,20.62,13.68,17.99,23.5,23.62,17.03,14.94
9,2018,38.58,28.25,34.67,22.28,28.46,24.03,29.77,27.27,26.29,20.74,22.81,23.1,16.14,14.0,17.86,17.92,15.81,19.45,17.16,14.66,17.86,14.79,17.83,16.04,13.09,26.0,16.35,597.29,14.23,20.85,20.09,11.43,20.25,13.55,18.35,25.76,23.05,17.52,13.89
