year,England,East of England,East Midlands,London,North East,North West,South East,South West,West Midlands,Yorkshire and the Humber
2009,10.26,8.38,8.26,8.93,13.75,13.9,9.29,12.01,8.66,11.03
2010,10.3,8.39,8.0,8.94,14.53,14.26,9.21,11.97,8.5,11.13
2011,9.68,7.86,7.54,8.06,14.21,13.8,8.95,10.75,7.77,10.51
2012,8.99,7.55,6.84,7.15,12.91,13.23,7.94,9.64,7.8,10.1
2013,9.07,7.98,7.21,6.53,13.25,13.53,8.02,9.39,8.16,10.3
2014,9.99,8.87,7.8,6.91,15.54,14.62,9.18,9.63,10.05,10.82
2015,11.38,9.96,8.31,8.39,18.02,15.97,10.62,10.75,11.38,13.02
2016,12.31,10.74,8.19,9.19,20.18,17.32,11.41,12.2,12.2,14.08
2017,12.58,10.39,8.92,9.01,21.36,17.65,11.31,12.88,11.96,15.56
2018,13.16,10.92,9.75,9.1,23.97,18.36,11.36,13.52,12.88,16.08
