year,England,Unknown,Non Allocated England,North East,County Durham,Darlington,Gateshead,Hartlepool,Middlesbrough,Newcastle upon Tyne,North Tyneside,Northumberland,Redcar and Cleveland,South Tyneside,Stockton-on-Tees,Sunderland,Non Allocated North East,North West,Blackburn with Darwen,Blackpool,Bolton,Bury,Cheshire,Cumbria,Knowsley,Lancashire,Halton and St. Helens,Liverpool,Manchester,Oldham,Rochdale,Salford,Sefton,Stockport,Tameside and Glossop,Trafford,Warrington,Wirral,Wigan,Non Allocated North West,Yorkshire and the Humber,Barnsley,Bradford,Calderdale,Doncaster,East Riding of Yorkshire,"Kingston upon Hull, City of",Kirklees,Leeds,North East Lincolnshire,North Lincolnshire,North Yorkshire and York,Rotherham,Sheffield,Wakefield,Non Allocated Yorkshire,East Midlands,Derby,Derbyshire,Leicester,Leicestershire and Rutland,Lincolnshire,Northamptonshire,Nottingham,Nottinghamshire,Non Allocated East Midlands,West Midlands,Birmingham,Coventry,Dudley,"Herefordshire, County of",Sandwell,Shropshire,Solihull,Staffordshire,Stoke-on-Trent,Telford and Wrekin,Walsall,Warwickshire,Wolverhampton,Worcestershire,Non Allocated West Midlands,East of England,Bedfordshire,Cambridgeshire,Essex,Hertfordshire,Luton,Norfolk,Peterborough,Suffolk,Non Allocated East of England,London,Barking and Dagenham,Barnet,Bexley,Brent,Bromley,Camden,City of London and Hackney,Croydon,Ealing,Enfield,Greenwich,Hammersmith and Fulham,Haringey,Harrow,Havering,Hillingdon,Hounslow,Islington,Kensington and Chelsea,Kingston upon Thames,Lambeth,Lewisham,Newham,Redbridge,Richmond upon Thames,Southwark,Merton and Sutton,Tower Hamlets,Waltham Forest,Wandsworth,Westminster,Non Allocated London,South East,Brighton and Hove,Buckinghamshire,East Berkshire,East Sussex,Hampshire,Isle of Wight,Kent,Medway,Milton Keynes,Oxfordshire,Portsmouth,Southampton,Surrey,West Berkshire,West Sussex,Non Allocated South East,South West,Bath and North East Somerset,Bournemouth and Poole,"Bristol, City of",Cornwall and Isles of Scilly,Devon,Dorset,Gloucestershire,North Somerset,Plymouth,Somerset,South Gloucestershire,Swindon,Torbay,Wiltshire,Non Allocated South West
2009,11090,211,18,977,199,28,98,39,58,146,63,81,43,43,69,110,0,2181,58,39,90,57,172,117,48,314,132,160,164,36,76,83,51,67,55,32,92,209,129,0,1316,75,184,55,44,49,77,81,296,23,22,161,44,80,125,0,999,102,176,108,111,148,155,77,122,0,1177,315,101,73,33,63,29,28,137,63,29,49,116,22,119,0,755,52,98,184,87,31,165,59,79,0,993,31,25,19,24,35,33,19,55,46,31,28,43,35,,17,38,40,51,23,,32,51,32,22,17,41,49,38,31,36,33,18,1391,128,34,43,242,174,25,172,54,37,111,63,61,99,26,122,0,1090,54,69,150,127,131,44,89,44,52,106,38,49,43,94,0
2010,11618,199,0,1051,220,49,73,37,67,115,83,89,78,42,72,126,0,2391,83,61,75,67,192,163,39,367,134,109,166,41,93,96,56,78,135,59,74,186,117,0,1378,73,152,61,40,65,85,127,267,34,32,154,49,97,142,0,979,76,172,97,130,109,190,79,126,0,1217,282,121,77,26,78,30,42,147,93,27,49,110,24,111,0,875,59,115,220,108,24,174,70,105,0,1000,35,31,12,41,38,30,29,40,41,26,30,42,30,11,28,30,43,41,15,14,38,37,30,32,30,30,49,23,52,29,43,0,1446,84,34,41,242,215,13,158,53,68,139,65,58,138,35,103,0,1082,32,93,155,132,133,37,96,29,65,96,40,64,27,83,0
2011,12586,174,0,1154,206,53,97,41,105,106,80,87,83,53,101,142,0,2489,80,82,111,55,200,162,40,381,125,145,172,61,89,101,69,62,139,44,72,173,126,0,1599,77,157,71,77,99,168,75,299,34,35,195,67,95,150,0,1049,51,161,97,118,167,204,93,158,0,1339,342,109,78,29,112,41,42,174,97,24,49,102,26,114,0,917,67,109,250,110,27,166,76,112,0,1074,35,35,24,27,31,29,29,38,48,25,38,50,33,15,32,56,35,53,25,10,44,45,49,41,9,43,41,35,39,28,32,0,1520,125,27,62,214,232,29,136,77,49,134,59,82,123,45,126,0,1271,60,106,176,123,124,54,128,39,74,113,47,66,60,101,0
2012,12344,236,0,1064,165,57,81,51,104,98,83,101,91,37,77,119,0,2541,88,130,97,63,185,149,58,367,144,154,176,51,77,150,68,66,138,38,52,169,121,0,1577,70,168,84,96,64,128,119,296,47,31,167,78,85,144,0,997,80,175,49,80,142,232,79,160,0,1245,305,102,78,21,84,55,50,165,55,44,62,110,26,88,0,874,50,119,167,141,28,192,84,93,0,1038,27,38,32,27,23,28,37,39,43,25,36,47,28,20,45,58,38,43,24,7,45,39,47,27,14,28,43,35,47,29,19,0,1540,118,49,60,241,241,30,159,50,42,100,95,74,122,45,114,0,1232,36,86,121,149,137,49,134,31,93,122,31,114,32,97,0
2013,12238,234,0,976,157,39,76,37,109,101,66,83,70,48,90,100,0,2566,91,132,98,45,132,152,47,413,168,161,173,57,82,127,52,81,139,47,78,161,130,0,1518,94,155,71,108,44,123,115,238,60,40,167,60,84,159,0,948,83,175,41,75,159,194,71,150,0,1211,243,78,69,30,81,41,53,169,60,38,57,146,19,127,0,958,72,111,217,142,27,225,55,109,0,1029,33,36,29,28,43,28,33,36,32,20,35,40,17,14,32,30,40,49,17,11,44,41,47,27,17,47,57,44,34,39,29,0,1582,111,61,60,66,237,31,337,39,56,127,70,81,123,41,142,0,1216,38,135,117,154,132,56,98,30,63,127,29,86,40,111,0
2014,14063,323,0,1052,183,58,99,40,129,104,62,94,85,58,83,57,0,2945,94,143,114,75,198,161,47,446,160,159,232,79,77,158,51,103,119,53,81,204,191,0,1664,92,236,62,95,69,137,116,217,47,53,186,61,126,167,0,1176,97,235,51,70,205,213,98,207,0,1316,254,103,83,31,83,57,54,172,78,48,50,139,58,106,0,1205,75,143,279,177,40,251,86,154,0,1126,27,29,19,29,31,30,29,62,48,27,29,39,45,17,37,38,25,50,24,20,54,36,54,48,18,45,57,42,39,31,47,0,1872,96,58,104,103,276,51,426,43,77,152,82,97,154,28,125,0,1384,41,93,137,169,156,101,126,49,84,149,33,84,47,115,0
2015,14279,407,0,932,152,19,86,44,97,97,71,104,69,63,69,61,0,2914,110,140,122,40,187,153,85,462,165,228,236,69,70,128,67,95,111,59,65,156,166,0,1664,104,228,63,125,65,107,107,202,57,44,226,70,132,134,0,1186,81,269,58,104,178,236,85,175,0,1427,303,64,83,26,80,70,46,208,95,31,84,135,91,111,0,1228,76,152,267,196,42,254,97,144,0,1131,27,41,19,23,56,46,52,58,47,29,36,25,43,16,28,40,42,32,19,16,50,47,33,36,14,52,70,44,22,31,37,0,1900,87,82,122,121,240,20,411,50,44,166,81,92,179,28,177,0,1490,40,116,168,153,153,103,142,41,117,142,47,127,40,101,0
2016,15074,437,89,937,131,25,93,53,100,123,62,82,48,75,94,51,0,3133,107,161,131,43,185,178,98,450,190,246,224,72,67,173,104,89,131,54,93,172,165,0,1644,80,215,51,130,77,128,88,229,79,71,181,76,135,104,0,1268,85,252,,107,168,243,100,224,89,1524,319,90,100,36,107,56,54,201,82,38,63,158,92,128,0,1319,113,157,327,177,56,216,83,190,0,1214,21,43,34,25,51,34,41,58,50,27,27,42,41,17,23,51,41,44,19,21,51,52,56,25,26,55,67,52,33,39,48,0,2049,97,74,165,121,225,39,424,96,60,159,78,112,209,26,164,0,1549,46,164,131,171,140,104,181,41,114,154,61,83,49,110,0
2017,14053,406,62,944,150,28,94,51,95,105,62,72,64,66,99,58,0,2862,84,137,100,53,202,149,76,400,174,196,198,91,78,131,84,77,125,80,95,187,145,0,1569,66,166,47,127,72,119,99,266,48,43,222,68,117,109,0,1170,,214,81,114,153,286,63,197,62,1294,295,75,89,29,70,64,49,179,64,23,69,112,80,96,0,1198,100,132,335,150,61,189,66,165,0,1135,19,26,26,25,33,29,48,47,38,39,32,39,27,19,26,31,52,43,22,16,46,38,66,31,20,54,74,52,34,38,45,0,1956,72,63,174,132,270,37,390,62,47,134,71,115,192,25,172,0,1519,46,143,149,189,141,90,160,29,126,128,53,84,62,119,0
2018,17031,421,0,1240,175,45,120,60,120,135,110,135,60,100,125,55,0,3230,65,135,140,50,205,170,90,430,220,280,210,80,115,145,125,120,125,70,90,185,180,0,1860,120,195,65,150,85,150,135,265,55,45,235,70,120,170,0,1515,95,290,105,145,190,355,120,215,0,1645,335,125,85,60,95,55,70,215,100,35,95,155,90,130,0,1565,130,210,400,205,80,245,75,220,0,1280,25,50,35,40,30,30,55,65,40,30,30,30,45,20,35,55,85,45,20,20,45,45,35,25,45,60,95,45,20,45,35,0,2345,100,80,170,195,335,45,400,90,65,135,90,135,240,45,220,0,1930,70,135,230,230,195,125,180,60,95,190,65,115,55,185,0
