year,Barking and Dagenham,Barnet,Barnsley,Bath and North East Somerset,Bedfordshire,Bexley,Birmingham,Blackburn with Darwen,Blackpool,Bolton,Bournemouth and Poole,Bradford,Brent,Brighton and Hove,"Bristol, City of",Bromley,Buckinghamshire,Bury,Calderdale,Cambridgeshire,Camden,Cheshire,City of London and Hackney,Cornwall and Isles of Scilly,County Durham,Coventry,Croydon,Cumbria,Darlington,Derby,Derbyshire,Devon,Doncaster,Dorset,Dudley,Ealing,East Berkshire,East Riding of Yorkshire,East Sussex,Enfield,Essex,Gateshead,Gloucestershire,Greenwich,Halton and St. Helens,Hammersmith and Fulham,Hampshire,Haringey,Harrow,Hartlepool,Havering,"Herefordshire, County of",Hertfordshire,Hillingdon,Hounslow,Isle of Wight,Islington,Kensington and Chelsea,Kent,"Kingston upon Hull, City of",Kingston upon Thames,Kirklees,Knowsley,Lambeth,Lancashire,Leeds,Leicester,Leicestershire and Rutland,Lewisham,Lincolnshire,Liverpool,Luton,Manchester,Medway,Merton and Sutton,Middlesbrough,Milton Keynes,Newcastle upon Tyne,Newham,Norfolk,North East Lincolnshire,North Lincolnshire,North Somerset,North Tyneside,North Yorkshire and York,Northamptonshire,Northumberland,Nottingham,Nottinghamshire,Oldham,Oxfordshire,Peterborough,Plymouth,Portsmouth,Redbridge,Redcar and Cleveland,Richmond upon Thames,Rochdale,Rotherham,Salford,Sandwell,Sefton,Sheffield,Shropshire,Solihull,Somerset,South Gloucestershire,South Tyneside,Southampton,Southwark,Staffordshire,Stockport,Stockton-on-Tees,Stoke-on-Trent,Suffolk,Sunderland,Surrey,Swindon,Tameside and Glossop,Telford and Wrekin,Torbay,Tower Hamlets,Trafford,Wakefield,Walsall,Waltham Forest,Wandsworth,Warrington,Warwickshire,West Berkshire,West Sussex,Westminster,Wigan,Wiltshire,Wirral,Wolverhampton,Worcestershire
2009,17.46,7.23,32.75,31.15,12.84,8.33,30.0,39.67,27.35,32.96,18.8,35.91,8.05,48.2,35.8,11.4,6.82,31.0,27.22,16.17,15.5,24.67,7.78,24.03,39.23,32.86,15.59,23.36,26.83,41.81,23.03,17.68,14.66,12.1,23.47,13.94,6.18,14.73,46.51,10.27,10.79,49.63,15.07,11.49,44.16,23.87,13.37,14.01,,42.61,7.26,18.1,7.93,14.3,16.44,18.07,25.93,14.21,11.98,30.07,,19.53,32.64,10.88,26.97,39.79,33.78,16.33,18.86,20.98,34.97,15.86,33.9,20.75,12.68,42.25,15.41,53.4,11.17,19.5,14.49,13.29,21.81,31.66,20.41,22.68,25.76,26.12,13.26,16.16,22.08,32.97,20.54,31.66,8.14,31.65,9.22,36.15,17.17,36.25,20.84,18.6,14.86,9.6,13.63,20.13,14.63,28.95,26.52,14.58,16.28,23.74,36.32,25.62,11.0,39.82,8.89,23.98,25.3,17.59,32.66,15.8,14.35,38.52,18.51,12.49,12.03,45.99,21.4,16.99,15.33,15.21,41.04,20.14,65.77,8.94,21.16
2010,19.14,8.82,31.73,18.36,14.43,5.2,26.58,56.48,42.73,27.26,24.88,29.34,13.45,31.17,36.64,12.32,6.76,36.26,30.04,18.7,13.97,27.48,11.64,24.81,43.08,38.82,11.17,32.59,46.65,30.76,22.4,17.88,13.28,10.16,24.66,12.27,5.83,19.48,46.21,8.45,12.81,36.73,16.16,12.04,44.67,23.22,16.38,11.87,4.63,40.32,11.85,14.22,9.75,11.13,17.25,9.4,20.49,9.35,10.88,33.18,8.82,30.36,26.64,12.77,31.43,35.72,29.85,19.01,13.58,15.31,23.62,12.03,33.7,20.17,12.61,48.67,27.7,41.56,10.03,20.4,21.39,19.21,14.29,41.47,19.39,27.62,28.21,26.36,13.62,18.32,27.4,38.51,25.57,32.07,11.63,57.61,16.1,44.13,19.07,41.41,25.48,20.45,17.81,9.85,20.36,18.16,15.3,28.29,24.88,10.57,17.39,27.6,37.72,37.59,14.5,45.66,12.26,30.93,61.71,16.3,20.54,9.25,26.19,43.61,18.36,20.47,9.58,36.76,20.21,22.74,12.82,19.8,36.99,17.65,58.29,9.69,19.68
2011,18.71,9.79,33.21,34.18,16.2,10.31,31.84,54.18,57.71,40.03,27.94,30.01,8.65,45.8,41.11,9.98,5.33,29.66,34.77,17.52,13.18,28.56,11.39,22.95,40.16,34.39,10.42,32.41,50.2,20.49,20.89,16.58,25.46,14.76,24.9,14.15,8.73,29.58,40.59,7.96,14.46,48.42,21.39,14.87,41.51,27.41,17.55,12.91,6.24,44.52,13.45,15.79,9.82,20.33,13.73,20.95,25.69,15.8,9.27,65.59,6.23,17.73,27.42,14.45,32.52,39.83,29.43,17.13,16.25,23.36,31.14,13.26,34.2,29.07,10.47,75.88,19.61,37.98,15.78,19.32,21.29,20.89,19.2,39.76,24.41,29.4,27.51,30.6,17.01,27.09,26.14,41.2,28.84,28.72,14.57,61.41,4.8,42.0,26.0,43.07,36.24,25.19,17.22,13.35,20.3,21.26,17.84,35.77,34.76,14.89,20.48,21.89,52.65,39.0,15.34,51.57,10.83,31.47,63.26,14.39,45.73,13.67,19.38,45.95,18.18,15.01,9.1,35.52,18.66,29.19,15.58,14.57,39.61,21.29,54.09,10.41,20.12
2012,14.16,10.45,29.94,20.32,11.93,13.66,28.11,59.52,91.53,34.76,22.47,32.04,8.58,42.8,27.94,7.32,9.59,33.84,40.94,19.01,12.46,26.33,14.3,27.57,32.08,31.63,10.56,29.85,54.03,31.93,22.62,18.19,31.69,13.35,24.87,12.63,8.38,19.05,45.38,7.88,9.59,40.44,22.25,13.85,47.7,25.81,18.1,10.86,8.27,55.28,18.77,11.34,12.49,20.63,14.7,21.61,20.35,15.3,10.74,49.8,4.29,27.98,39.74,14.55,31.22,39.07,14.76,11.54,13.89,19.74,32.75,13.63,34.48,18.65,10.87,74.97,16.62,34.76,14.86,22.2,29.41,18.41,15.16,41.2,20.8,33.13,31.91,25.61,17.15,22.59,19.34,45.02,36.08,46.0,9.49,67.42,7.41,36.33,30.18,63.31,26.99,24.84,15.25,17.83,24.1,22.8,11.65,24.95,31.02,9.54,19.37,23.26,40.0,22.02,12.69,43.15,10.66,53.79,62.67,26.22,24.34,13.28,16.64,43.92,22.89,17.91,9.37,25.52,20.06,29.09,13.97,8.49,37.96,20.34,52.75,10.36,15.46
2013,16.96,9.77,39.86,21.17,16.93,12.25,22.25,61.59,93.22,34.97,35.05,29.47,8.83,39.93,26.69,13.51,11.83,24.13,34.44,17.65,12.15,18.75,12.53,28.31,30.43,23.75,9.64,30.49,36.89,33.03,22.53,17.42,35.56,15.19,21.95,9.35,8.31,13.09,12.34,6.24,12.36,37.98,16.17,13.25,55.57,22.05,17.68,6.51,5.76,39.93,13.22,16.1,12.45,10.49,15.31,22.37,22.7,10.82,22.57,47.82,6.64,26.88,32.17,14.07,35.04,31.28,12.25,10.73,14.39,21.95,34.13,13.02,33.68,14.41,14.27,78.47,21.84,35.34,14.62,25.85,37.51,23.71,14.55,32.65,20.7,27.49,26.23,22.85,15.95,25.11,24.41,29.2,24.36,33.87,9.35,51.87,8.89,38.65,23.18,53.21,25.8,19.02,14.99,13.26,25.34,23.59,10.78,32.35,33.77,15.74,19.72,28.43,46.53,23.98,14.81,36.22,10.66,40.18,63.03,22.53,30.26,16.08,20.42,48.2,20.96,12.8,12.46,38.02,26.57,26.28,17.26,12.87,40.65,23.13,50.21,7.55,22.18
2014,13.59,7.76,38.66,22.62,17.37,7.92,23.06,63.77,101.49,40.6,23.95,44.73,9.06,34.21,30.87,9.64,11.13,40.05,29.95,22.51,12.71,28.01,10.77,30.83,35.36,30.74,16.44,32.3,54.78,38.44,30.11,20.4,31.21,27.34,26.29,13.99,14.26,20.46,19.06,8.32,15.71,49.31,20.6,10.79,52.68,21.47,20.45,17.02,6.93,43.19,15.04,16.51,15.34,13.04,9.47,36.6,22.58,15.21,28.22,53.22,11.87,26.98,32.1,17.05,37.71,28.35,15.07,9.93,12.4,28.01,33.5,19.03,44.72,15.74,14.16,92.81,29.59,36.07,16.46,28.61,29.37,31.32,23.54,30.56,23.01,29.86,29.67,31.17,21.88,34.62,28.96,45.15,32.24,39.42,16.33,62.92,9.31,36.15,23.44,65.41,26.24,18.62,22.36,18.34,25.69,27.48,12.18,39.04,40.07,14.86,20.0,35.97,42.69,31.08,20.74,20.59,13.23,38.89,53.92,28.27,35.27,14.76,22.81,50.34,18.25,14.56,9.79,39.19,25.16,17.88,15.05,20.44,59.48,23.73,63.45,22.9,18.4
2015,13.29,10.82,43.36,21.71,17.32,7.84,27.22,74.4,99.88,43.29,29.68,43.03,7.11,30.63,37.28,17.21,15.56,21.3,30.31,23.69,18.87,26.35,18.89,27.69,29.27,18.59,15.26,30.69,17.92,31.91,34.35,19.81,40.92,27.72,26.24,13.65,16.57,19.3,22.2,8.82,14.91,42.63,22.99,13.11,54.22,13.72,17.69,16.03,6.48,47.57,11.23,13.79,16.82,13.51,15.77,14.31,14.07,11.98,26.98,41.38,9.32,24.72,57.72,15.59,38.86,26.12,16.86,14.61,15.93,24.14,47.41,19.66,44.54,18.17,17.25,69.63,16.72,33.36,9.81,28.71,35.63,25.91,19.53,35.02,27.84,32.68,32.86,26.65,18.39,29.97,31.44,50.09,44.76,38.47,12.08,50.99,7.21,32.66,26.83,52.21,25.07,24.44,23.19,22.42,21.82,25.99,17.16,42.43,37.39,16.86,24.13,32.97,35.36,37.74,19.26,22.04,15.27,58.37,50.11,18.06,29.9,14.97,25.32,40.12,30.45,8.13,9.7,31.28,24.32,17.78,21.11,15.54,51.51,20.68,48.49,35.67,19.17
2016,10.09,11.18,33.08,24.61,25.36,13.87,28.28,72.07,115.01,46.2,41.62,40.37,7.66,33.78,28.73,15.57,13.88,22.81,24.39,24.36,13.65,25.95,14.62,30.68,25.11,25.48,15.13,35.69,23.51,33.18,32.03,17.98,42.29,27.86,31.49,14.5,22.21,22.79,22.02,8.13,18.1,45.9,29.05,9.67,62.13,23.1,16.48,15.07,6.84,57.08,9.08,18.99,15.05,17.01,15.28,27.8,18.96,12.12,27.52,49.22,12.09,20.22,66.22,15.79,37.64,29.32,,14.87,17.4,22.56,50.45,25.94,41.38,34.66,16.4,71.26,22.54,41.88,16.25,24.22,49.43,41.57,19.36,30.46,22.17,33.18,25.83,30.79,23.38,30.99,29.9,42.19,43.45,36.56,8.3,35.43,13.32,30.97,28.99,69.72,33.16,37.84,23.52,17.81,25.45,27.93,22.05,50.27,44.73,17.65,23.2,30.71,47.97,32.33,25.29,18.39,17.7,37.97,58.72,21.87,36.46,17.28,23.06,30.85,22.59,12.03,12.13,44.5,28.27,16.4,19.37,19.84,51.0,22.35,53.38,35.66,21.94
2017,9.02,6.7,27.12,24.38,22.23,10.56,25.94,56.46,97.95,35.11,36.14,31.04,7.6,24.99,32.44,10.02,11.76,27.95,22.44,20.36,11.45,28.18,16.93,33.53,28.64,20.82,12.21,29.9,26.33,,27.02,17.91,41.11,24.0,27.86,11.09,23.28,21.3,23.9,11.72,18.4,46.44,25.47,11.31,56.69,21.31,19.7,9.95,7.63,54.83,10.15,15.18,12.7,10.25,19.32,26.24,18.3,14.13,25.09,45.65,9.16,22.65,51.16,14.2,33.28,33.89,22.91,15.62,12.61,20.37,39.87,28.42,36.3,22.33,18.08,67.55,17.57,35.49,18.97,21.04,30.03,25.1,13.63,30.32,27.08,38.59,22.57,19.14,20.4,38.93,25.05,33.18,47.9,33.07,10.27,47.06,10.22,35.7,25.82,52.12,21.51,30.59,20.25,20.16,22.9,23.05,18.99,44.13,45.57,17.18,20.56,26.46,50.39,25.06,21.8,20.92,16.2,38.12,55.77,13.09,45.84,16.89,33.97,31.98,24.53,12.34,11.76,45.3,19.84,15.78,20.18,18.38,44.66,23.99,57.93,30.78,16.32
2018,11.79,12.75,48.94,36.44,28.56,14.16,29.35,43.64,96.91,49.06,34.11,36.3,12.09,34.44,49.63,9.06,14.81,26.3,30.94,32.23,11.44,28.42,19.07,40.48,33.21,34.08,16.87,34.08,42.23,36.94,36.43,24.52,48.3,33.2,26.51,11.7,22.58,25.03,35.16,8.99,21.83,59.26,28.41,10.48,71.32,16.18,24.34,16.63,8.0,64.35,13.58,31.23,17.31,18.04,31.39,31.79,18.82,12.8,25.5,57.55,11.4,30.77,60.17,13.81,35.54,33.58,29.56,19.65,14.83,25.14,56.59,37.36,38.35,32.39,23.13,85.38,24.2,44.97,9.94,27.11,34.41,26.16,28.05,53.4,28.51,47.48,42.15,36.25,22.11,33.95,25.08,37.31,36.11,41.83,8.23,43.89,22.85,52.27,26.45,57.0,29.02,45.39,20.6,17.17,32.57,33.97,23.0,66.55,53.4,18.91,24.57,41.13,63.38,39.09,29.0,19.83,20.17,51.8,55.51,19.69,40.51,14.16,29.61,49.27,33.52,7.23,13.78,42.95,27.14,28.39,25.62,13.71,55.2,37.14,57.23,34.35,21.96
