year,Cleveland,Durham,Northumbria,Cheshire,Cumbria,Greater Manchester,Lancashire,Merseyside,Humberside,North Yorkshire,South Yorkshire,West Yorkshire,Derbyshire,Leicestershire,Lincolnshire,Northamptonshire,Nottinghamshire,Staffordshire,Warwickshire,West Mercia,West Midlands,Bedfordshire,Cambridgeshire,Essex,Hertfordshire,Norfolk,Suffolk,City of London,Metropolitan Police,Hampshire,Kent,Surrey,Sussex,Thames Valley,Avon and Somerset,Devon and Cornwall,Dorset,Gloucestershire,Wiltshire
2009,209,227,541,396,117,789,411,468,171,161,243,741,278.0,219.0,148,155,199,200,116,210,651,83,157,184,87,165,79,19,956.0,323,226,99,492,251,392,353,113,89,143
2010,254,269,528,400,163,927,511,390,216,154,259,749,248.0,227.0,109,190,205,240,110,194,673,83,185,220,108,174,105,29,971.0,351,211,138,429,317,352,357,130,96,147
2011,330,259,565,397,162,960,543,427,336,195,316,752,212.0,215.0,167,204,251,271,102,208,758,94,185,250,110,166,112,29,1045.0,402,213,123,465,317,435,381,160,128,167
2012,323,222,519,381,149,977,585,449,270,167,329,811,255.0,129.0,142,232,239,220,110,208,707,78,203,167,141,192,93,37,1001.0,440,209,122,473,296,341,411,135,134,211
2013,306,196,474,378,152,979,636,421,267,167,346,738,258.0,116.0,159,194,221,229,146,236,600,99,166,217,142,225,109,33,996.0,419,376,123,319,345,341,389,191,98,197
2014,337,241,474,439,161,1201,683,461,306,186,374,798,332.0,121.0,205,213,305,250,139,242,685,115,229,279,177,251,154,29,1097.0,506,469,154,324,419,409,456,194,126,199
2015,279,171,482,417,153,1096,712,536,273,226,431,734,350.0,162.0,178,236,260,303,135,238,751,118,249,267,196,254,144,52,1079.0,433,461,179,385,442,438,463,219,142,228
2016,295,156,486,468,178,1149,718,620,355,181,421,687,337.0,107.0,168,243,324,283,158,258,825,169,240,327,177,216,190,41,1173.0,454,520,209,382,484,433,474,268,181,193
2017,309,178,457,471,149,1078,621,543,282,222,378,687,214.0,195.0,153,286,260,243,112,212,727,161,198,335,150,189,165,48,1087.0,493,452,192,376,443,405,518,233,160,203
2018,365,220,655,515,170,1235,630,680,335,235,460,830,385.0,250.0,190,355,335,315,155,280,895,210,285,400,205,245,220,55,1225.0,605,490,240,515,495,615,575,260,180,300
2019,400,230,775,595,175,1375,660,745,360,285,495,815,405.0,220.0,170,355,365,405,170,315,965,180,280,480,225,225,210,35,1185.0,610,485,260,415,590,710,560,310,185,310
2020,705.0,225.0,210.0,730.0,110.0,1135.0,320.0,650.0,230.0,195.0,290.0,365.0,330.0,275.0,40.0,40.0,95.0,150.0,175.0,315.0,595.0,510.0,145.0,330.0,315.0,35.0,560.0,160.0,4015.0,130.0,245.0,55.0,335.0,675.0,240.0,1015.0,235.0,65.0,200.0
