year,Barking and Dagenham,Barnet,Barnsley,Bath and North East Somerset,Bedfordshire,Bexley,Birmingham,Blackburn with Darwen,Blackpool,Bolton,Bournemouth and Poole,Bradford,Brent,Brighton and Hove,"Bristol, City of",Bromley,Buckinghamshire,Bury,Calderdale,Cambridgeshire,Camden,Cheshire,City of London and Hackney,Cornwall and Isles of Scilly,County Durham,Coventry,Croydon,Cumbria,Darlington,Derby,Derbyshire,Devon,Doncaster,Dorset,Dudley,Ealing,East Berkshire,East Riding of Yorkshire,East Sussex,Enfield,Essex,Gateshead,Gloucestershire,Greenwich,Halton and St. Helens,Hammersmith and Fulham,Hampshire,Haringey,Harrow,Hartlepool,Havering,"Herefordshire, County of",Hertfordshire,Hillingdon,Hounslow,Isle of Wight,Islington,Kensington and Chelsea,Kent,"Kingston upon Hull, City of",Kingston upon Thames,Kirklees,Knowsley,Lambeth,Lancashire,Leeds,Leicester,Leicestershire and Rutland,Lewisham,Lincolnshire,Liverpool,Luton,Manchester,Medway,Merton and Sutton,Middlesbrough,Milton Keynes,Newcastle upon Tyne,Newham,Norfolk,North East Lincolnshire,North Lincolnshire,North Somerset,North Tyneside,North Yorkshire and York,Northamptonshire,Northumberland,Nottingham,Nottinghamshire,Oldham,Oxfordshire,Peterborough,Plymouth,Portsmouth,Redbridge,Redcar and Cleveland,Richmond upon Thames,Rochdale,Rotherham,Salford,Sandwell,Sefton,Sheffield,Shropshire,Solihull,Somerset,South Gloucestershire,South Tyneside,Southampton,Southwark,Staffordshire,Stockport,Stockton-on-Tees,Stoke-on-Trent,Suffolk,Sunderland,Surrey,Swindon,Tameside and Glossop,Telford and Wrekin,Torbay,Tower Hamlets,Trafford,Wakefield,Walsall,Waltham Forest,Wandsworth,Warrington,Warwickshire,West Berkshire,West Sussex,Westminster,Wigan,Wiltshire,Wirral,Wolverhampton,Worcestershire
2009,43.0,24,63,8.0,12,41,85,26,35,49,74,70,27,56,47,42,11,27,27,23,17,37,35,33,20,70,68,21,9,38,70,130,24,71,36,25,15,13,106,19,101,,146,84,54,12,125,24,11,11,27.0,,50,24,21,17,21,16,60,27,25,42,77,97,155,43,53,45,83,43,223,29,73,18.0,72,14,20,7,57,44,10,14,28.0,9,30,30.0,6,53,48,16,25,12,,75,31,,37,26,35,27,19,36,50,42.0,,48,9,,33,116,75,21,10,61,36,,63,,28,31.0,14,31,12,67,21,47.0,40,31,153,36.0,41,23,58,9,28,24,24
2010,45.0,23,36,6.0,6,60,99,27,48,26,60,67,17,41,45,37,13,26,17,21,20,40,32,44,51,38,69,58,13,41,90,106,23,62,30,19,5,16,135,32,103,1.0,121,96,68,13,129,24,14,11,35.0,17.0,33,15,17,17,57,13,89,51,17,47,63,92,201,62,47,47,52,37,174,16,82,30.0,93,10,31,4,44,62,27,14,15.0,3,34,43.0,10,90,125,13,13,8,8.0,90,22,16.0,55,31,15,23,31,33,53,48.0,8.0,6,4,5.0,13,42,68,26,26,40,24,4.0,47,10.0,39,37.0,20,44,10,36,20,33.0,104,52,89,39.0,34,22,65,21,45,24,38
2011,44.0,25,46,7.0,13,52,71,31,69,58,132,58,36,70,36,46,10,40,20,34,50,60,58,37,53,42,49,51,23,37,75,82,36,66,21,21,5,22,158,34,115,5.0,118,137,62,22,145,20,12,10,26.0,38.0,25,28,20,38,46,17,100,51,26,56,60,103,219,95,69,66,80,39,191,19,111,27.0,125,21,14,9,52,74,35,20,5.0,11,59,42.0,13,93,126,24,27,27,20.0,109,24,20.0,49,44,39,54,33,31,63,8.0,12.0,40,12,4.0,31,43,65,23,22,43,34,8.0,37,16.0,48,9.0,21,65,17,66,16,47.0,122,26,92,21.0,43,20,71,12,34,25,55
2012,44.0,12,34,7.0,18,65,59,36,81,66,51,38,47,67,27,78,8,43,35,31,49,65,43,62,43,6,64,57,27,34,59,29,56,49,24,26,7,17,102,28,118,11.0,101,110,80,19,110,30,28,13,20.0,17.0,31,29,25,20,47,34,95,55,17,58,68,80,212,98,52,47,65,47,215,22,91,31.0,75,22,9,18,46,57,27,13,7.0,15,44,41.0,17,82,87,34,15,23,16.0,77,35,15.0,23,30,15,54,24,44,72,9.0,6.0,47,2,19.0,28,69,63,27,13,65,34,33.0,69,7.0,43,7.0,2,67,16,56,16,43.0,75,29,14,5.0,49,39,61,7,43,36,51
2013,26.0,36,35,6.0,28,85,62,55,59,64,57,41,39,53,28,105,16,37,42,74,24,52,66,52,44,40,72,44,15,39,51,59,39,35,29,36,5,14,55,49,118,20.0,98,133,68,61,69,35,21,16,26.0,29.0,56,32,28,28,31,34,183,34,25,68,59,136,176,76,62,48,110,42,250,17,81,42.0,68,17,4,21,63,96,17,13,7.0,25,42,33.0,12,98,140,19,21,18,13.0,53,41,13.0,28,44,20,41,23,47,85,8.0,7.0,69,8,27.0,23,89,62,23,20,77,32,53.0,64,4.0,39,11.0,6,73,22,55,16,30.0,51,22,26,9.0,36,38,68,8,26,24,41
2014,16.0,25,45,,23,99,128,52,53,77,68,57,33,66,37,113,12,55,40,28,27,81,64,55,56,42,89,72,26,35,81,110,23,48,28,36,15,34,100,23,123,12.0,29,110,66,27,166,48,17,29,15.0,24.0,52,18,22,27,22,20,171,74,13,50,56,118,214,84,55,56,87,56,245,35,76,29.0,63,23,10,10,71,90,25,18,9.0,15,66,,17,112,142,35,28,12,22.0,63,21,12.0,23,60,21,88,29,41,59,8.0,17.0,61,6,17.0,28,72,59,45,19,88,52,40.0,114,,51,9.0,33,58,23,60,23,20.0,61,30,26,,64,26,80,15,50,29,42
2015,19.0,48,50,,32,119,135,49,67,65,82,86,60,74,52,126,19,51,34,68,33,87,52,45,52,65,56,94,22,58,97,73,52,54,28,29,16,25,92,35,186,22.0,53,153,96,26,152,37,16,24,18.0,18.0,83,26,20,30,34,22,153,72,11,70,55,100,230,125,86,65,66,87,278,47,143,37.0,86,23,29,27,58,130,35,22,,25,96,,26,107,114,54,32,35,19.0,39,36,12.0,14,45,42,102,34,62,33,7.0,,47,11,10.0,50,67,79,78,13,119,57,27.0,118,13.0,62,,23,39,33,70,26,39.0,54,47,33,,61,39,137,17,42,29,49
2016,29.0,61,50,11.0,36,39,166,75,47,37,64,68,56,87,67,61,66,63,30,51,20,87,46,69,68,78,47,70,18,79,118,86,56,26,57,31,79,52,109,36,161,33.0,78,73,129,32,129,35,17,24,7.0,25.0,104,29,21,15,23,31,154,118,9,58,58,91,238,124,119,73,63,79,329,85,136,27.0,65,33,32,45,66,85,35,30,21.0,39,115,,52,114,130,46,59,19,18.0,25,32,24.0,18,59,30,28,59,76,26,,16.0,57,16,25.0,63,67,114,74,42,130,62,68.0,97,16.0,54,,17,62,13,56,43,30.0,49,46,50,14.0,66,48,94,20,74,42,25
2017,57.0,46,39,6.0,81,76,120,64,56,39,62,39,42,48,89,107,35,11,38,40,10,80,41,71,100,30,44,90,27,47,80,90,24,37,49,42,65,45,28,34,99,43.0,58,148,85,15,98,29,19,29,33.0,12.0,119,29,25,10,17,17,84,137,13,68,50,104,259,89,93,92,97,63,255,58,90,16.0,27,43,24,54,61,98,12,14,18.0,40,91,,38,139,76,17,50,9,22.0,25,61,19.0,10,16,17,43,31,50,27,18.0,21.0,41,13,32.0,62,69,137,27,34,74,60,64.0,41,16.0,14,8.0,22,51,12,43,38,74.0,30,44,34,10.0,56,44,101,29,89,14,20
2018,,25,30,10.0,75,85,135,50,80,40,60,85,50,45,100,75,50,20,40,25,10,65,30,55,95,55,55,70,15,50,110,60,55,25,40,20,80,50,50,30,140,40.0,45,110,90,20,110,20,25,30,,15.0,160,25,25,15,10,20,50,90,15,55,55,65,230,110,105,95,60,60,170,65,65,20.0,25,45,10,55,55,80,10,20,25.0,40,65,45.0,60,135,90,20,45,10,15.0,15,10,15.0,10,10,15,50,70,75,25,15.0,20.0,65,35,30.0,55,70,105,20,40,95,45,80.0,70,15.0,15,10.0,20,60,15,50,35,,25,40,40,,50,35,100,40,100,40,35
