year,Barking and Dagenham,Barnet,Barnsley,Bath and North East Somerset,Bedfordshire,Bexley,Birmingham,Blackburn with Darwen,Blackpool,Bolton,Bournemouth and Poole,Bradford,Brent,Brighton and Hove,"Bristol, City of",Bromley,Buckinghamshire,Bury,Calderdale,Cambridgeshire,Camden,Cheshire,City of London and Hackney,Cornwall and Isles of Scilly,County Durham,Coventry,Croydon,Cumbria,Darlington,Derby,Derbyshire,Devon,Doncaster,Dorset,Dudley,Ealing,East Berkshire,East Riding of Yorkshire,East Sussex,Enfield,Essex,Gateshead,Gloucestershire,Greenwich,Halton and St. Helens,Hammersmith and Fulham,Hampshire,Haringey,Harrow,Hartlepool,Havering,"Herefordshire, County of",Hertfordshire,Hillingdon,Hounslow,Isle of Wight,Islington,Kensington and Chelsea,Kent,"Kingston upon Hull, City of",Kingston upon Thames,Kirklees,Knowsley,Lambeth,Lancashire,Leeds,Leicester,Leicestershire and Rutland,Lewisham,Lincolnshire,Liverpool,Luton,Manchester,Medway,Merton and Sutton,Middlesbrough,Milton Keynes,Newcastle upon Tyne,Newham,Norfolk,North East Lincolnshire,North Lincolnshire,North Somerset,North Tyneside,North Yorkshire and York,Northamptonshire,Northumberland,Nottingham,Nottinghamshire,Oldham,Oxfordshire,Peterborough,Plymouth,Portsmouth,Redbridge,Redcar and Cleveland,Richmond upon Thames,Rochdale,Rotherham,Salford,Sandwell,Sefton,Sheffield,Shropshire,Solihull,Somerset,South Gloucestershire,South Tyneside,Southampton,Southwark,Staffordshire,Stockport,Stockton-on-Tees,Stoke-on-Trent,Suffolk,Sunderland,Surrey,Swindon,Tameside and Glossop,Telford and Wrekin,Torbay,Tower Hamlets,Trafford,Wakefield,Walsall,Waltham Forest,Wandsworth,Warrington,Warwickshire,West Berkshire,West Sussex,Westminster,Wigan,Wiltshire,Wirral,Wolverhampton,Worcestershire
2009,24.21,6.94,27.51,4.61,2.96,17.97,8.09,17.78,24.55,17.95,20.17,13.66,9.06,21.09,11.22,13.68,2.21,14.68,13.36,3.79,7.98,5.31,14.34,6.24,3.94,22.77,19.28,4.19,8.62,15.58,9.16,17.54,8.0,19.53,11.57,7.58,2.16,3.91,20.37,6.29,5.93,,24.73,34.47,18.07,6.66,9.6,9.61,4.71,12.02,11.53,,4.56,9.03,8.63,12.29,10.68,9.88,4.18,10.54,15.89,10.13,52.36,32.99,13.31,5.78,16.58,6.62,30.69,6.09,48.74,14.84,15.09,6.92,18.64,10.2,8.33,2.56,19.9,5.2,6.3,8.46,13.88,4.52,3.8,4.39,1.91,17.98,5.22,7.18,4.97,6.71,,37.69,11.46,,20.07,12.37,13.66,11.79,6.29,13.13,9.29,13.9,,9.12,3.47,,14.35,41.26,8.92,7.44,5.26,24.81,5.01,,5.66,,12.88,18.8,10.63,12.89,5.38,20.65,7.93,18.94,13.36,15.5,28.22,23.52,5.15,10.6,18.45,1.93,8.81,9.76,4.27
2010,24.61,6.54,15.65,3.44,1.47,26.01,9.33,18.37,33.62,9.45,16.05,12.93,5.58,15.21,10.64,11.99,2.59,14.07,8.37,3.42,9.31,5.73,12.85,8.27,9.99,12.19,19.28,11.6,12.38,16.6,11.72,14.25,7.63,17.02,9.61,5.69,0.71,4.8,25.78,10.4,6.0,0.5,20.37,38.53,22.67,7.19,9.83,9.5,5.9,11.99,14.82,9.3,2.98,5.57,6.82,12.29,28.48,8.1,6.13,19.91,10.72,11.23,43.03,30.91,17.22,8.29,14.47,6.87,19.08,5.2,37.71,8.02,16.65,11.42,23.94,7.26,12.63,1.45,14.71,7.27,16.99,8.41,7.39,1.5,4.28,6.25,3.17,30.02,13.51,5.81,2.56,4.4,3.15,44.4,8.0,11.82,29.52,14.71,5.84,9.92,10.12,12.05,9.73,15.76,3.88,1.14,1.53,3.37,5.58,14.8,8.04,9.2,13.62,16.17,3.32,1.45,4.17,4.83,17.83,22.34,15.22,17.7,4.44,11.06,7.5,12.99,34.37,25.83,16.36,25.33,4.23,10.13,20.55,4.47,14.1,9.69,6.74
2011,23.53,6.99,19.84,3.99,3.14,22.34,6.61,20.99,48.56,20.92,34.79,11.09,11.53,25.65,8.41,14.81,1.97,21.57,9.8,5.46,22.72,8.57,22.78,6.9,10.33,13.25,13.43,10.2,21.78,14.86,9.73,10.97,11.9,18.04,6.7,6.19,0.7,6.57,29.97,10.83,6.65,2.5,19.72,53.62,20.59,12.06,10.97,7.83,4.99,10.86,10.93,20.7,2.23,10.16,7.85,27.46,22.3,10.74,6.82,19.91,16.21,13.24,41.12,33.83,18.69,12.66,20.93,9.58,28.89,5.46,41.02,9.33,22.07,10.19,31.91,15.18,5.6,3.22,16.75,8.61,21.91,11.94,2.46,5.47,7.38,6.05,4.11,30.6,13.56,10.66,5.27,14.64,7.79,53.06,8.53,14.8,26.13,20.76,15.13,23.03,10.68,11.32,11.42,2.6,5.8,7.52,4.56,2.7,13.14,14.89,7.65,8.12,11.47,17.29,4.66,2.91,3.26,7.63,21.85,5.39,16.01,25.39,7.49,20.22,5.94,18.09,39.65,12.83,16.83,13.62,5.32,9.11,22.32,2.53,10.63,10.01,9.71
2012,23.08,3.3,14.54,3.95,4.3,27.74,5.44,24.35,57.03,23.65,13.32,7.25,14.94,24.3,6.23,24.84,1.57,23.1,17.06,4.95,21.8,9.25,16.61,11.47,8.36,1.86,17.34,11.42,25.59,13.57,7.63,3.85,18.49,13.35,7.65,7.64,0.98,5.06,19.21,8.83,6.77,5.49,16.77,42.31,26.5,10.43,8.26,11.63,11.57,14.09,8.34,9.18,2.75,10.31,9.67,14.41,22.25,21.67,6.42,21.4,10.42,13.64,46.59,25.86,18.04,12.94,15.66,6.78,23.16,6.54,45.73,10.71,17.83,11.56,18.96,15.86,3.56,6.39,14.54,6.59,16.9,7.72,3.42,7.45,5.48,5.85,5.37,26.58,9.32,15.06,2.9,12.33,6.21,37.29,12.3,11.11,12.17,14.15,5.8,22.79,7.71,16.07,12.92,2.92,2.89,8.78,0.75,12.81,11.74,23.51,7.39,9.51,6.75,26.02,4.64,11.97,6.03,3.3,19.53,4.17,1.52,25.41,7.01,17.08,5.91,16.38,24.23,14.23,2.55,3.23,6.01,17.43,19.14,1.47,13.42,14.34,8.96
2013,13.36,9.77,14.84,3.34,6.58,35.89,5.68,37.22,41.67,22.84,14.8,7.8,12.3,19.07,6.39,33.0,3.1,19.84,20.37,11.77,10.41,7.39,25.05,9.56,8.53,12.18,19.27,8.83,14.19,15.52,6.57,7.78,12.84,9.5,9.23,10.52,0.69,4.17,10.28,15.3,6.72,10.0,16.17,50.36,22.49,33.62,5.15,13.41,8.64,17.27,10.74,15.56,4.91,11.19,10.72,20.21,14.36,21.64,12.26,13.22,15.09,15.89,40.39,43.49,14.93,9.99,18.53,6.87,38.6,5.8,52.99,8.2,15.77,15.52,17.02,12.24,1.56,7.35,19.6,11.03,10.63,7.71,3.4,12.37,5.21,4.68,3.79,31.55,14.89,8.37,4.04,9.56,5.03,25.64,14.19,9.63,14.65,20.74,7.73,17.18,7.33,17.19,15.17,2.59,3.35,12.82,2.97,18.2,9.59,29.8,7.24,8.07,10.34,30.78,4.35,19.2,5.55,1.87,17.68,6.52,4.54,26.68,9.56,16.67,5.88,11.29,16.29,10.72,4.73,5.77,4.37,16.87,21.26,1.67,8.11,9.53,7.16
2014,8.05,6.69,18.91,,5.33,41.25,11.62,35.27,37.62,27.42,17.51,10.8,10.31,23.52,8.34,35.14,2.3,29.37,19.32,4.41,11.44,11.46,23.77,10.03,10.82,12.54,23.6,14.45,24.56,13.87,10.38,14.38,7.56,12.99,8.87,10.5,2.06,10.08,18.5,7.09,6.93,5.98,4.74,40.91,21.73,14.86,12.3,18.15,6.93,31.32,6.1,12.78,4.51,6.18,8.33,19.38,9.94,12.67,11.33,28.75,7.72,11.63,38.24,37.27,18.1,10.97,16.25,7.94,29.97,7.65,51.63,16.65,14.65,10.61,15.65,16.55,3.84,3.47,21.64,10.26,15.62,10.64,4.32,7.39,8.16,,5.37,35.63,15.01,15.34,5.33,6.3,8.44,30.28,7.15,8.88,11.9,28.17,8.07,36.43,9.17,14.97,10.47,2.57,8.09,11.25,2.21,11.44,11.57,23.78,6.86,15.71,9.77,35.07,7.0,14.45,9.79,,23.11,5.3,24.76,20.38,9.9,18.09,8.4,7.47,19.27,14.52,4.71,,7.71,11.31,24.91,3.1,15.55,11.45,7.29
2015,9.35,12.67,20.85,,7.29,49.1,12.13,33.14,47.8,23.06,20.98,16.23,18.55,26.05,11.54,38.73,3.6,27.16,16.36,10.6,13.53,12.26,18.89,8.14,10.01,18.88,14.73,18.85,20.76,22.85,12.39,9.45,17.02,14.53,8.85,8.42,2.17,7.42,16.88,10.65,10.39,10.91,8.58,55.73,31.55,14.27,11.2,13.79,6.48,25.95,7.22,9.55,7.12,8.78,7.51,21.46,14.94,13.87,10.05,27.84,6.41,16.17,37.35,31.18,19.35,16.17,25.0,9.13,22.37,11.8,57.81,22.01,26.99,13.45,21.19,16.51,11.02,9.29,17.25,14.69,21.88,12.95,,12.33,11.83,,8.22,33.55,11.98,23.46,6.06,18.07,7.27,18.52,12.08,8.87,7.21,21.0,16.1,41.6,10.65,22.62,5.8,2.24,,8.6,4.02,6.73,20.32,21.72,9.16,27.07,6.66,47.27,7.62,9.75,10.06,5.97,27.99,,17.19,13.27,14.16,20.96,9.42,14.41,16.9,22.62,5.94,,7.27,16.38,42.51,3.48,13.06,11.37,8.46
2016,13.93,15.85,20.67,5.88,8.08,15.91,14.72,50.52,33.58,13.05,16.24,12.77,17.16,30.3,14.69,18.62,12.38,33.42,14.35,7.91,8.03,12.2,16.4,12.38,13.03,22.08,12.26,14.03,16.93,30.83,15.0,11.04,18.22,6.97,17.95,8.99,10.63,15.39,19.83,10.84,8.91,16.29,12.52,26.15,42.19,17.6,9.45,12.86,6.84,25.85,2.76,13.19,8.84,9.67,7.83,10.69,9.91,19.77,10.0,45.38,5.18,13.33,39.19,28.17,19.91,15.88,34.05,10.15,21.08,10.61,67.47,39.37,25.12,9.75,15.91,23.52,12.02,15.32,19.16,9.53,21.9,17.56,9.92,19.16,14.09,,16.38,35.1,13.57,19.8,11.09,9.66,6.86,11.72,10.62,17.71,9.22,27.27,11.44,11.28,18.29,27.65,4.53,,7.54,10.34,5.78,16.76,25.16,21.5,13.16,25.53,21.43,51.25,8.25,24.52,8.21,7.32,24.2,,12.65,20.6,5.55,16.61,15.42,10.94,15.24,22.01,8.94,8.83,7.79,19.84,29.05,4.06,22.97,16.28,4.28
2017,27.05,11.86,16.03,3.18,18.0,30.88,10.55,43.02,40.04,13.69,15.67,7.29,12.76,16.66,19.38,32.48,6.53,5.8,18.14,6.17,3.95,11.16,14.46,12.6,19.1,8.33,11.43,18.06,25.39,18.29,10.1,11.43,7.77,9.87,15.34,12.25,8.7,13.31,5.07,10.22,5.44,21.24,9.23,52.32,27.69,8.2,7.15,10.69,7.63,31.18,12.89,6.28,10.08,9.59,9.29,7.09,7.23,10.92,5.4,52.56,7.45,15.56,33.66,32.09,21.55,11.34,26.31,12.61,32.19,8.39,51.88,27.02,16.5,5.76,6.6,30.57,8.97,18.25,17.53,10.91,7.51,8.17,8.46,19.56,11.1,,11.91,42.22,7.87,7.27,9.35,4.52,8.36,11.64,20.21,13.97,5.11,7.32,6.45,17.11,9.52,18.21,4.67,5.67,9.82,7.38,4.66,21.4,24.57,21.96,15.73,9.28,17.3,28.98,7.93,23.08,3.46,7.26,6.25,4.55,16.27,16.56,5.1,12.62,13.51,26.86,9.28,20.98,6.02,6.31,6.57,17.97,31.11,5.85,27.57,5.39,3.4
2018,,6.38,12.23,5.21,16.48,34.38,11.83,33.57,57.43,14.02,15.16,15.82,15.12,15.5,21.58,22.65,9.26,10.52,19.04,3.84,3.81,9.01,10.4,9.68,18.03,15.0,14.27,14.03,14.08,19.44,13.82,7.54,17.71,6.64,12.48,5.85,10.63,14.72,9.02,8.99,7.64,19.75,7.1,38.44,29.18,10.79,7.99,7.39,9.99,32.17,,7.81,13.51,8.2,9.23,10.6,4.18,12.8,3.19,34.53,8.55,12.54,36.77,19.94,19.01,13.94,29.56,12.87,19.77,7.94,34.36,30.36,11.87,7.2,6.09,32.02,3.72,18.32,15.62,8.85,6.26,11.63,11.69,19.42,7.88,6.02,18.73,40.78,9.26,8.49,8.36,4.97,5.7,6.97,3.29,10.97,5.08,4.55,5.67,19.65,21.38,27.23,4.29,4.68,9.31,11.62,12.38,19.96,21.76,22.06,12.0,6.85,20.28,37.13,5.93,28.84,5.88,6.76,6.66,5.62,14.73,18.89,6.35,14.49,12.35,,7.66,19.09,7.01,,5.82,13.71,30.67,8.03,30.94,15.27,5.91
2019,18.79,5.05,16.2,10.35,19.48,12.08,13.14,33.4,28.68,13.91,13.91,17.6,18.19,10.31,22.66,13.54,4.6,7.85,21.28,7.65,7.41,11.0,10.31,12.24,19.81,18.84,7.76,10.0,28.09,15.55,11.84,5.61,16.03,9.25,3.11,5.85,8.59,10.26,4.49,3.0,8.94,12.37,7.06,20.84,20.97,8.1,9.04,5.58,9.95,26.69,13.48,5.19,10.09,9.78,9.21,10.58,6.19,9.61,4.11,40.42,5.63,11.37,23.2,27.6,17.22,11.35,24.0,8.71,16.35,8.54,41.16,37.55,12.66,,8.48,28.37,7.42,23.12,15.57,8.26,3.76,8.71,9.3,21.64,9.65,6.64,21.71,19.53,7.15,8.43,7.39,4.94,5.72,16.29,11.47,18.23,7.58,11.24,11.3,17.39,13.7,30.75,5.13,9.28,6.93,12.45,8.77,26.49,21.78,18.82,16.49,8.52,27.87,68.26,6.57,32.41,6.69,20.25,8.83,11.12,7.34,21.56,8.43,17.23,3.5,18.05,13.65,16.67,9.52,6.31,6.37,13.39,28.91,7.0,26.23,24.68,7.55
