year,Cleveland,Durham,Northumbria,Cheshire,Cumbria,Greater Manchester,Lancashire,Merseyside,Humberside,North Yorkshire,South Yorkshire,West Yorkshire,Derbyshire,Leicestershire,Lincolnshire,Northamptonshire,Nottinghamshire,Staffordshire,Warwickshire,West Mercia,West Midlands,Bedfordshire,Cambridgeshire,Essex,Hertfordshire,Norfolk,Suffolk,City of London,Metropolitan Police,Hampshire,Kent,Surrey,Sussex,Thames Valley,Avon and Somerset,Devon and Cornwall,Dorset,Gloucestershire,Wiltshire
2009,6.31,4.74,1.56,11.95,4.19,12.77,14.87,26.53,7.01,3.8,12.99,11.33,10.71,9.81,6.09,4.39,8.31,12.51,28.22,8.01,9.49,6.83,4.46,5.93,4.56,5.2,5.01,468.42,16.15,13.38,4.6,5.66,12.83,5.12,8.86,10.7,19.85,24.73,1.34
2010,11.34,10.4,1.91,15.61,11.6,12.81,18.94,22.89,11.8,4.28,9.53,10.35,12.91,9.32,5.2,6.25,17.55,9.88,16.36,11.5,9.22,3.61,3.64,6.0,2.98,7.27,3.32,436.09,16.19,13.2,6.94,4.17,13.16,4.78,4.78,10.71,16.53,20.37,4.58
2011,13.1,12.29,3.52,14.39,10.2,18.25,21.83,22.89,13.94,7.38,13.69,13.24,10.98,13.26,5.46,6.05,17.76,9.83,16.83,8.99,8.03,5.19,7.56,6.65,2.23,8.61,4.66,782.51,18.71,16.98,7.34,3.26,16.84,3.61,6.24,9.57,26.57,19.72,4.09
2012,11.28,11.29,7.93,16.86,11.42,17.21,22.45,26.69,12.16,5.48,13.09,12.72,9.08,9.66,6.54,5.85,13.61,11.62,2.55,6.83,6.19,6.41,6.65,6.77,2.75,6.59,4.64,650.33,17.81,12.27,7.21,6.03,13.43,2.04,5.57,6.48,13.34,16.77,2.03
2013,11.79,9.49,11.06,13.72,8.83,16.14,19.76,27.52,8.46,5.21,13.18,12.53,8.76,10.65,5.8,4.68,19.03,12.56,4.73,7.2,7.23,7.11,11.26,6.72,4.91,11.03,4.35,1094.35,20.58,8.99,12.76,5.55,8.8,2.53,7.23,7.68,12.21,16.17,1.73
2014,14.79,13.15,7.74,17.02,14.45,21.61,21.69,28.13,16.34,8.16,10.83,12.87,11.23,10.64,7.65,0.0,20.15,13.23,4.71,6.67,10.55,9.03,4.84,6.93,4.51,10.26,7.0,1042.52,17.4,14.65,11.22,9.79,13.93,2.97,6.86,12.89,15.31,4.74,2.14
2015,12.81,11.83,9.53,22.03,18.85,27.96,23.43,31.18,16.65,11.83,12.87,16.9,14.95,14.3,11.8,0.0,17.39,17.78,5.94,5.91,11.18,12.11,12.33,10.39,7.12,14.69,7.62,777.63,18.29,13.87,10.57,10.06,13.61,4.34,6.61,9.3,17.84,8.58,4.25
2016,21.78,13.69,18.15,24.97,14.03,21.72,24.26,38.05,25.31,14.09,11.69,14.64,18.89,17.96,10.61,0.0,19.02,21.78,8.94,3.96,16.06,18.29,8.32,8.91,8.84,9.53,8.25,634.83,15.19,11.78,9.96,8.21,15.56,11.2,10.22,10.96,11.73,12.52,5.06
2017,22.08,20.16,18.71,19.83,18.06,13.22,25.43,31.34,22.37,11.1,7.68,12.01,12.11,17.08,8.39,0.0,16.61,18.74,6.02,4.56,10.46,20.91,5.78,5.44,10.08,10.91,7.93,535.67,17.31,9.85,5.46,3.46,7.8,8.2,9.85,11.72,12.85,9.23,6.28
2018,22.9,17.36,20.94,18.41,14.03,12.62,24.03,28.11,18.24,7.88,8.91,14.65,15.19,18.3,7.94,6.02,17.26,17.68,7.01,5.85,13.54,20.92,4.11,7.64,13.51,8.85,5.93,344.59,12.41,9.82,3.79,5.88,8.51,8.19,13.73,8.51,11.01,7.1,7.64
2019,25.48,21.2,23.23,16.88,10.0,13.22,19.88,28.67,17.26,9.65,10.65,14.58,12.74,13.63,8.54,6.64,10.29,28.17,9.52,8.13,12.46,25.19,7.01,8.94,10.09,8.26,6.57,308.61,12.63,11.55,3.49,6.69,6.42,7.05,13.96,7.9,11.63,7.06,11.08
2020,11.420719997329309,10.20573185303118,17.419186927002677,22.500414851398823,11.999712006911833,10.932098970055218,15.242478002784734,31.820184487135553,22.51271968662294,4.82700030892802,10.290840442293225,13.93373288133733,9.905697757350028,14.08699034632184,3.284184418778178,9.292717960699768,10.673766246044035,18.927139316950353,6.921217511372426,7.742472961348801,6.829220321574327,22.963235119823644,7.011016644153513,15.16255066593381,9.667773276425176,8.812902088657795,7.880738162474552,462.91533792819666,12.753235150109154,11.54770356342049,6.451227910592432,8.35955446918501,6.424880876867742,6.609522206452392,18.906021946110275,7.052023056166261,4.522904635201896,4.7090586591740315,9.000065077393636
