year,Barking and Dagenham,Barnet,Barnsley,Bath and North East Somerset,Bedfordshire,Bexley,Birmingham,Blackburn with Darwen,Blackpool,Bolton,Bournemouth and Poole,Bradford,Brent,Brighton and Hove,"Bristol, City of",Bromley,Buckinghamshire,Bury,Calderdale,Cambridgeshire,Camden,Cheshire,City of London and Hackney,Cornwall and Isles of Scilly,County Durham,Coventry,Croydon,Cumbria,Darlington,Derby,Derbyshire,Devon,Doncaster,Dorset,Dudley,Ealing,East Berkshire,East Riding of Yorkshire,East Sussex,Enfield,Essex,Gateshead,Gloucestershire,Greenwich,Halton and St. Helens,Hammersmith and Fulham,Hampshire,Haringey,Harrow,Hartlepool,Havering,"Herefordshire, County of",Hertfordshire,Hillingdon,Hounslow,Isle of Wight,Islington,Kensington and Chelsea,Kent,"Kingston upon Hull, City of",Kingston upon Thames,Kirklees,Knowsley,Lambeth,Lancashire,Leeds,Leicester,Leicestershire and Rutland,Lewisham,Lincolnshire,Liverpool,Luton,Manchester,Medway,Merton and Sutton,Middlesbrough,Milton Keynes,Newcastle upon Tyne,Newham,Norfolk,North East Lincolnshire,North Lincolnshire,North Somerset,North Tyneside,North Yorkshire and York,Northamptonshire,Northumberland,Nottingham,Nottinghamshire,Oldham,Oxfordshire,Peterborough,Plymouth,Portsmouth,Redbridge,Redcar and Cleveland,Richmond upon Thames,Rochdale,Rotherham,Salford,Sandwell,Sefton,Sheffield,Shropshire,Solihull,Somerset,South Gloucestershire,South Tyneside,Southampton,Southwark,Staffordshire,Stockport,Stockton-on-Tees,Stoke-on-Trent,Suffolk,Sunderland,Surrey,Swindon,Tameside and Glossop,Telford and Wrekin,Torbay,Tower Hamlets,Trafford,Wakefield,Walsall,Waltham Forest,Wandsworth,Warrington,Warwickshire,West Berkshire,West Sussex,Westminster,Wigan,Wiltshire,Wirral,Wolverhampton,Worcestershire
2009,78.84,28.34,135.39,69.22,46.65,42.52,110.18,176.47,281.95,151.62,70.58,128.81,37.9,175.46,209.31,52.13,16.24,123.45,82.15,67.96,104.26,75.45,91.77,52.02,66.23,88.49,58.68,62.7,115.95,123.37,61.89,74.63,160.24,62.71,95.15,71.83,19.26,33.96,105.69,34.11,33.91,104.31,72.48,100.13,188.02,98.83,35.42,67.65,34.26,130.01,45.27,52.09,23.8,57.97,61.22,57.82,106.76,74.12,33.03,145.66,55.94,53.76,257.02,104.06,130.05,90.87,120.11,41.34,86.53,44.64,400.85,90.56,218.07,76.09,53.33,169.01,37.06,103.87,63.19,59.79,110.91,72.48,101.13,81.4,49.95,38.33,76.31,127.88,75.18,108.16,49.72,118.46,109.44,117.6,42.52,63.3,61.82,190.73,142.01,143.26,66.16,117.82,148.96,54.29,33.09,62.1,53.9,41.07,61.3,133.04,43.62,87.51,72.64,163.5,36.48,52.5,29.9,68.99,163.28,66.11,114.71,63.2,64.56,83.52,86.87,58.43,60.13,99.97,61.98,104.55,41.08,91.25,145.69,31.5,162.38,67.88,67.76
2010,90.79,41.26,133.44,76.32,41.32,58.08,104.05,281.02,339.75,122.47,68.76,111.58,50.53,128.39,225.98,49.91,15.31,116.37,89.63,61.31,135.52,79.16,89.53,63.34,76.57,76.04,53.92,84.77,145.68,159.09,72.66,56.59,187.85,69.45,81.36,73.04,21.18,32.97,114.2,45.51,36.68,104.66,62.95,115.58,172.33,87.37,35.74,83.48,39.59,152.55,44.45,78.2,24.65,52.7,69.41,67.21,137.91,69.17,36.37,204.16,55.47,54.98,267.76,129.68,139.78,104.74,112.95,36.55,91.73,52.26,425.44,80.67,224.52,89.06,56.63,217.92,63.15,87.47,58.49,61.08,183.7,81.66,96.07,71.94,57.3,39.24,73.54,149.79,79.35,117.07,38.24,130.39,131.38,129.75,44.35,101.19,84.27,220.16,133.91,152.26,94.06,154.12,146.89,49.59,36.35,46.54,54.31,55.9,37.33,91.62,47.56,107.57,101.62,147.14,39.64,53.99,30.73,80.7,172.78,59.77,108.03,78.87,59.49,67.57,76.83,70.08,73.36,133.63,41.9,123.42,39.59,103.14,153.97,34.24,164.54,66.63,74.1
2011,73.79,43.91,163.03,71.78,70.62,64.44,111.7,328.46,383.59,156.15,99.09,143.56,57.01,120.53,232.67,66.33,20.93,139.68,109.22,77.94,169.48,75.26,114.3,74.07,88.11,127.16,49.34,103.64,170.48,142.2,88.75,61.92,226.47,68.6,81.72,82.22,18.32,49.0,139.98,45.55,44.24,114.3,78.72,165.57,175.34,145.25,48.79,76.7,31.19,208.5,31.94,86.05,31.43,63.16,56.88,91.77,142.04,109.95,37.85,248.71,65.45,86.77,244.68,108.71,153.13,118.56,126.81,49.65,113.02,72.19,427.35,90.36,280.17,94.76,75.06,250.06,68.43,99.25,69.57,72.37,198.45,79.99,77.8,101.39,69.84,41.93,86.95,159.92,96.12,126.13,64.78,165.89,173.43,176.21,44.78,125.77,63.46,198.65,165.3,174.85,101.6,155.49,149.89,58.94,37.71,68.1,66.43,74.24,70.38,92.82,51.44,117.21,116.25,129.87,49.99,74.46,31.8,107.29,197.52,46.15,156.26,102.34,61.21,97.42,89.05,90.47,85.47,120.86,66.05,122.61,44.26,98.37,178.86,45.12,175.71,79.25,76.6
2012,90.74,71.47,190.79,80.7,84.26,89.2,125.51,377.4,390.74,183.1,86.21,163.62,73.43,140.0,197.21,87.89,31.31,158.47,116.96,84.2,145.9,83.97,119.39,102.31,110.06,80.93,73.68,105.37,214.21,148.06,81.29,58.69,269.38,83.66,99.5,85.5,24.58,61.33,136.14,86.05,52.7,135.82,74.23,170.01,210.33,104.88,65.5,101.59,52.07,227.62,44.63,80.99,48.97,78.6,83.55,628.12,186.02,99.42,45.94,328.39,81.5,129.31,266.54,123.48,160.29,149.16,105.4,52.07,119.7,83.57,444.71,106.08,253.08,94.36,71.05,291.22,65.67,111.39,91.05,86.84,132.05,87.32,75.81,102.76,72.1,46.41,108.69,168.9,100.2,182.52,74.84,161.85,186.62,217.9,52.35,157.06,69.85,184.01,163.68,173.88,102.81,171.29,164.37,59.01,40.49,84.64,72.13,122.04,103.14,117.91,56.1,133.56,106.5,156.53,61.27,120.39,45.63,111.84,226.16,63.17,133.1,117.21,82.78,105.22,94.15,105.92,84.98,120.22,49.97,131.22,55.27,112.19,211.77,47.81,181.97,113.11,76.41
2013,72.98,90.14,202.7,91.39,76.64,105.57,117.38,347.18,309.32,170.55,112.68,168.84,81.04,157.2,218.07,99.95,33.95,146.41,134.86,106.37,140.14,80.67,146.13,106.43,98.08,121.79,94.75,106.92,166.47,138.08,96.05,82.59,236.75,84.11,98.61,101.14,28.25,59.81,90.48,86.48,54.87,153.42,88.62,179.48,202.78,158.2,58.28,123.36,45.68,236.34,40.47,84.23,57.43,84.97,83.44,104.65,212.64,112.0,77.49,287.73,99.6,126.92,240.95,208.19,145.34,131.82,141.35,52.67,164.24,85.85,426.04,116.2,253.28,92.73,75.36,326.11,69.04,94.11,115.41,97.32,142.53,82.39,83.91,98.43,80.31,45.06,105.88,174.79,106.99,133.94,90.93,155.01,154.3,173.71,56.08,150.41,79.0,197.51,138.32,201.95,104.15,177.41,181.19,55.0,54.51,106.99,53.91,109.85,108.81,162.73,65.12,169.54,149.41,192.25,62.24,122.42,57.36,75.69,225.35,68.19,116.49,168.85,116.01,131.58,111.42,123.09,95.82,106.74,71.7,109.59,69.39,113.18,190.11,54.8,187.42,123.56,79.98
2014,93.13,97.39,209.27,105.94,74.56,126.66,152.97,332.39,328.61,217.25,107.89,191.26,96.53,183.86,251.92,117.54,48.57,166.59,135.24,115.24,143.63,103.7,237.7,99.22,108.78,147.16,99.98,126.01,161.51,149.81,120.07,104.49,251.32,83.63,119.43,107.58,59.9,73.54,119.15,105.42,62.46,150.91,85.17,175.19,233.46,156.32,76.61,171.71,57.92,260.24,56.09,90.02,56.58,68.3,83.7,128.47,235.32,129.89,84.21,320.5,90.84,137.68,258.83,187.91,153.9,156.51,105.47,50.22,171.21,85.26,400.57,139.88,254.8,95.53,73.03,330.24,83.77,111.33,200.26,95.17,167.48,89.83,86.46,82.32,103.05,57.9,107.63,206.75,110.66,159.52,94.5,185.31,127.06,199.48,57.85,164.32,78.63,222.09,168.3,269.11,119.83,194.99,174.63,50.52,85.62,102.18,89.67,134.61,136.3,171.06,63.5,185.76,147.1,220.36,83.1,104.05,68.29,96.76,230.63,86.59,156.83,189.04,113.21,188.71,106.96,91.86,111.84,131.12,87.07,47.24,79.95,114.4,220.17,62.32,258.16,124.38,75.7
2015,106.35,118.8,222.63,117.75,73.61,130.78,151.85,331.4,359.58,241.28,118.45,217.97,109.45,176.01,352.39,126.65,58.62,142.18,157.82,126.73,171.84,111.6,268.78,112.19,119.96,157.14,64.99,137.99,144.34,175.68,139.19,109.53,274.96,101.71,123.6,111.54,71.83,76.91,122.93,125.94,73.44,166.56,116.43,185.4,226.74,170.16,79.74,195.71,54.29,263.79,60.15,79.04,65.9,91.2,94.97,135.94,265.49,159.53,83.25,373.18,68.76,152.94,294.03,200.16,175.29,168.13,120.34,59.85,144.07,90.32,433.38,157.32,284.82,107.2,87.47,348.14,87.01,91.48,196.87,104.21,193.79,101.86,117.18,105.56,108.52,77.82,132.41,198.79,100.34,178.11,93.36,211.2,135.43,208.04,60.08,183.26,85.0,178.24,200.44,289.17,112.82,208.33,154.08,62.45,82.06,111.08,93.45,131.32,143.87,170.21,84.44,196.76,161.43,253.03,94.15,102.6,68.41,119.49,235.21,106.01,160.7,217.13,133.06,188.01,114.18,99.38,111.12,127.06,77.64,50.17,73.58,141.57,265.33,69.19,236.24,145.43,78.23
2016,107.12,116.69,187.72,126.77,131.97,78.74,184.92,394.71,347.9,197.86,135.78,216.7,112.74,215.55,333.58,87.31,70.91,143.76,152.58,150.18,152.51,109.81,302.69,132.76,139.33,156.84,105.92,144.95,221.02,195.55,143.12,116.07,282.07,105.01,169.73,122.39,114.81,87.62,129.19,124.35,82.46,198.39,135.93,144.01,274.7,181.54,82.7,210.23,65.14,325.27,69.07,112.38,67.24,91.36,137.18,73.43,241.75,191.36,76.6,379.56,72.54,150.26,320.27,187.58,193.41,162.21,187.4,64.77,147.2,98.68,471.69,219.53,293.54,119.87,91.52,375.55,114.18,115.42,221.46,91.4,240.88,168.03,109.56,124.77,120.4,86.29,133.25,221.07,109.28,167.42,122.4,208.4,150.94,205.31,59.07,200.01,87.61,199.68,218.58,278.9,132.04,239.76,163.75,80.79,100.86,98.65,133.37,197.73,194.91,183.54,97.53,231.18,216.37,311.05,105.57,160.47,62.07,168.82,236.21,100.16,207.58,250.55,103.33,172.06,139.48,99.92,110.11,136.38,89.45,71.89,87.61,127.7,228.42,84.31,271.25,163.56,87.06
2017,156.61,99.79,182.05,104.94,134.91,102.79,175.0,355.58,431.83,191.35,145.59,206.81,147.37,200.24,305.93,111.72,67.73,108.11,174.26,133.44,132.22,130.44,325.13,116.57,148.38,119.95,99.26,158.31,212.51,176.63,126.65,126.53,271.57,87.72,161.54,158.72,123.5,89.33,114.44,123.83,80.75,192.18,117.49,197.28,306.26,208.2,86.52,185.09,73.13,442.92,94.91,84.8,80.53,87.65,145.3,85.12,208.09,181.07,74.23,444.62,84.19,151.21,327.14,181.76,179.72,182.84,160.38,81.4,146.36,84.4,410.54,192.4,262.51,106.62,86.25,429.47,124.48,117.63,230.18,105.86,167.06,136.02,100.08,131.07,110.52,97.27,134.47,195.01,95.71,140.32,149.95,184.0,140.65,213.3,75.22,211.76,90.45,173.95,206.17,276.92,122.29,195.57,144.52,85.68,116.86,112.39,131.17,213.97,217.94,167.07,95.43,185.88,280.93,236.12,101.06,162.67,49.86,206.02,226.67,93.87,212.2,292.24,113.38,159.04,159.26,141.2,106.11,155.93,85.73,81.4,93.51,184.64,275.07,90.72,247.83,144.27,76.31
2018,113.21,109.65,177.41,150.96,126.31,129.42,161.65,332.34,488.14,175.21,146.54,268.07,175.34,213.5,321.53,107.22,79.62,126.24,180.88,165.78,169.7,122.0,339.84,127.59,165.09,141.77,108.99,152.34,239.29,194.42,141.31,118.2,294.65,91.64,129.43,157.9,123.53,92.75,138.84,116.81,108.85,234.56,138.11,197.42,346.86,264.26,97.72,168.13,93.94,498.7,95.03,127.53,92.88,93.5,171.72,116.58,213.26,182.46,71.4,402.85,113.98,156.13,340.98,187.16,197.51,184.37,177.36,80.63,138.37,90.63,333.46,235.86,251.08,111.57,101.04,398.45,115.41,144.91,201.7,107.89,165.81,148.25,126.22,157.78,92.79,82.26,173.29,264.3,108.51,148.54,154.17,201.45,123.53,234.74,80.63,215.77,126.97,154.54,175.69,253.53,135.93,177.93,124.46,87.43,95.39,145.69,141.52,216.28,217.57,173.36,98.83,188.5,309.31,291.21,105.46,221.69,59.67,234.24,237.57,98.43,195.17,250.23,139.61,159.4,157.03,103.0,120.99,133.62,91.94,94.62,98.97,199.75,302.07,104.4,289.26,154.58,86.98
