year,Cleveland,Durham,Northumbria,Cheshire,Cumbria,Greater Manchester,Lancashire,Merseyside,Humberside,North Yorkshire,South Yorkshire,West Yorkshire,Derbyshire,Leicestershire,Lincolnshire,Northamptonshire,Nottinghamshire,Staffordshire,Warwickshire,West Mercia,West Midlands,Bedfordshire,Cambridgeshire,Essex,Hertfordshire,Norfolk,Suffolk,City of London,Metropolitan Police,Hampshire,Kent,Surrey,Sussex,Thames Valley,Avon and Somerset,Devon and Cornwall,Dorset,Gloucestershire,Wiltshire
2009,575,457,1098,1288,314,3870,2174,3051,782,394,1957,1996,774,665,315,262,1069,769,336,749,2390,366,624,578,261,506,262,224,5080,916,672,333,1343,714,1668,1256,487,428,288
2010,771,544,1058,1339,424,4040,2530,3302,1061,455,2017,1993,951,617,372,270,1183,766,228,811,2328,330,614,630,273,521,287,223,5657,912,762,346,1262,765,1672,1234,510,374,328
2011,931,632,1300,1300,518,4690,2824,3335,1252,558,2316,2549,1038,760,516,291,1379,760,361,850,2689,476,791,765,352,622,365,291,6373,1300,806,361,1425,928,1817,1510,627,471,439
2012,1031,792,1650,1470,526,5053,2997,3532,1408,579,2601,3123,1000,711,601,325,1456,869,274,873,2878,571,829,918,553,751,449,309,7575,2440,933,522,1560,1092,1797,1651,637,447,465
2013,1164,682,1611,1400,533,5112,2664,3448,1308,648,2570,3146,1093,841,622,318,1549,1039,394,900,3047,567,961,963,655,847,458,385,9086,1546,1408,662,1492,1200,2014,1758,744,537,425
2014,1208,734,1620,1713,628,5742,2773,3644,1493,833,2685,3705,1315,711,624,413,1697,1099,481,909,3722,616,1085,1109,653,835,617,640,10039,1958,1532,795,1824,1478,2287,1883,728,521,511
2015,1292,776,1714,1746,688,6210,3078,3848,1707,881,2774,4073,1536,840,666,562,1589,1365,431,979,3841,659,1222,1315,768,922,704,740,10891,2064,1563,802,1787,1639,2914,2035,841,719,598
2016,1524,962,2158,1908,723,6112,3385,4307,1955,983,2834,3974,1627,1121,735,632,1765,1634,500,1149,4630,1062,1378,1490,791,815,793,849,11205,2158,1512,733,2071,2300,2903,2319,927,847,784
2017,1856,1003,2205,2202,789,5795,3293,3841,1961,906,2660,4109,1457,1161,634,721,1566,1434,484,1048,4409,1020,1231,1470,951,951,765,922,12133,2314,1450,591,2006,2550,2806,2310,905,738,904
2018,1930,1125,2730,2230,760,5850,3565,3585,1885,765,2540,4510,1625,1225,685,615,1930,1610,525,1215,4280,1080,1485,1995,1100,975,800,980,12640,2565,1430,710,2240,2650,3265,2255,925,875,1040
2019,2370,1395,3195,2420,755,7095,3795,4135,2190,900,2920,4440,1380,1605,825,800,1820,2120,615,1320,4485,1515,1485,1915,1320,1045,815,1180,14845,3020,1300,1055,1725,2620,3855,2075,1010,850,1125
2020,2225.0,1290.0,3535.0,2575.0,770.0,6275.0,3965.0,4735.0,2040.0,670.0,2990.0,4270.0,1350.0,1685.0,835.0,850.0,1790.0,1840.0,570.0,1375.0,4355.0,1495.0,1550.0,2215.0,1340.0,1115.0,830.0,1250.0,15740.0,3435.0,1460.0,1185.0,2220.0,2475.0,4405.0,2145.0,350.0,830.0,1045.0
