year,England,East of England,East Midlands,London,North East,North West,South East,South West,West Midlands,Yorkshire and the Humber
2009,10861.0,755,999.0,975.0,977,2181,1391,1090,1177,1316
2010,11419.0,875,979.0,1000.0,1051,2391,1446,1082,1217,1378
2011,12412.0,917,1049.0,1074.0,1154,2489,1520,1271,1339,1599
2012,12108.0,874,997.0,1038.0,1064,2541,1540,1232,1245,1577
2013,12004.0,958,948.0,1029.0,976,2566,1582,1216,1211,1518
2014,13740.0,1205,1176.0,1126.0,1052,2945,1872,1384,1316,1664
2015,13872.0,1228,1186.0,1131.0,932,2914,1900,1490,1427,1664
2016,14548.0,1319,1179.0,1214.0,937,3133,2049,1549,1524,1644
2017,13585.0,1198,1108.0,1135.0,944,2862,1956,1519,1294,1569
2018,16610.0,1565,1515.0,1280.0,1240,3230,2345,1930,1645,1860
2019,17535.0,1600,1515.0,1220.0,1405,3550,2360,2075,1855,1955
2020,16445.0,1895.0,780.0,4175.0,1140.0,2945.0,1440.0,1755.0,1235.0,1080.0
