year,England,East of England,East Midlands,London,North East,North West,South East,South West,West Midlands,Yorkshire and the Humber
2009,10.86,5.34,8.24,15.61,3.84,15.17,8.39,11.98,11.78,9.86
2010,11.03,4.7,11.19,15.61,5.95,16.38,8.61,10.04,10.55,9.48
2011,12.5,5.82,11.69,18.27,7.66,18.76,9.81,11.39,9.45,12.59
2012,11.54,5.66,9.53,17.23,9.45,19.69,8.06,7.75,7.04,11.62
2013,12.16,7.38,10.82,20.09,10.84,18.24,7.64,8.37,8.02,10.88
2014,13.14,6.9,12,17.06,10.54,21.73,10.44,9.29,9.66,12.24
2015,14.87,10.5,13.87,17.75,10.78,26.16,10.37,9.14,11.03,15.06
2016,15.6,10.39,15.6,14.76,17.86,25.37,11.5,10.26,14.04,15.63
2017,13.57,9.14,12.87,16.68,19.78,20.55,7.3,10.33,10.34,12.53
2018,12.97,9.68,13.93,12.24,20.5,18.92,7.4,10.18,12.03,12.77
2019,13.1,10.26,10.73,12.16,23.22,17.91,7.14,10.58,14.24,13.28
