year,England,East of England,East Midlands,London,North East,North West,South East,South West,West Midlands,Yorkshire and the Humber
2009,5547.0,307,380.0,1240.0,86.0,1060,701.0,617.0,641.0,515
2010,5694.0,273,520.0,1258.0,154.0,1150,726.0,528.0,587.0,498
2011,6545.0,341,547.0,1499.0,199.0,1324,835.0,604.0,530.0,666
2012,5977.0,334,449.0,1432.0,246.0,1395,692.0,414.0,397.0,618
2013,6369.0,439,513.0,1691.0,283.0,1296,661.0,450.0,455.0,581
2014,6829.0,415,537.0,1457.0,276.0,1550,893.0,493.0,552.0,656
2015,7775.0,638,614.0,1538.0,283.0,1877,902.0,489.0,622.0,812
2016,8154.0,603,712.0,1294.0,471.0,1833,1022.0,566.0,805.0,848
2017,7156.0,564,590.0,1472.0,523.0,1492,652.0,574.0,606.0,683
2018,6925.0,600,690.0,1065.0,545.0,1380,665.0,570.0,710.0,700
2019,7016.0,640,535.0,1090.0,620.0,1315,645.0,595.0,845.0,731
2020,6605.0,750.0,495.0,1115.0,385.0,1295.0,710.0,580.0,555.0,720.0
