year,England,East of England,East Midlands,London,North East,North West,South East,South West,West Midlands,Yorkshire and the Humber
2009,10.63,5.34,8.24,15.61,3.34,15.17,8.39,11.8,11.6,9.86
2010,10.82,4.7,11.19,15.61,5.95,16.38,8.61,10.04,10.55,9.48
2011,12.32,5.82,11.69,18.27,7.66,18.76,9.81,11.39,9.45,12.59
2012,11.17,5.66,9.53,17.23,9.45,19.69,8.06,7.75,7.04,11.62
2013,11.82,7.38,10.82,20.09,10.84,18.24,7.64,8.37,8.02,10.88
2014,12.57,6.9,11.23,17.06,10.54,21.73,10.23,9.09,9.66,12.24
2015,14.19,10.5,12.73,17.75,10.78,26.16,10.25,8.94,10.81,15.06
2016,14.75,9.84,14.61,14.76,17.86,25.37,11.5,10.26,13.85,15.63
2017,12.87,9.14,11.99,16.68,19.78,20.55,7.3,10.33,10.34,12.53
2018,12.37,9.68,13.93,11.96,20.5,18.92,7.4,10.18,12.03,12.77
2019,12.46,10.26,10.73,12.16,23.22,17.91,7.14,10.58,14.24,13.28
2020,11.734511657149158,12.026801486576806,9.92693972903666,12.441434596717313,14.419794295079928,17.640177431579268,7.8630003969154005,10.311668399501057,9.352823381451785,13.08385094804312
