year,England,East of England,East Midlands,London,North East,North West,South East,South West,West Midlands,Yorkshire and the Humber
2009,41291,2597,3085,5304,2130,10697,3978,4127,4244,5129
2010,43760,2655,3393,5880,2373,11635,4047,4118,4133,5526
2011,50568,3371,3984,6664,2863,12667,4820,4864,4660,6675
2012,57248,4071,4093,7884,3473,13578,6547,4997,4894,7711
2013,59797,4451,4423,9471,3457,13157,6308,5478,5380,7672
2014,66860,4915,4760,10679,3562,14500,7587,5930,6211,8716
2015,72779,5590,5193,11631,3782,15570,7855,7107,6616,9435
2016,79555,6329,5880,12054,4644,16435,8774,7780,7913,9746
2017,79551,6388,5539,13055,5064,15920,8911,7663,7375,9636
2018,84195,7435,6080,13620,5785,15990,9595,8360,7630,9700
2019,93335,8095,6430,16025,6960,18200,9720,8915,8540,10450
2020,95075.0,8545.0,6510.0,16990.0,7050.0,18320.0,10775.0,8775.0,8140.0,9970.0
