year,Barking and Dagenham,Barnet,Barnsley,Bath and North East Somerset,Bedfordshire,Bexley,Birmingham,Blackburn with Darwen,Blackpool,Bolton,Bournemouth and Poole,Bradford,Brent,Brighton and Hove,"Bristol, City of",Bromley,Buckinghamshire,Bury,Calderdale,Cambridgeshire,Camden,Cheshire,City of London and Hackney,Cornwall and Isles of Scilly,County Durham,Coventry,Croydon,Cumbria,Darlington,Derby,Derbyshire,Devon,Doncaster,Dorset,Dudley,Ealing,East Berkshire,East Riding of Yorkshire,East Sussex,Enfield,Essex,Gateshead,Gloucestershire,Greenwich,Halton and St. Helens,Hammersmith and Fulham,Hampshire,Haringey,Harrow,Hartlepool,Havering,"Herefordshire, County of",Hertfordshire,Hillingdon,Hounslow,Isle of Wight,Islington,Kensington and Chelsea,Kent,"Kingston upon Hull, City of",Kingston upon Thames,Kirklees,Knowsley,Lambeth,Lancashire,Leeds,Leicester,Leicestershire and Rutland,Lewisham,Lincolnshire,Liverpool,Luton,Manchester,Medway,Merton and Sutton,Middlesbrough,Milton Keynes,Newcastle upon Tyne,Newham,Norfolk,North East Lincolnshire,North Lincolnshire,North Somerset,North Tyneside,North Yorkshire and York,Northamptonshire,Northumberland,Nottingham,Nottinghamshire,Oldham,Oxfordshire,Peterborough,Plymouth,Portsmouth,Redbridge,Redcar and Cleveland,Richmond upon Thames,Rochdale,Rotherham,Salford,Sandwell,Sefton,Sheffield,Shropshire,Solihull,Somerset,South Gloucestershire,South Tyneside,Southampton,Southwark,Staffordshire,Stockport,Stockton-on-Tees,Stoke-on-Trent,Suffolk,Sunderland,Surrey,Swindon,Tameside and Glossop,Telford and Wrekin,Torbay,Tower Hamlets,Trafford,Wakefield,Walsall,Waltham Forest,Wandsworth,Warrington,Warwickshire,West Berkshire,West Sussex,Westminster,Wigan,Wiltshire,Wirral,Wolverhampton,Worcestershire
2009,140,98,310,120,189,97,1157,258,402,414,259,660,113,466,877,160,81,227,166,412,222,526,224,275,336,272,207,314,121,301,473,553,481,228,296,237,134,113,550,103,578,206,428,244,562,178,461,169,80,119,106,95,261,154,149,80,210,120,474,373,88,223,378,306,1514,676,384,281,234,315,1834,177,1055,198,206,232,89,284,181,506,176,120,204,162,394,262,240,377,692,241,250,212,277,234,115,86,114,401,364,328,200,323,802,164,68,327,140,61,141,374,367,247,138,402,262,145,333,141,355,109,151,152,144,271,230,145,180,200,336,160,327,198,458,147,516,167,381
2010,166,145,307,133,169,134,1104,413,485,337,257,578,154,346,956,154,77,215,182,377,291,553,223,337,391,237,193,424,153,393,558,421,566,253,254,244,149,110,598,140,630,208,374,288,517,158,469,211,94,140,105,143,273,142,173,93,276,111,528,523,88,230,392,386,1632,783,367,250,250,372,1963,161,1106,234,220,300,155,242,175,521,292,136,195,144,455,270,232,449,734,262,194,237,334,263,122,137,157,464,344,353,288,422,800,151,75,246,142,83,87,260,402,304,194,364,287,149,346,167,378,99,142,196,134,220,205,178,222,269,228,190,318,224,487,161,525,165,418
2011,138,157,378,126,292,150,1200,485,545,433,376,751,178,329,996,206,106,259,223,485,373,527,291,397,452,403,180,518,180,354,684,463,685,251,256,279,130,164,738,143,765,229,471,423,528,265,645,196,75,192,76,158,352,174,145,127,293,174,555,637,105,367,357,331,1794,890,418,342,313,516,1990,184,1409,251,294,346,171,277,216,622,317,134,158,204,558,291,275,486,893,284,332,306,445,362,126,170,119,421,426,410,314,426,827,181,78,362,175,110,166,268,437,332,223,323,365,205,361,225,434,77,205,262,139,318,240,235,263,245,361,189,358,216,569,214,562,198,434
2012,173,260,446,143,353,209,1362,558,555,511,330,858,231,386,854,276,160,295,240,527,328,590,309,553,566,261,272,526,226,371,629,442,816,307,312,291,176,206,723,273,918,272,447,442,635,191,872,262,126,210,107,150,553,221,216,872,393,156,680,844,133,550,389,382,1884,1130,350,361,336,601,2091,218,1292,253,281,404,166,314,288,751,211,147,155,207,579,325,344,521,935,412,387,302,481,450,149,212,132,390,423,412,320,469,916,182,84,453,192,181,246,346,478,379,205,391,449,332,522,237,498,106,175,309,189,345,255,278,263,245,274,203,451,251,675,228,583,284,435
2013,142,332,478,164,326,250,1282,513,438,478,434,888,257,437,956,318,175,273,278,669,323,568,385,579,506,400,354,533,176,347,746,626,719,310,310,346,204,201,484,277,963,307,537,474,613,287,781,322,111,219,98,157,655,243,218,145,459,176,1157,740,165,543,352,651,1713,1003,473,368,468,622,2010,241,1301,251,301,453,177,269,371,847,228,139,173,199,648,318,335,543,1006,304,473,292,399,359,162,203,151,419,358,482,327,485,1015,170,114,576,145,163,261,486,558,483,289,481,458,338,662,162,497,115,154,462,267,434,303,327,300,219,394,171,571,255,608,263,601,311,458
2014,185,364,498,192,322,304,1685,490,463,610,419,1009,309,516,1118,378,253,312,280,732,339,733,640,544,563,493,377,628,171,378,937,799,765,309,377,369,437,248,644,342,1109,303,521,471,709,284,1034,454,142,241,138,169,653,199,221,179,521,205,1271,825,153,592,379,595,1820,1198,357,354,497,624,1901,294,1322,261,294,459,218,321,657,835,268,152,180,167,833,413,341,650,1047,364,496,353,331,415,170,222,152,473,438,650,379,534,984,157,180,554,243,200,330,518,546,532,286,553,617,288,795,209,509,147,209,538,263,626,293,246,354,271,481,74,664,263,707,302,830,315,436
2015,216,450,534,217,323,317,1690,490,504,680,463,1155,354,500,1588,412,309,267,328,813,419,792,740,620,623,541,247,688,153,446,1090,846,840,378,391,384,529,259,670,414,1315,336,719,509,690,310,1082,525,134,244,150,149,768,270,253,190,604,253,1268,965,118,662,433,642,2084,1300,414,426,425,666,2084,336,1509,295,355,485,229,266,662,922,310,173,246,214,881,562,419,634,955,410,493,409,354,438,179,248,165,382,523,709,360,571,877,195,173,607,256,195,354,525,728,567,315,637,704,284,802,260,521,182,215,638,310,628,315,269,355,264,431,79,617,337,855,338,760,371,453
2016,223,449,454,237,588,193,2086,586,487,561,535,1154,368,619,1521,286,378,271,319,968,380,783,849,740,727,554,406,723,235,501,1126,904,867,392,539,422,853,296,710,413,1490,402,847,402,840,330,1129,572,162,302,175,213,791,274,368,103,561,300,1180,987,126,654,474,606,2312,1267,655,466,440,735,2300,474,1589,332,374,527,304,339,763,815,385,287,232,254,983,632,423,718,1047,389,651,410,396,438,178,271,171,432,573,692,426,659,940,254,214,544,369,295,488,572,845,670,424,789,793,445,733,369,527,174,279,754,242,580,389,274,354,285,500,114,742,309,739,415,874,422,508
2017,330,387,443,198,607,253,1990,529,604,545,576,1106,485,577,1405,368,363,205,365,865,335,935,922,657,777,432,382,789,226,454,1003,996,839,329,516,544,923,302,632,412,1470,389,738,558,940,381,1186,502,182,412,243,162,951,265,391,120,489,282,1154,1159,147,661,486,589,2160,1435,567,594,441,634,2018,413,1432,296,353,604,333,348,801,951,267,233,213,268,906,721,429,642,924,328,802,366,370,458,227,288,177,380,543,696,398,537,835,272,250,624,366,320,550,525,831,541,552,603,765,451,591,454,508,165,287,900,267,542,448,389,343,327,484,129,797,452,893,450,800,375,449
2018,240,430,435,290,575,320,1845,495,680,500,580,1440,580,620,1490,355,430,240,380,1080,445,880,980,725,870,520,420,760,255,500,1125,940,915,345,415,540,930,315,770,390,1995,475,875,565,1070,490,1345,455,235,465,245,245,1100,285,465,165,510,285,1120,1050,200,685,510,610,2390,1455,630,595,420,685,1650,505,1375,310,415,560,310,435,710,975,265,255,270,325,765,615,555,875,1055,350,830,405,325,505,245,295,250,340,465,645,445,490,725,280,205,815,400,325,550,550,865,550,610,745,800,615,710,520,535,175,265,795,330,550,445,285,395,280,525,150,850,510,985,520,935,405,515
