PCTs,local_authorities,used_topology
East Midlands SHA,East Midlands,East Midlands
Bassetlaw PCT,Derby,Derby
Derby City PCT,Derbyshire,Derbyshire
Derbyshire County PCT,Leicester,Leicester
Leicester City PCT,Leicestershire,Leicestershire and Rutland
Leicestershire County and Rutland PCT,Lincolnshire,Lincolnshire
Lincolnshire PCT,Northamptonshire,Northamptonshire
Northampton PCT,Nottingham,Nottingham
Nottingham City PCT,Nottinghamshire,Nottinghamshire
Nottinghamshire County PCT,Rutland,
East of England SHA,East of England,East of England
Bedfordshire PCT,Bedford,Bedfordshire
Cambridgeshire PCT,Cambridgeshire,Cambridgeshire
Great Yarmouth and Waveney PCT,Central Bedfordshire,Essex
Hertfordshire PCT,Essex,Hertfordshire
Luton PCT,Hertfordshire,Luton
Mid Essex PCT,Luton,Norfolk
Norfolk PCT,Norfolk,Peterborough
North East Essex PCT,Peterborough,Suffolk
Peterborough PCT,Southend-on-Sea,
South East Essex PCT,Suffolk,
South West Essex PCT,Thurrock,
Suffolk PCT,,
West Essex PCT,,
London SHA,London,London
Barking and Dagenham PCT,Barking and Dagenham,Barking and Dagenham
Barnet PCT,Barnet,Barnet
Bexley Care Trust,Bexley,Bexley
Brent Teaching PCT,Brent,Brent
Bromley PCT,Bromley,Bromley
Camden PCT,Camden,Camden
City and Hackney Teaching PCT,City of London,City of London and Hackney
Croydon PCT,Croydon,Croydon
Ealing PCT,Ealing,Ealing
Enfield PCT,Enfield,Enfield
Greenwich Teaching PCT,Greenwich,Greenwich
Hammersmith and Fulham PCT,Hackney,Hammersmith and Fulham
Haringey Teaching PCT,Hammersmith and Fulham,Haringey
Harrow PCT,Haringey,Harrow
Havering PCT,Harrow,Havering
Hillingdon PCT,Havering,Hillingdon
Hounslow PCT,Hillingdon,Hounslow
Islington PCT,Hounslow,Islington
Kensington and Chelsea PCT,Islington,Kensington and Chelsea
Kingston PCT,Kensington and Chelsea,Kingston upon Thames
Lambeth PCT,Kingston upon Thames,Lambeth
Lewisham PCT,Lambeth,Lewisham
Newham PCT,Lewisham,Newham
Redbridge PCT,Merton,Redbridge
Richmond and Twickenham PCT,Newham,Richmond upon Thames
Southwark PCT,Redbridge,Southwark
Sutton and Merton PCT,Richmond upon Thames,Sutton and Merton
Tower Hamlets PCT,Southwark,Tower Hamlets
Waltham Forest PCT,Sutton,Waltham Forest
Wandsworth PCT,Tower Hamlets,Wandsworth
Westminster PCT,Waltham Forest,Westminster
,Wandsworth,
,Westminster,
North East SHA,North East,North East
County Durham PCT,County Durham,County Durham
Darlington PCT,Darlington,Darlington
Gateshead PCT,Gateshead,Gateshead
Hartlepool PCT,Hartlepool,Hartlepool
Middlesbrough PCT,Middlesbrough,Middlesbrough
Newcastle PCT,Newcastle upon Tyne,Newcastle upon Tyne
North Tyneside PCT,North Tyneside,North Tyneside
Northumberland Care Trust,Northumberland,Northumberland
Redcar and Cleveland PCT,Redcar and Cleveland,Redcar and Cleveland
South Tyneside PCT,South Tyneside,South Tyneside
North Tees PCT,Stockton-on-Tees,Stockton-on-Tees
