,Barking and Dagenham,Barnet,Barnsley,Bath and North East Somerset,Bedford,Bexley,Birmingham,Blackburn with Darwen,Blackpool,Bolton,"Bournemouth, Christchurch and Poole",Bracknell Forest,Bradford,Brent,Brighton and Hove,"Bristol, City of",Bromley,Buckinghamshire,Bury,Calderdale,Camden,Central Bedfordshire,Cheshire East,Cheshire West and Chester,City of London,Cornwall,County Durham,Coventry,Croydon,Darlington,Derby,Doncaster,Dorset,Dudley,Ealing,East Riding of Yorkshire,Enfield,Gateshead,Greenwich,Hackney,Halton,Hammersmith and Fulham,Haringey,Harrow,Hartlepool,Havering,"Herefordshire, County of",Hillingdon,Hounslow,Isle of Wight,Isles of Scilly,Islington,Kensington and Chelsea,"Kingston upon Hull, City of",Kingston upon Thames,Kirklees,Knowsley,Lambeth,Leeds,Leicester,Lewisham,Liverpool,Luton,Manchester,Medway,Merton,Middlesbrough,Milton Keynes,Newcastle upon Tyne,Newham,North East Lincolnshire,North Lincolnshire,North Somerset,North Tyneside,Northumberland,Nottingham,Oldham,Peterborough,Plymouth,Portsmouth,Reading,Redbridge,Redcar and Cleveland,Richmond upon Thames,Rochdale,Rotherham,Rutland,Salford,Sandwell,Sefton,Sheffield,Shropshire,Slough,Solihull,South Gloucestershire,South Tyneside,Southampton,Southend-on-Sea,Southwark,St. Helens,Stockport,Stockton-on-Tees,Stoke-on-Trent,Sunderland,Sutton,Swindon,Tameside,Telford and Wrekin,Thurrock,Torbay,Tower Hamlets,Trafford,Wakefield,Walsall,Waltham Forest,Wandsworth,Warrington,West Berkshire,Westminster,Wigan,Wiltshire,Windsor and Maidenhead,Wirral,Wokingham,Wolverhampton,York,Derbyshire,Leicestershire,Lincolnshire,Northamptonshire,Nottinghamshire,Cambridgeshire,Essex,Hertfordshire,Norfolk,Suffolk,Cumbria,Lancashire,East Sussex,Hampshire,Kent,Oxfordshire,Surrey,West Sussex,Devon,Gloucestershire,Somerset,Staffordshire,Warwickshire,Worcestershire,North Yorkshire
Barking and Dagenham,0,35700,312769,259368,126322,33488,219036,392422,414498,368825,235645,119466,340894,40099,116014,230092,44077,101780,374834,345267,26112,100818,305915,336378,20046,480600,435160,184542,56141,404998,235580,280167,258829,238003,47398,320409,28400,454288,14503,26589,352499,29990,28225,46847,425105,7321,237620,56489,57913,194159,,21828,26879,320228,38747,332987,360517,25435,331918,193138,23099,370873,90430,351560,48158,33212,408537,117114,459762,8945,300930,285267,247074,464239,503219,234850,376403,152923,406437,170260,108049,8352,417839,35748,368857,292890,182782,363811,232535,380598,298940,286057,67764,207541,220431,459170,188674,51282,20085,360355,349506,408083,283507,449217,80045,170528,347220,271976,21470,371529,15232,338705,327355,227767,18106,28735,339319,120265,22338,357781,223916,79862,380949,124488,238804,340876,270775,213203,202006,147180,237556,93806,36020,68305,161914,120420,475052,384902,93495,170710,54570,119582,103537,120912,340050,192910,287587,271758,183483,238234,342698
Barnet,35176,0,270140,205606,83693,48314,176407,349793,371869,326196,177667,74652,314147,10085,142087,200079,49246,60707,332205,318520,10606,58189,263287,293749,15864,422621,417308,141914,39243,387146,192951,261858,200851,195375,17385,291567,13479,436436,37495,14725,309870,19500,11446,11813,407252,36198,207606,26475,27900,167434,,11431,22226,291386,27182,290358,317888,21963,300535,150510,46091,328244,47801,308931,78527,34295,390685,74485,441910,31223,272089,256425,217061,446387,485367,192221,325153,124081,348459,143534,78035,25025,399987,21486,342110,250261,153941,321182,189906,337970,256312,243428,37751,172714,190417,441318,130695,81580,19332,317726,306877,390230,240878,431365,40186,140514,304592,229348,51840,313550,35441,296076,284726,185138,19257,27901,296690,90252,16515,315152,157246,49848,338320,73750,196175,323023,228146,170574,173165,104551,211611,83999,65569,28517,168731,151551,453959,342273,123864,112732,84940,89568,61273,126881,282072,162896,229609,229129,140854,208220,324846
Barnsley,312287,269444,0,321555,223473,330573,159342,118854,161941,102210,394045,300184,49967,274610,383696,302399,341162,237467,93727,54340,277159,224631,90711,107176,282778,559284,164775,161288,343389,134613,88861,26710,417229,178310,281909,92605,272788,183903,314606,281639,103745,284025,278360,265691,154720,305046,247219,279248,287613,409043,,278346,286751,103268,309330,25809,133126,288517,36355,125342,339838,143482,231040,57162,345243,323223,138152,206166,189377,308335,126178,97598,324766,193855,232835,84415,47704,162397,485121,385143,283339,292889,147454,286011,77930,20419,146551,98006,172841,153208,26155,196500,291246,162542,293542,188785,347074,334611,287552,132965,55573,137698,141673,178833,326328,292792,46363,179361,318709,450212,312552,72890,20546,142528,286171,292426,90568,287239,283069,116360,324402,291458,132195,305389,156076,70491,80271,106186,130341,178925,76387,217607,318600,250463,222292,278356,204667,134627,390580,329051,351655,242112,302883,368490,418696,249267,357179,132261,173921,206656,72313
Bath and North East Somerset,259648,209281,322869,0,203720,244579,176446,330818,352893,307221,93817,147210,366876,203863,253167,20630,224495,166160,313230,342427,211531,238464,244276,274774,201100,264660,470036,170188,212860,439875,236681,314587,92972,161031,185506,377336,227063,489165,254425,219350,290894,191171,216071,188701,459981,259321,118466,179285,179590,135687,,203801,193510,387999,178665,343086,298912,205156,353264,226785,214708,309268,228076,289955,260154,192694,443413,178359,494639,235849,390864,362284,28314,499116,538096,244950,306177,295929,190498,134412,129660,229650,452716,180076,317865,302990,277864,302206,163414,318994,309040,225451,161024,165960,27710,494046,104137,280779,203181,298750,287901,442959,223303,484094,195799,69801,300064,211370,249644,155589,207231,277100,337455,170519,223882,201439,277714,130199,197788,296176,42033,161685,319344,146308,178198,375752,257943,231208,336685,191536,279907,277781,265517,222300,376248,359068,434983,323297,260983,114911,247236,144601,162093,184031,119182,79455,48131,210153,188833,134305,377574
Bedford,121617,78774,223529,204828,0,139903,129795,303182,325257,279585,244329,125591,251979,83940,193026,199301,150492,56257,285594,256352,86489,18318,216675,247138,92108,463570,346245,95302,152719,316083,146340,191252,267513,148763,91239,231494,82118,365374,123936,90969,263259,93355,87690,75021,336190,114376,210780,88578,96942,218373,,87675,96080,231313,118659,243746,271277,97846,243003,103898,149168,281632,31440,262320,154573,132553,319622,27154,370848,117665,212016,196352,216283,375325,414305,145610,287488,64008,389407,194473,128974,102219,328925,95341,279943,203650,93868,274571,143295,291358,209700,196817,100576,126102,189640,370255,197358,143941,96881,271115,260265,319168,194267,360303,135658,131362,257980,182736,128039,354499,121882,249465,238115,138527,95501,101756,250079,141191,92398,268541,180202,100787,291708,124689,149564,251961,181535,123963,113091,38477,148641,49534,127930,54125,130251,113071,386137,295662,199910,179394,160985,88418,112212,177820,322982,153803,261465,182518,94243,170217,253783
Bexley,26185,48762,330426,245369,143979,0,236692,410079,432154,386482,221646,105467,358758,53161,102014,245435,12146,119436,392491,363131,28745,118474,323572,354035,22679,466600,453024,202199,22171,422862,253236,298031,244830,255660,60460,338273,41462,472153,11710,23307,370155,32624,27323,59909,442969,32620,281850,69550,47551,180160,,23978,29513,338092,35290,350643,378173,21420,360821,210795,11129,388529,108087,369216,34185,28233,426401,134771,477627,18664,318795,303131,262417,482104,521084,252507,394267,170787,392438,156260,123474,29021,435704,34379,386722,310547,200647,381468,250192,398255,316597,303714,107471,232999,235773,477034,174674,54880,17294,378012,367162,425947,301164,467082,29388,185870,364877,289633,23744,357529,17213,356362,345012,245423,26696,25278,356976,135608,21820,375438,209917,100132,398605,110489,256461,358740,288432,230860,219870,164836,255420,111671,39618,85962,179778,137935,492916,402559,79495,156711,40597,163812,89537,106912,326051,237140,273587,289414,201140,282463,360562
Birmingham,219552,176709,160019,160829,130738,237838,0,179826,201902,156229,266889,172862,204025,181875,274300,141673,248427,123651,162238,191436,184424,131896,93285,123782,190043,398558,307186,35101,233993,277024,66271,151736,280759,15066,176880,214485,180052,326315,221871,188904,139903,189796,185625,172955,297131,212311,86494,169999,178216,270315,,185610,188115,225148,199933,180236,147921,199504,190414,68658,247103,158277,138304,138964,252508,213827,280563,113430,331789,215600,228013,199434,164041,336266,375246,82100,155186,137802,324395,246415,156016,200154,289866,189243,166874,140140,119737,151215,12407,168002,146190,74460,164592,16161,132817,331196,219917,241876,194816,147759,136910,280109,72312,321244,216932,132067,149073,60379,225974,289487,219817,126109,174605,16169,193436,195787,126723,160083,190333,145185,163676,167767,168353,178066,27206,212902,87533,68357,178558,86283,117056,160294,225865,157727,238223,221043,283992,172306,282116,201895,258920,114955,193486,259094,257971,88542,196453,59162,61034,45931,214724
Blackburn with Darwen,392273,349430,113835,329728,303459,410559,179691,0,50086,14792,446455,359925,68459,354596,461363,310572,421148,310714,18022,66853,357145,304617,99814,87627,362764,567457,175411,209311,421056,151979,168007,131573,449658,173412,363943,169740,352774,201269,394592,361625,72732,376859,358346,345677,175633,385032,255392,357062,365279,449881,,358331,375178,180403,386996,74193,68311,386567,90518,209681,419824,66443,311025,38433,425229,400890,159065,286151,206743,388321,204453,175873,332940,211220,245409,169718,43552,268565,493294,425981,343079,372875,168367,376306,42291,105722,252719,31060,168273,62019,100469,148733,351655,203590,301716,206150,399483,414597,367538,49803,48529,158611,112144,198316,403995,300966,46752,154798,398695,458385,392538,37607,94939,163711,366157,382850,56813,362320,363054,41445,332575,354830,79122,365129,162628,134159,118712,190493,236509,259004,185560,323775,398586,330448,328461,384525,132177,22703,469179,381461,431641,302018,380549,446157,426869,257440,365352,132843,233755,214830,86125
Blackpool,414354,371512,159052,351809,325541,432641,201773,49500,0,64201,468537,382006,127395,376678,483445,332654,443230,332796,82873,112071,379226,326699,121895,109708,384846,589538,174309,231393,443137,186320,190089,176791,471739,195493,386024,214958,374855,235610,416674,383707,94814,398941,380428,367758,224583,407113,277474,379144,387361,471963,,380413,397259,225620,409078,119410,90393,408649,135735,231763,441905,88525,333107,83983,447310,422971,211320,308233,241084,410402,249670,221091,355021,245561,244307,218819,91730,313782,515376,448063,365161,394957,228048,398387,87509,150968,258139,76604,190354,84100,145715,170814,373736,225672,323797,240492,421565,436679,389619,71885,94079,205848,134225,232657,426076,323047,91998,176879,420776,480467,414620,83157,140156,185792,388239,404932,78894,384402,385136,63527,354656,376911,101203,387211,184709,179376,161294,212574,281727,281086,230778,355096,420667,352530,373678,415846,131075,27446,491260,403543,453722,324100,402631,468238,448951,279522,387434,154925,255836,236911,117445
Bolton,368053,325211,99769,305508,279240,386340,155472,15251,64099,0,422236,335705,68112,330377,437144,286353,396929,286495,9969,52788,332925,280398,60720,63407,338545,543237,214378,185092,396836,184216,143788,117508,425438,149193,339724,155675,328554,233507,370373,337406,48165,352640,334127,321457,204323,360813,231173,332843,341060,425662,,334112,350958,166338,362777,60128,48787,362348,76453,185462,395604,59143,286806,24701,401009,376670,187755,261932,238981,364101,190388,161808,308720,243458,259422,155681,32447,254500,469075,401762,318860,348656,197058,352086,28226,91686,238654,17328,144053,68868,86432,124513,327436,179371,277496,238388,375264,390378,343318,48625,34797,187301,87924,228436,379775,276746,32715,130578,374475,434166,368319,23875,80873,139491,341938,358631,35915,338101,338835,18518,308355,330610,88427,340910,138408,120094,102011,166273,222444,234785,171495,309710,374366,306229,314396,370460,146190,36786,444959,357242,407421,277799,356330,421937,402650,233221,341133,108624,209536,190610,101764
"Bournemouth, Christchurch and Poole",236909,186542,393239,93296,241229,221840,275386,449479,471554,425882,0,135055,437245,181124,160027,108690,201755,207392,431891,441619,188792,215725,362938,393435,178361,266650,540406,245990,190121,510245,316050,384956,28499,283802,162767,447706,204324,559535,231686,196611,409556,168431,193332,165962,530351,236582,250334,156546,156851,70297,,181061,170771,458368,155926,413456,417574,182417,423634,273608,191968,427929,205337,408617,237415,169955,513783,232021,565009,213110,417117,401453,112494,569486,608466,315320,424839,299255,192487,86132,123138,206911,523086,157336,436526,373360,329115,420868,286185,437655,379410,348222,147790,251758,116120,564416,55857,258040,180441,417412,406562,513329,341965,554464,173060,154560,418726,334141,226904,157578,184492,395762,407825,284117,201143,178700,396376,123587,175049,414838,87713,143008,438005,130989,300969,446122,343741,293673,348338,226541,334709,255042,242778,199560,353508,336328,553645,441959,190448,67146,224497,156153,139353,135752,126100,205624,102051,328815,224084,257075,447944
Bracknell Forest,121141,70774,311908,146688,125462,106073,182356,356449,378524,332852,135975,0,355915,65356,114661,141161,85988,56928,338861,360288,73024,99957,269907,300405,62593,407683,459076,152960,74353,428914,229449,303626,159159,190256,47000,366375,88556,478204,115918,80844,316525,52664,77565,50194,449021,120814,177370,40778,41084,121190,,65294,55003,377038,40159,332126,324543,66650,342304,190376,76201,334899,89569,315586,121647,54187,432453,116254,483678,97342,331495,315831,158143,488155,527135,233989,331808,183487,333521,97290,19201,91144,441755,41569,343496,292029,213347,327838,192639,344625,298080,249378,20254,158728,131499,483086,89004,142273,64674,324382,313532,431999,248935,473134,57292,81596,325696,235297,111137,298612,68724,302732,326494,191087,85376,62933,303345,31334,59282,321807,98328,15472,344975,6341,202124,364792,250711,212342,232571,146319,253379,139275,127011,83793,237741,220561,460615,348929,122476,71040,108730,70769,23544,77289,240380,132660,205579,235784,131054,184111,366614
Bradford,339720,310952,47073,355964,251624,358175,200850,84969,128057,68326,435553,341692,0,316118,425204,336808,368764,278975,59843,14485,318667,266139,102585,113863,324286,593693,161682,202796,384897,131520,130369,64812,458737,199648,323417,102979,314296,180810,342039,323147,98620,325533,319868,307199,151627,332648,281628,320756,329120,450551,,319853,328258,113642,350837,28027,99242,330025,23757,166850,367440,109598,272547,63146,372845,364731,135059,247673,186284,335768,137692,109112,359175,190761,229742,125923,51592,201804,519530,426651,324847,331164,144361,327519,44046,61927,185958,64122,194508,119324,67662,174969,332754,204050,327951,185692,388581,362213,348491,99081,67447,134605,138379,175740,367836,327202,59991,181034,346311,484621,339985,74330,28177,189946,329659,333934,86370,328747,324576,82476,358811,332965,138882,346897,188863,67398,121779,147694,169748,220433,118799,257014,346202,286097,261700,317763,144245,100743,418182,370559,379257,283620,344391,409998,453105,283676,391588,159079,215429,241065,30981
Brent,39356,8835,274366,199970,87919,52494,180632,354019,376094,330422,172032,69016,318372,0,136452,194443,33260,64932,336431,322746,11085,62414,267512,297975,18498,416986,421533,146139,29146,391372,197177,266084,195215,203420,11749,328833,19909,440662,41675,18905,314096,13865,15626,7048,411478,40379,201971,20839,22264,161798,,15611,12130,295046,21547,294583,322114,19796,304761,154735,29864,332469,52027,313157,82708,28660,394910,78711,446136,35403,275749,260085,211425,450613,489593,196447,329379,127741,342823,137899,72400,29205,404213,15851,346336,254487,157601,325408,194132,342195,260537,247654,32115,171892,184782,445543,125060,85760,21478,321952,311102,394456,245104,435591,34551,134879,308817,233573,56020,307915,39621,300302,288952,189364,23437,17805,300916,84616,14348,319378,151610,44213,342545,68115,200401,327249,232372,174800,176825,108777,215836,87659,69749,32177,172911,155731,458185,346499,128044,107096,89120,83933,55638,121245,276437,157261,223973,233355,144217,202584,329071
Brighton and Hove,116452,141523,382658,252527,196211,101384,282557,456649,478725,433052,158706,112625,426664,136106,0,252593,81299,162374,439061,431038,108155,170706,370108,400605,122198,420040,529825,253160,70126,499663,305468,374375,181890,290457,117749,437125,144163,548954,111230,122826,416726,123413,138201,120943,519770,115324,289008,111527,111833,103996,,123497,99250,447787,83968,402875,424744,78927,413053,263027,104051,435100,160319,415787,116958,87197,503202,187003,554428,118920,402244,386581,269575,558905,597885,304739,432009,254237,345877,80097,130632,126417,512505,112453,443697,362779,284096,428038,292840,444825,368829,349578,114629,258928,242931,553835,103606,137584,84467,424582,413733,502748,349135,543883,68730,193028,425896,335497,106448,310969,116732,402932,397244,291288,128082,95942,403546,142766,100943,422008,217075,107289,445176,117647,302325,435541,340664,283092,303320,217068,324128,194374,122322,154542,262482,220639,560815,449129,36001,119468,104041,170970,96695,33048,279491,244297,280745,335985,231254,289621,437363
"Bristol, City of",223270,192750,302925,19980,198149,246332,156503,310874,332949,287277,109220,141639,346932,187332,254920,0,226247,160589,293286,322484,194999,229805,224333,254830,192586,283908,450093,150244,214612,419931,216737,294643,106683,141087,176992,357392,218404,469221,201917,202819,270950,182656,199540,180186,440037,250662,98522,170770,171076,212189,,195286,184995,368055,180417,323143,278968,192364,333320,206841,201915,289324,219417,270011,261906,194446,423470,172788,474695,203328,370920,342340,17759,479172,518152,225006,286234,275985,209745,188289,124089,213119,432772,181828,297921,283046,257920,282263,143470,299050,289097,205508,155452,146016,13582,474103,161791,280227,194666,278807,267957,423015,203360,464150,197551,64230,280121,191427,251396,174836,198716,257157,317511,150576,207351,188647,257771,124628,189274,276233,62084,156113,299400,140737,158254,355808,237999,211264,316741,185965,259963,269122,264216,213640,367588,350409,415040,303354,262735,143769,248988,139030,163803,237909,143320,59512,81803,190209,168890,114361,357631
Bromley,26440,49017,326085,225534,139639,12040,232352,405739,427814,382142,201811,85632,354210,53416,82179,225600,0,115096,388151,358584,22997,114134,319232,349695,22934,446766,448476,197859,11336,418315,248896,293483,224995,230265,34715,333725,41717,467605,11965,23562,365815,24467,27577,37729,438421,43755,228816,45508,39374,160325,,24233,22626,333544,28230,346303,373833,14360,345234,206455,5204,384189,103746,364876,45389,20421,421853,130431,473079,18919,314247,298583,242582,477556,516536,248166,389720,166239,372603,136425,103640,29275,431156,27319,382174,306206,196099,377127,232648,393915,312257,299374,54639,198737,215939,472486,154839,66015,13255,373671,362822,421399,296824,462534,18553,166035,360537,285293,34879,337694,17467,352021,340671,241083,26951,18218,352635,115773,17780,371097,190082,54850,394265,90654,252120,354192,284092,226519,215322,160496,250872,107123,50753,81622,175230,149070,488369,398218,73762,136876,45904,110778,69702,87078,306216,184106,253753,285074,171062,229430,356014
Buckinghamshire,101945,60185,237951,165966,60040,120232,137968,312061,334136,288464,192101,56795,281958,65350,163934,160439,130821,0,294473,286331,67899,39542,225519,256017,73519,424708,385118,108571,123627,354957,160762,229669,215285,145868,66367,292418,62446,404247,104265,70676,272137,79431,69101,49586,375063,94704,159651,59486,67850,189281,,69086,81770,303080,89568,258168,280155,89139,268346,118320,129496,290511,39462,271198,134901,103461,358495,35603,409721,97993,261829,246165,177421,414198,453178,160032,287420,114254,350545,165381,61377,82548,367798,78877,309921,218072,144114,283449,148251,300237,224122,204989,43541,114340,150777,409128,145129,124270,78292,279993,269144,358041,208689,399176,106566,92500,281307,190909,108367,315636,102211,258343,252537,146699,91884,85422,258957,64256,73809,277419,131951,46265,300587,62000,157736,290834,195957,138385,163338,73445,179421,113165,108258,57683,211631,194451,416226,304540,171750,127107,141313,40699,83121,148728,284120,114941,222603,191396,86665,145032,292656
Bury,383906,331554,91259,311851,295810,402361,161815,18144,75499,9961,428579,342048,59602,336719,443486,292695,412950,292838,0,44278,339268,286740,66771,69750,344888,549580,205868,191435,403179,175706,150131,108998,431781,155535,346066,147165,334897,224996,386225,343748,54507,358983,340470,327800,195813,376834,237515,339185,347403,432004,,340455,357301,157827,369120,51617,55130,368691,67943,191805,411625,65485,293149,15966,417030,383013,179245,268275,230470,379954,181877,153298,315063,234947,273927,147143,20976,245990,475417,408105,325203,375350,188547,358429,11741,83147,230144,14620,150396,75211,77894,130856,333778,185714,283839,229878,381607,406399,349661,54968,31633,178790,94267,219925,386118,283089,24176,136921,390496,440509,384171,30218,72363,145834,348280,364974,42258,344443,345178,38363,314698,336953,94769,347252,144751,111584,96136,172616,213934,241127,162985,301200,390387,330283,305885,361949,157589,48116,451302,363584,423443,284142,362673,428280,408992,239564,347475,114967,215878,196953,93254
