,Cleveland,Durham,Northumbria,Cheshire,Cumbria,Greater Manchester,Lancashire,Merseyside,Humberside,North Yorkshire,South Yorkshire,West Yorkshire,Derbyshire,Leicestershire,Lincolnshire,Northamptonshire,Nottinghamshire,Staffordshire,Warwickshire,West Mercia,West Midlands,Bedfordshire,Cambridgeshire,Essex,Hertfordshire,Norfolk,Suffolk,City of London,Metropolitan Police,Hampshire,Kent,Surrey,Sussex,Thames Valley,Avon and Somerset,Devon and Cornwall,Dorset,Gloucestershire,Wiltshire
Cleveland,0.0,2912.0,3046.0,8271.0,5957.0,7039.0,8084.0,9188.0,6734.0,3655.0,5770.0,4654.0,7948.0,9415.0,9219.0,11409.0,7276.0,10136.0,11023.0,12237.0,10857.0,13051.0,10149.0,15299.0,13282.0,13823.0,14444.0,16141.0,15901.0,18417.0,16486.0,15734.0,18951.0,15105.0,15352.0,19707.0,20507.0,13582.0,15423.0
Durham,3031.0,0.0,2635.0,9576.0,5349.0,8464.0,7521.0,10114.0,8383.0,5080.0,7196.0,6079.0,9373.0,10840.0,10644.0,12834.0,8701.0,11561.0,12448.0,13807.0,12283.0,14476.0,11574.0,16725.0,14707.0,15249.0,15869.0,17566.0,17327.0,19843.0,17911.0,17160.0,20376.0,16531.0,16778.0,21132.0,21933.0,15008.0,16848.0
Northumbria,3247.0,2658.0,0.0,10175.0,6313.0,8944.0,9078.0,11092.0,8863.0,5560.0,7675.0,6559.0,9853.0,11319.0,11124.0,13313.0,9181.0,12040.0,12927.0,14142.0,12762.0,14956.0,12054.0,17204.0,15186.0,15728.0,16349.0,18045.0,17806.0,20322.0,18391.0,17639.0,20856.0,17010.0,17257.0,21611.0,22412.0,15487.0,17328.0
Cheshire,8365.0,9580.0,10234.0,0.0,7203.0,2133.0,2919.0,1845.0,7819.0,6416.0,5611.0,4493.0,5776.0,7238.0,10106.0,9029.0,8166.0,4238.0,7975.0,4859.0,5573.0,10679.0,10525.0,13817.0,11892.0,14710.0,13757.0,13865.0,13529.0,15153.0,15004.0,12860.0,16076.0,11998.0,10437.0,14791.0,16234.0,8667.0,10508.0
Cumbria,5946.0,5339.0,6376.0,7197.0,0.0,6663.0,5141.0,7735.0,10278.0,6975.0,9090.0,7974.0,11244.0,12707.0,12539.0,14497.0,10596.0,9707.0,13443.0,11428.0,11041.0,16147.0,13469.0,18619.0,16601.0,17143.0,17764.0,19334.0,18998.0,20621.0,19806.0,18328.0,21545.0,17466.0,15905.0,20260.0,21702.0,14135.0,15976.0
Greater Manchester,7102.0,8387.0,8971.0,2170.0,6650.0,0.0,2447.0,3087.0,6556.0,5153.0,4573.0,3230.0,6244.0,7707.0,8843.0,9497.0,6900.0,4707.0,8444.0,6428.0,6041.0,11148.0,9773.0,14286.0,12361.0,13447.0,14068.0,14334.0,13998.0,15622.0,15472.0,13328.0,16545.0,12467.0,10906.0,15260.0,16702.0,9136.0,10976.0
Lancashire,8101.0,7544.0,9062.0,2996.0,5167.0,2549.0,0.0,3534.0,7901.0,5287.0,6135.0,4574.0,7043.0,8506.0,10187.0,10296.0,8244.0,5506.0,9243.0,7227.0,6840.0,11947.0,11117.0,15085.0,13160.0,14792.0,15025.0,15133.0,14797.0,16421.0,16271.0,14127.0,17344.0,13266.0,11705.0,16059.0,17501.0,9935.0,11775.0
Merseyside,9224.0,10007.0,11093.0,1747.0,7629.0,2992.0,3346.0,0.0,8678.0,7275.0,6722.0,5352.0,6874.0,8336.0,10965.0,10127.0,9022.0,5336.0,9073.0,5431.0,6671.0,11777.0,11623.0,14915.0,12990.0,15569.0,14855.0,14964.0,14627.0,16251.0,16102.0,13958.0,17174.0,13096.0,11535.0,15889.0,17332.0,9765.0,11606.0
Humberside,6778.0,8339.0,8924.0,7821.0,10356.0,6589.0,7886.0,8738.0,0.0,5257.0,4324.0,4531.0,6215.0,7608.0,6169.0,9676.0,5608.0,8403.0,9290.0,10504.0,9125.0,11318.0,8090.0,13240.0,11223.0,10739.0,12385.0,14082.0,13967.0,16685.0,14427.0,14002.0,17219.0,13373.0,13620.0,17974.0,18775.0,11850.0,13691.0
North Yorkshire,3787.0,4871.0,5455.0,6509.0,6888.0,5277.0,5161.0,7563.0,5373.0,0.0,4186.0,2342.0,6363.0,7830.0,7634.0,9824.0,5691.0,8551.0,9438.0,10652.0,9273.0,11466.0,8564.0,13715.0,11697.0,12239.0,12859.0,14556.0,14317.0,16833.0,14901.0,14150.0,17366.0,13521.0,13768.0,18122.0,18923.0,11998.0,13838.0
South Yorkshire,5853.0,7138.0,7722.0,5646.0,9154.0,4613.0,5977.0,6735.0,4222.0,4056.0,0.0,2373.0,2918.0,4385.0,5247.0,6379.0,3011.0,5106.0,5992.0,7207.0,5827.0,8021.0,6177.0,11159.0,9234.0,9852.0,10473.0,11207.0,10871.0,13387.0,12346.0,10704.0,13921.0,10075.0,10322.0,14676.0,15477.0,8552.0,10393.0
West Yorkshire,4644.0,5928.0,6513.0,4528.0,7945.0,3296.0,4592.0,5445.0,4425.0,2025.0,2517.0,0.0,4979.0,6446.0,6712.0,8440.0,4769.0,7065.0,8053.0,8786.0,7888.0,10082.0,7642.0,12792.0,10775.0,11316.0,11937.0,13268.0,12932.0,15448.0,13979.0,12765.0,15982.0,12136.0,12383.0,16737.0,17538.0,10613.0,12454.0
Derbyshire,7981.0,9265.0,9850.0,5770.0,11265.0,6219.0,6981.0,6843.0,6173.0,6183.0,2971.0,4823.0,0.0,2505.0,5542.0,4499.0,2873.0,2680.0,4113.0,4781.0,3636.0,6141.0,5807.0,9279.0,7355.0,9967.0,9228.0,9328.0,8992.0,11508.0,10466.0,8825.0,12041.0,8196.0,8351.0,12705.0,13598.0,6581.0,8422.0
