name,Cleveland,Durham,Northumbria,Cheshire,Cumbria,Greater Manchester,Lancashire,Merseyside,Humberside,North Yorkshire,South Yorkshire,West Yorkshire,Derbyshire,Leicestershire,Lincolnshire,Northamptonshire,Nottinghamshire,Staffordshire,Warwickshire,West Mercia,West Midlands,Bedfordshire,Cambridgeshire,Essex,Hertfordshire,Norfolk,Suffolk,City of London,Metropolitan Police,Hampshire,Kent,Surrey,Sussex,Thames Valley,Avon and Somerset,Devon and Cornwall,Dorset,Gloucestershire,Wiltshire
Cleveland,0.0,48.53,50.77,137.85,99.28,117.32,134.73,153.13,112.23,60.92,96.17,77.57,132.47,156.92,153.65,190.15,121.27,168.93,183.72,203.95,180.95,217.52,169.15,254.98,221.37,230.38,240.73,269.02,265.02,306.95,274.77,262.23,315.85,251.75,255.87,328.45,341.78,226.37,257.05
Durham,50.52,0.0,43.92,159.6,89.15,141.07,125.35,168.57,139.72,84.67,119.93,101.32,156.22,180.67,177.4,213.9,145.02,192.68,207.47,230.12,204.72,241.27,192.9,278.75,245.12,254.15,264.48,292.77,288.78,330.72,298.52,286.0,339.6,275.52,279.63,352.2,365.55,250.13,280.8
Northumbria,54.12,44.3,0.0,169.58,105.22,149.07,151.3,184.87,147.72,92.67,127.92,109.32,164.22,188.65,185.4,221.88,153.02,200.67,215.45,235.7,212.7,249.27,200.9,286.73,253.1,262.13,272.48,300.75,296.77,338.7,306.52,293.98,347.6,283.5,287.62,360.18,373.53,258.12,288.8
Cheshire,139.42,159.67,170.57,0.0,120.05,35.55,48.65,30.75,130.32,106.93,93.52,74.88,96.27,120.63,168.43,150.48,136.1,70.63,132.92,80.98,92.88,177.98,175.42,230.28,198.2,245.17,229.28,231.08,225.48,252.55,250.07,214.33,267.93,199.97,173.95,246.52,270.57,144.45,175.13
Cumbria,99.1,88.98,106.27,119.95,0.0,111.05,85.68,128.92,171.3,116.25,151.5,132.9,187.4,211.78,208.98,241.62,176.6,161.78,224.05,190.47,184.02,269.12,224.48,310.32,276.68,285.72,296.07,322.23,316.63,343.68,330.1,305.47,359.08,291.1,265.08,337.67,361.7,235.58,266.27
Greater Manchester,118.37,139.78,149.52,36.17,110.83,0.0,40.78,51.45,109.27,85.88,76.22,53.83,104.07,128.45,147.38,158.28,115.0,78.45,140.73,107.13,100.68,185.8,162.88,238.1,206.02,224.12,234.47,238.9,233.3,260.37,257.87,222.13,275.75,207.78,181.77,254.33,278.37,152.27,182.93
Lancashire,135.02,125.73,151.03,49.93,86.12,42.48,0.0,58.9,131.68,88.12,102.25,76.23,117.38,141.77,169.78,171.6,137.4,91.77,154.05,120.45,114.0,199.12,185.28,251.42,219.33,246.53,250.42,252.22,246.62,273.68,271.18,235.45,289.07,221.1,195.08,267.65,291.68,165.58,196.25
Merseyside,153.73,166.78,184.88,29.12,127.15,49.87,55.77,0.0,144.63,121.25,112.03,89.2,114.57,138.93,182.75,168.78,150.37,88.93,151.22,90.52,111.18,196.28,193.72,248.58,216.5,259.48,247.58,249.4,243.78,270.85,268.37,232.63,286.23,218.27,192.25,264.82,288.87,162.75,193.43
Humberside,112.97,138.98,148.73,130.35,172.6,109.82,131.43,145.63,0.0,87.62,72.07,75.52,103.58,126.8,102.82,161.27,93.47,140.05,154.83,175.07,152.08,188.63,134.83,220.67,187.05,178.98,206.42,234.7,232.78,278.08,240.45,233.37,286.98,222.88,227.0,299.57,312.92,197.5,228.18
North Yorkshire,63.12,81.18,90.92,108.48,114.8,87.95,86.02,126.05,89.55,0.0,69.77,39.03,106.05,130.5,127.23,163.73,94.85,142.52,157.3,177.53,154.55,191.1,142.73,228.58,194.95,203.98,214.32,242.6,238.62,280.55,248.35,235.83,289.43,225.35,229.47,302.03,315.38,199.97,230.63
