,Barking and Dagenham,Barnet,Barnsley,Bath and North East Somerset,Bedford,Bexley,Birmingham,Blackburn with Darwen,Blackpool,Bolton,"Bournemouth, Christchurch and Poole",Bracknell Forest,Bradford,Brent,Brighton and Hove,"Bristol, City of",Bromley,Buckinghamshire,Bury,Calderdale,Camden,Central Bedfordshire,Cheshire East,Cheshire West and Chester,City of London,Cornwall,County Durham,Coventry,Croydon,Darlington,Derby,Doncaster,Dorset,Dudley,Ealing,East Riding of Yorkshire,Enfield,Gateshead,Greenwich,Hackney,Halton,Hammersmith and Fulham,Haringey,Harrow,Hartlepool,Havering,"Herefordshire, County of",Hillingdon,Hounslow,Isle of Wight,Isles of Scilly,Islington,Kensington and Chelsea,"Kingston upon Hull, City of",Kingston upon Thames,Kirklees,Knowsley,Lambeth,Leeds,Leicester,Lewisham,Liverpool,Luton,Manchester,Medway,Merton,Middlesbrough,Milton Keynes,Newcastle upon Tyne,Newham,North East Lincolnshire,North Lincolnshire,North Somerset,North Tyneside,Northumberland,Nottingham,Oldham,Peterborough,Plymouth,Portsmouth,Reading,Redbridge,Redcar and Cleveland,Richmond upon Thames,Rochdale,Rotherham,Rutland,Salford,Sandwell,Sefton,Sheffield,Shropshire,Slough,Solihull,South Gloucestershire,South Tyneside,Southampton,Southend-on-Sea,Southwark,St. Helens,Stockport,Stockton-on-Tees,Stoke-on-Trent,Sunderland,Sutton,Swindon,Tameside,Telford and Wrekin,Thurrock,Torbay,Tower Hamlets,Trafford,Wakefield,Walsall,Waltham Forest,Wandsworth,Warrington,West Berkshire,Westminster,Wigan,Wiltshire,Windsor and Maidenhead,Wirral,Wokingham,Wolverhampton,York,Derbyshire,Leicestershire,Lincolnshire,Northamptonshire,Nottinghamshire,Cambridgeshire,Essex,Hertfordshire,Norfolk,Suffolk,Cumbria,Lancashire,East Sussex,Hampshire,Kent,Oxfordshire,Surrey,West Sussex,Devon,Gloucestershire,Somerset,Staffordshire,Warwickshire,Worcestershire,North Yorkshire
Barking and Dagenham,0,5608,15500,15776,8038,7253,10018,16909,15478,13978,13671,8114,14660,6070,9093,11398,5721,9805,15058,16603,5540,9554,13373,14992,3429,22460,38261,8638,5601,13640,11698,11781,39512,13487,6981,17861,4618,16340,3825,3587,14605,5658,4393,6441,19280,2521,42733,8308,7997,16648,,3822,5283,15261,5961,19255,16837,5570,13040,9021,6139,13941,6440,12538,8614,6632,16198,7461,15620,2651,16011,31549,15536,19831,,11181,16378,8241,16378,11061,6898,3250,19262,6301,15118,14076,,13798,12388,16855,13100,15882,7161,10701,11409,18959,8973,4401,5098,15188,11878,15478,10198,17660,6741,9021,15602,20885,4467,16395,3140,16607,12080,12298,3759,5743,12201,14136,4178,12861,13386,8869,17106,8120,11698,11840,17533,10658,28801,12270,27995,9151,4744,10470,45017,25418,,14579,11397,9818,7688,9930,6469,11016,14501,12591,33695,,11765,30033,16021
Barnet,6084,0,17263,14081,5993,6025,7197,14638,13198,11878,12734,7023,13137,3717,7772,9729,3957,8856,12609,16318,2962,7214,11318,12783,2709,21871,36779,5817,4077,11518,8743,8877,37556,10239,5589,15913,3441,14098,4304,3444,11551,4481,3196,3357,17278,5692,40632,6751,6305,15185,,2718,4119,12297,4797,16484,14746,4294,10797,7017,4387,10603,4086,10029,6802,5247,15058,4077,13318,4915,14450,28185,13323,16250,,8937,13480,5397,15849,10677,5457,5126,18902,4276,13029,11277,,11409,9807,13817,11263,13038,5397,9077,9968,16237,7917,6717,4157,12525,9369,14338,7437,15665,4977,7089,12821,18376,6578,16526,4076,13748,9957,8877,3999,4082,9478,11629,3614,10138,10660,8017,14693,7029,9057,9478,12778,9435,26286,9546,24612,6859,7180,7094,45560,27438,,11916,10174,8234,6907,8971,5305,10453,14021,10802,31758,,10457,27609,13119
Barnsley,15447,13207,0,20077,10860,15028,6240,10860,11700,8100,25111,16674,6120,13489,16415,12180,13260,17307,8340,6261,12385,34086,10298,12714,12192,40402,13982,7680,12360,7620,3900,3776,45994,9540,14712,10396,12900,10680,13787,12654,9304,13197,12771,12960,12540,15055,40515,15523,15656,27488,,11841,13242,6840,14100,3727,12528,13247,3836,6120,13769,9000,12840,5820,18307,14730,10320,9300,9780,14409,8873,29950,15898,13399,,5220,8820,7620,19800,19080,14220,14369,14164,13867,8100,2640,,7080,8790,12694,1680,11301,14580,8940,15035,13299,17520,16140,13177,9971,5160,9600,7500,12727,13980,12960,6992,17479,16829,19800,13499,10130,1080,7860,13182,13385,7380,38355,12440,8100,20911,16555,12644,15120,8040,6720,9675,6197,30675,13865,9562,13978,16723,36129,51083,39392,,10090,36254,17736,15790,16150,15508,35433,17147,9785,40196,,11947,38207,5981
Bath and North East Somerset,15161,13821,17551,0,15091,15766,9991,21109,20491,19471,14642,11888,19231,12723,15606,2979,13454,15579,20371,21174,12133,38539,40748,19525,12602,17693,47327,11671,12151,22514,12451,17971,46847,12751,12744,26688,13514,25274,13284,12893,18544,12011,13565,13274,44505,15189,41368,14002,13718,20083,,12155,11276,21811,13214,22926,21095,13144,17551,14851,13963,17011,14774,16951,19058,13388,24031,13771,24554,14123,24384,45083,5485,27143,,16411,20642,15974,11431,12391,8354,14503,27892,13765,19411,16471,,18991,12421,20225,14911,14452,10334,11911,4926,27413,10351,16754,12891,19818,16351,25771,14551,26011,13994,6554,19323,54212,17443,9331,13213,19846,16651,12271,13436,11982,15391,42808,12091,16051,7862,12654,20090,9854,11311,19591,16366,16696,42328,18614,,17004,17337,40582,54114,40245,,17829,37107,14046,16404,9640,13259,39886,9138,8773,41049,,12698,42660,21612
Bedford,7407,5140,12480,33580,0,7528,9900,16168,,14580,16771,8814,13440,4909,8795,11220,5820,7119,13763,15623,4205,3654,14635,16494,4308,22882,34032,8460,4980,12000,7980,8700,39094,13130,7560,17601,5400,14580,5812,4784,13864,5757,4191,5640,17760,6835,42085,7879,8036,17948,,4915,5982,12900,7020,18995,16096,5889,10920,6000,6058,13200,1080,11243,7933,7331,15540,4724,13800,6478,13793,27130,16078,16732,,8160,15083,5040,16800,11760,7020,6629,19384,5647,16440,11580,,13329,12450,16114,10440,15201,6540,11580,12011,16719,9900,8640,4941,14447,10583,14820,8903,16147,6240,9360,14307,16939,8609,16817,5339,17518,9900,12180,4662,6322,11460,13695,4817,12120,13808,9568,16365,8880,12120,9960,14295,9716,27855,8049,50074,8290,8923,8949,46583,30812,,13838,24674,10097,7817,11789,7108,11596,14923,12630,33296,,12127,30227,13601
Bexley,7036,6201,15864,32390,7634,0,9734,17406,15494,14474,14381,8824,15024,7065,7849,11976,4324,10417,16187,16967,6381,10088,14090,15964,4098,22836,38292,8414,5216,14350,11114,11414,38961,13024,7694,18571,7376,17050,3349,7796,39651,6700,6824,7278,19990,6644,42602,8433,8692,16282,,5895,5516,15494,5294,18889,42303,5595,13404,9956,4011,12918,6074,13547,8109,6385,15614,7278,16330,5087,15888,31580,16148,20541,,12176,17567,7394,16754,11054,7429,6039,19458,5121,15494,15974,,15779,12344,16188,13514,17439,7696,10954,12567,19669,8958,7450,5250,39154,12887,14894,11087,18370,5174,9370,16760,21126,7779,16771,5414,17412,12444,12074,7298,5239,13727,14965,4955,14387,13762,9604,17582,8830,12914,12550,16949,10471,29516,41963,28007,9384,7853,29096,47073,27522,,14425,10892,9155,6208,10919,6342,11380,14877,12400,33163,,12265,29848,16385
Birmingham,9687,7147,7140,9479,7140,10468,0,9138,9420,6780,14071,9234,8820,7849,11375,4740,7560,7866,7920,11181,6625,9594,5914,8214,6492,21082,40502,1200,7620,10620,2520,7560,39394,2714,9300,14961,7920,13200,8122,6987,7137,7497,7251,6840,14160,9295,7635,8839,10016,20412,,6141,7242,10560,7800,11536,9956,7470,7020,3540,8518,5940,6840,5220,10633,8711,12720,2820,12600,8709,10853,30730,8034,16290,,4440,8700,7320,12780,12720,5760,8789,15784,8740,8880,6060,,6180,2184,8854,4500,5241,7570,480,7175,15819,9540,10680,7521,7902,4560,13080,2760,14520,8580,6360,7652,9979,11187,12480,7799,9302,6180,1620,7422,7745,4260,31875,6620,4920,11702,9515,9105,8460,960,8880,6195,6557,31455,8289,11442,10990,10783,29649,49763,32912,,6910,29774,11117,10990,6430,8848,13046,10847,3570,33596,,5467,8282,10181
Blackburn with Darwen,16588,,11594,25417,16394,17022,11294,0,7769,1694,25785,18428,8220,14236,17569,16994,13934,16301,4454,8959,13179,39680,10008,13388,13046,44676,41356,12914,14054,12854,11474,9974,51588,12374,15818,15815,15194,15434,14461,13553,8082,14771,13925,12494,15014,16209,46215,15146,16330,31508,,12815,13796,13229,14774,10290,8822,14023,10560,12974,15163,5894,15494,3134,20301,15404,13574,10634,14654,15192,14527,31944,21128,17586,,13649,5414,14294,24540,21074,17429,15583,16638,14541,4514,9494,,2594,12998,9048,8474,11750,15254,12929,20545,17573,19994,16814,14631,6661,4394,13934,7214,16814,14654,17354,6166,21199,17503,25097,14293,6496,16740,10754,14096,14187,5294,43949,13234,3674,22905,17229,10919,18434,10034,10034,13469,14846,32669,16257,33877,18024,17397,41723,46357,41386,,4679,38248,20210,16464,18144,16182,41027,22806,15764,45790,,39323,33001,12115
Blackpool,16827,14077,12600,23377,15300,16528,10680,5418,0,3180,40891,18654,9480,13969,17075,14700,14340,18685,6000,9863,12985,,10358,11094,12912,42502,42782,12300,13560,11760,10620,12180,49414,10680,15924,18617,14700,14460,14327,13299,7204,14277,13491,12780,16320,15835,43935,16272,16676,29468,,12561,14022,12840,14580,11776,6948,13830,9120,13260,15269,4920,16140,4560,21607,14717,14100,11100,13620,14998,15653,34930,18834,17179,,13260,6871,14940,22500,19800,15360,15629,17944,14047,6660,10800,,3960,10704,8254,10080,9681,14820,10860,18251,17079,18840,16980,14377,3647,5760,13380,7560,18360,15360,16500,7532,16699,17009,23057,14039,8282,10680,11220,13782,14225,4320,41775,12980,2700,24554,17189,7830,17880,7740,10020,15315,13337,35655,17563,34837,17530,18703,39549,47663,39212,,2290,36074,18695,17830,15850,15148,38853,20766,13470,43616,,37794,35987,13658
Bolton,14427,12067,9300,23017,13740,15028,7380,1758,3600,0,21871,17034,7860,12649,16535,13860,12720,14305,2307,8066,11365,,6970,8694,11352,41542,16142,9000,12480,9780,9120,8880,48454,8640,14004,12617,12120,12840,12742,11799,6064,12657,11991,11400,11880,14515,39195,13152,14936,33548,,11001,12402,9780,12960,8231,6228,12330,5820,11340,13709,5340,14520,1260,18307,13097,10440,9120,11940,13498,12533,30250,17578,15559,,9420,3571,11640,21480,18180,13560,13709,13504,13087,3360,7500,,660,9210,6454,6300,7678,13260,10940,16715,15459,17340,15660,12397,4547,2460,11760,4260,14887,13740,14640,4112,16159,15509,21480,12359,4364,7380,9120,12282,12605,3240,40635,11480,1080,22591,15235,8264,15480,6240,7860,11475,11477,30975,14263,33577,16750,16099,38409,55043,38792,,2771,35654,17075,14470,14230,13528,37713,18827,11465,42656,,13627,31307,9821
