,Cleveland,Durham,Northumbria,Cheshire,Cumbria,Greater Manchester,Lancashire,Merseyside,Humberside,North Yorkshire,South Yorkshire,West Yorkshire,Derbyshire,Leicestershire,Lincolnshire,Northamptonshire,Nottinghamshire,Staffordshire,Warwickshire,West Mercia,West Midlands,Bedfordshire,Cambridgeshire,Essex,Hertfordshire,Norfolk,Suffolk,City of London,Metropolitan Police,Hampshire,Kent,Surrey,Sussex,Thames Valley,Avon and Somerset,Devon and Cornwall,Dorset,Gloucestershire,Wiltshire
Cleveland,0.0,7682.0,4560.0,11280.0,,8220.0,12398.0,13080.0,33610.0,8201.0,7380.0,4860.0,15435.0,13380.0,34335.0,21283.0,11700.0,12600.0,45234.0,17181.0,13200.0,37506.0,8520.0,18823.0,39549.0,53423.0,42812.0,13032.0,13400.0,20400.0,18077.0,15808.0,18275.0,15720.0,18660.0,26220.0,53014.0,17190.0,17880.0
Durham,7821.0,0.0,6141.0,18801.0,,14241.0,19679.0,17181.0,128971.0,13082.0,11781.0,10521.0,19956.0,16641.0,43296.0,25684.0,17241.0,19281.0,49395.0,22782.0,17601.0,39507.0,12921.0,23224.0,41550.0,48584.0,47213.0,17613.0,18101.0,26001.0,22291.0,20389.0,22676.0,20661.0,23601.0,42801.0,57415.0,21303.0,22581.0
Northumbria,4740.0,7270.0,0.0,14040.0,,9368.0,12938.0,12668.0,32778.0,8329.0,8048.0,5828.0,15203.0,13148.0,33503.0,21051.0,12368.0,14708.0,43502.0,21749.0,12968.0,35114.0,9188.0,19491.0,37157.0,52771.0,40420.0,13700.0,14068.0,21068.0,18745.0,16476.0,18943.0,16388.0,18428.0,25988.0,51522.0,16958.0,18548.0
Cheshire,11700.0,39482.0,13560.0,0.0,,1380.0,2378.0,2040.0,30970.0,10241.0,5940.0,6600.0,9915.0,9900.0,31695.0,13183.0,7980.0,3780.0,10867.0,4918.0,5400.0,,12120.0,13858.0,35049.0,53603.0,35792.0,9012.0,9140.0,16620.0,13210.0,11548.0,13895.0,10800.0,11100.0,18720.0,45994.0,8705.0,11880.0
Cumbria,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greater Manchester,8400.0,13082.0,9780.0,2040.0,,0.0,3911.0,2220.0,24490.0,6881.0,4140.0,3300.0,9898.0,8460.0,25215.0,10809.0,6540.0,2040.0,11960.0,5458.0,5400.0,34326.0,8940.0,13363.0,36369.0,51983.0,36212.0,9192.0,9320.0,16380.0,13124.0,11788.0,13655.0,11760.0,11880.0,19500.0,45694.0,9485.0,13560.0
Lancashire,13409.0,41102.0,13260.0,2249.0,,4049.0,0.0,4289.0,33039.0,14062.0,9269.0,8369.0,13484.0,11909.0,33764.0,15492.0,11100.0,7049.0,13176.0,7227.0,6929.0,,14429.0,16632.0,44498.0,45532.0,38012.0,12281.0,12469.0,20849.0,15699.0,15417.0,16804.0,13109.0,13409.0,21029.0,48243.0,11014.0,14189.0
Merseyside,12480.0,16142.0,12840.0,1620.0,,2400.0,3838.0,0.0,33130.0,9821.0,7800.0,6300.0,11775.0,11520.0,33855.0,12763.0,9600.0,4680.0,12967.0,7018.0,6300.0,36126.0,11640.0,13903.0,38169.0,51863.0,37832.0,9372.0,9500.0,15720.0,12970.0,11608.0,14075.0,12900.0,13200.0,20820.0,48094.0,10805.0,13980.0
Humberside,13358.0,55540.0,14318.0,14738.0,,11438.0,17256.0,16058.0,0.0,14239.0,9278.0,10658.0,17393.0,12758.0,57653.0,21736.0,13658.0,13598.0,,18899.0,14558.0,53864.0,10478.0,19116.0,55907.0,55141.0,55570.0,14450.0,14818.0,22358.0,18468.0,16806.0,19153.0,17678.0,20618.0,28178.0,62172.0,19148.0,19838.0
North Yorkshire,8499.0,12161.0,8439.0,10719.0,,6279.0,11090.0,8619.0,30529.0,0.0,8259.0,2619.0,12234.0,10419.0,31254.0,18622.0,10119.0,10539.0,42333.0,14760.0,10539.0,35385.0,9999.0,18097.0,37428.0,51062.0,40691.0,13431.0,13799.0,21339.0,17449.0,15787.0,18134.0,16659.0,15759.0,23559.0,50353.0,14529.0,17559.0
