,Barking and Dagenham,Barnet,Barnsley,Bath and North East Somerset,Bedfordshire,Bexley,Birmingham,Blackburn with Darwen,Blackpool,Bolton,Bournemouth and Poole,Bradford,Brent,Brighton and Hove,"Bristol, City of",Bromley,Buckinghamshire,Bury,Calderdale,Cambridgeshire,Camden,Cheshire,City of London and Hackney,Cornwall and Isles of Scilly,County Durham,Coventry,Croydon,Cumbria,Darlington,Derby,Derbyshire,Devon,Doncaster,Dorset,Dudley,Ealing,East Berkshire,East Riding of Yorkshire,East Sussex,Enfield,Essex,Gateshead,Gloucestershire,Greenwich,Halton and St. Helens,Hammersmith and Fulham,Hampshire,Haringey,Harrow,Hartlepool,Havering,"Herefordshire, County of",Hertfordshire,Hillingdon,Hounslow,Isle of Wight,Islington,Kensington and Chelsea,Kent,"Kingston upon Hull, City of",Kingston upon Thames,Kirklees,Knowsley,Lambeth,Lancashire,Leeds,Leicester,Leicestershire and Rutland,Lewisham,Lincolnshire,Liverpool,Luton,Manchester,Medway,Merton and Sutton,Middlesbrough,Milton Keynes,Newcastle upon Tyne,Newham,Norfolk,North East Lincolnshire,North Lincolnshire,North Somerset,North Tyneside,North Yorkshire and York,Northamptonshire,Northumberland,Nottingham,Nottinghamshire,Oldham,Oxfordshire,Peterborough,Plymouth,Portsmouth,Redbridge,Redcar and Cleveland,Richmond upon Thames,Rochdale,Rotherham,Salford,Sandwell,Sefton,Sheffield,Shropshire,Solihull,Somerset,South Gloucestershire,South Tyneside,Southampton,Southwark,Staffordshire,Stockport,Stockton-on-Tees,Stoke-on-Trent,Suffolk,Sunderland,Surrey,Swindon,Tameside and Glossop,Telford and Wrekin,Torbay,Tower Hamlets,Trafford,Wakefield,Walsall,Waltham Forest,Wandsworth,Warrington,Warwickshire,West Berkshire,West Sussex,Westminster,Wigan,Wiltshire,Wirral,Wolverhampton,Worcestershire
2009,0.0,0.0,44.8,9.94,17.26,45.23,113.97999999999999,0.0,0.0,37.9,132.85,170.96,0.0,60.48,233.44,101.54,69.01,0.0,0.0,221.89,536.5,36.32,22.54,100.92999999999999,0.0,98.45,29.0,105.16,117.53,67.19,56.02,118.24,99.33,24.93,101.48,12.86,124.38,0.0,32.12,40.73,203.57999999999998,0.0,191.84,0.0,26.49,0.0,69.13,0.0,6.87,0.0,63.73,13.97,182.49,38.97,15.75,24.9,117.25,69.66,126.13999999999999,134.48,54.45,39.03,0.0,253.10999999999999,246.32999999999998,179.04,166.97,0.0,42.8,161.19,230.76999999999998,30.49,71.0,36.0,80.74,144.0,54.0,157.95,12.03,281.92999999999995,0.0,16.1,0.0,111.2,135.45,115.28,0.0,208.33,86.66,178.78,159.53,0.0,65.0,97.43,0.0,0.0,0.0,0.0,47.2,50.6,104.71,30.0,372.7,0.0,0.0,96.61,0.0,34.32,55.96,0.0,129.85,12.58,67.78,67.24,99.62,82.48,204.70999999999998,87.52,32.36,0.0,71.24,141.6,19.48,114.68,29.59,68.98,61.78,41.92,45.599999999999994,0.0,69.7,96.31,0.0,67.93,39.82,32.05,0.0
2010,0.0,0.0,45.01,76.72999999999999,15.67,0.0,117.58,0.0,0.0,36.79,123.82,168.68,0.0,58.51,166.03,0.0,102.07,0.0,0.0,230.21999999999997,401.09,65.39,23.32,103.79,0.0,101.54,29.0,136.32,121.18,42.12,63.33,129.4,107.12,22.36,108.49,14.28,144.8,0.0,41.25,40.73,219.27,0.0,133.0,0.0,31.8,0.0,67.34,0.0,7.62,0.0,32.85,13.75,203.86,49.91,19.46,15.43,104.09,84.75,139.14,152.42,54.03,39.18,0.0,272.63,265.86,159.3,165.84,0.0,44.34,169.28,239.54,29.19,94.19,36.0,80.07,128.0,54.0,155.8,22.0,295.85,0.0,19.48,0.0,99.16,129.75,114.62,0.0,192.22,91.78,184.54,154.14000000000001,0.0,46.48,66.25,0.0,0.0,0.0,0.0,0.0,51.3,86.48,31.28,375.51,38.47,0.0,96.47999999999999,0.0,34.32,56.72,151.8,142.07999999999998,12.43,65.9,67.93,106.6,119.0,215.48000000000002,88.17,33.38,0.0,71.28,156.65,40.58,83.78,24.65,68.98,62.06,38.12,46.93,0.0,116.03,123.93,0.0,75.72,41.67,74.79,0.0
2011,0.0,61.64,56.4,52.22,23.4,0.0,158.02,0.0,70.35,40.4,153.26,160.95,0.0,29.36,182.45,0.0,48.38,0.0,0.0,308.21,347.76,78.59,11.26,72.7,0.0,104.66,42.0,225.51,140.18,61.83,0.0,133.33,354.46,41.5,85.75,21.42,182.64,0.0,38.38,21.28,217.91,45.03,109.08,0.0,50.14,0.0,126.02,0.0,9.93,0.0,69.9,14.84,161.76,80.0,25.71,21.92,105.87,84.8,177.39,106.75,17.06,52.01,0.0,237.36,292.51,303.53,157.02,0.0,37.38,156.58,268.33,44.72,109.61,27.94,93.37,121.2,58.0,266.6,16.5,325.87,0.0,42.2,37.68,126.89,185.33,127.02,0.0,185.3,26.36,125.39,143.82,0.0,45.27,59.23,0.0,0.0,0.0,0.0,0.0,29.92,105.63,33.08,8.35,40.33,0.0,83.38,0.0,42.94,62.4,158.61,99.48,37.8,83.12,89.16,88.7,0.0,417.25,55.94,41.41,0.0,0.0,173.69,48.16,172.03,24.2,77.0,76.38,72.78,77.21,0.0,93.73,188.94,0.0,67.72,43.87,81.41,37.07
2012,0.0,56.84,69.69,55.02,22.49,0.0,186.8,0.0,70.85,41.96,169.41,167.44,0.0,45.5,193.45,0.0,20.82,0.0,0.0,335.83,348.03,80.96,10.93,53.85,0.0,89.41,43.95,216.13,134.25,60.34,0.0,142.19,76.83,41.69,98.39,21.36,171.91,0.0,38.51,22.82,193.4,77.25,100.01,0.0,40.87,0.0,121.04,0.0,8.81,0.0,78.16,14.25,136.72,80.03,24.02,30.0,123.61,98.29,212.4,107.97,34.82,51.77,0.0,226.63,287.48,234.24,138.59,0.0,41.26,160.36,273.82,47.86,176.81,25.48,100.48,127.76,57.68,219.46,22.0,336.04,0.0,46.16,42.18,101.56,195.17,127.74,0.0,179.32,28.68,134.93,156.29,0.0,54.56,64.24,0.0,0.0,0.0,0.0,41.04,27.7,103.17,33.61,189.76,57.42,0.0,97.72,0.0,53.61,63.04,158.93,121.54,40.92,73.8,90.28,86.36,0.0,368.65,56.89,50.98,0.0,0.0,169.51,48.88,186.42,28.87,79.95,92.81,70.7,78.18,0.0,101.8,193.05,0.0,67.5,40.9,78.2,24.53
2013,0.0,55.63,65.25,55.18,19.06,0.0,207.81,0.0,69.7,44.61,197.4,161.83,0.0,53.37,206.55,0.0,20.63,0.0,0.0,340.95,413.82,78.78,11.13,58.5,0.0,80.08,42.66,205.64,135.35,58.73,0.0,144.44,85.14,42.04,97.63,15.71,173.59,0.0,35.75,22.97,201.48,78.0,110.63,0.0,41.2,0.0,127.02,0.0,8.04,0.0,91.61,16.25,121.53,80.0,23.15,30.0,120.67,116.62,285.77,117.74,41.31,50.57,0.0,260.2,302.99,256.52,125.36,0.0,41.2,159.86,293.05,50.43,205.85,24.76,104.11,126.87,58.16,218.48,0.0,340.12,0.0,60.57,33.17,106.81,199.63,128.11,0.0,154.12,29.23,130.23,165.19,0.0,53.42,60.62,0.0,0.0,0.0,0.0,59.29,31.9,113.1,33.87,271.05,41.49,0.0,97.33,0.0,55.0,83.92,177.39,125.27,40.04,77.6,98.98,84.95,0.0,329.15,59.72,46.32,0.0,0.0,280.85,0.0,210.55,35.05,0.0,91.44,70.54,84.18,0.0,91.63,208.0,0.0,68.61,37.78,82.88,16.74
2014,0.0,54.29,66.96,58.58,27.93,0.0,209.78,0.0,69.5,47.18,219.34,161.18,0.0,60.65,231.25,0.0,21.12,0.0,0.0,362.44,433.22,86.7,11.09,82.02,0.0,80.4,42.52,183.1,142.16,65.75,0.0,142.84,88.97,42.43,100.0,15.71,166.96,0.0,36.19,27.81,220.72,82.84,118.21,0.0,44.86,0.0,121.08,0.0,1.78,0.0,91.61,20.0,124.32,80.0,40.13,30.0,130.3,118.14,177.71,115.67,49.81,60.7,0.0,333.59,305.29,235.71,111.69,0.0,65.41,171.78,296.19,44.76,186.97,25.43,102.99,137.42,63.4,235.65,0.0,372.58,0.0,63.11,22.32,103.13,216.34,121.56,0.0,143.22,33.11,112.21,210.39,0.0,46.24,62.14,0.0,0.0,0.0,0.0,60.33,32.37,98.11,27.53,270.89,37.58,0.0,86.9,0.0,57.66,84.19,97.24,118.57,40.35,78.9,106.31,90.18,0.0,340.85,65.18,48.79,0.0,0.0,281.91,0.0,230.74,28.68,0.0,84.5,71.68,89.41,0.0,101.51,210.76,0.0,68.25,40.45,86.63,28.45
2015,0.0,11.4,64.15,56.81,26.62,0.0,189.46,0.0,63.35,46.38,222.69,154.7,55.42,56.02,269.19,0.0,20.96,0.0,0.0,369.65,404.67,83.18,11.43,107.71,0.0,80.4,39.02,189.16,150.76,99.82,0.0,147.78,103.11,43.37,104.69,7.86,144.15,0.0,34.28,20.24,222.66,88.0,118.1,0.0,46.87,0.0,113.21,0.0,0.0,0.0,90.85,20.0,128.64,80.0,41.98,30.0,143.08,106.83,195.45,113.92,64.23,61.57,0.0,373.64,308.78,229.61,111.36,0.0,85.94,249.09,310.53,48.35,182.2,25.43,107.87,142.01,66.25,238.47,0.0,399.38,0.0,66.06,16.03,107.63,208.88,112.43,0.0,138.96,41.89,107.16,234.98,0.0,77.52,64.31,0.0,0.0,0.0,0.0,77.86,32.88,86.63,29.12,278.63,37.43,0.0,89.76,0.0,59.0,82.2,0.0,94.98,40.04,72.28,127.41,96.83,0.0,365.39,74.23,41.72,0.0,0.0,277.6,0.0,254.85,36.5,0.0,83.48,71.37,91.45,0.0,125.53,201.1,0.0,75.89,40.26,103.43,24.36
2016,0.0,0.0,65.24,56.31,22.69,0.0,188.87,0.0,60.0,47.02,229.36,154.03,113.71,50.72,268.9,0.0,20.57,0.0,0.0,361.53,367.48,83.29,10.97,92.34,0.0,79.86,37.81,215.9,160.92,98.5,0.0,170.25,111.91,42.54,124.02,0.0,112.16,0.0,21.23,14.83,233.0,88.0,104.87,0.0,47.17,0.0,100.63,0.0,0.0,0.0,89.51,11.7,157.08,84.24,10.81,30.0,147.33,129.78,187.48,114.97,59.62,61.59,0.0,335.96,312.01,203.17,144.53,0.0,85.08,241.09,354.52,50.43,171.08,15.17,113.55,142.07,76.31,248.09,0.0,418.83,0.0,65.0,16.31,107.48,212.99,113.33,0.0,171.45,44.3,106.27,205.79,0.0,75.3,68.71,0.0,0.0,0.0,0.0,92.03,33.76,77.27,28.34,256.0,37.33,0.0,127.09,0.0,54.87,73.13,0.0,63.03,39.93,80.17,162.43,72.99,0.0,387.87,78.49,42.69,0.0,0.0,274.24,0.0,263.95,39.03,0.0,73.04,77.8,92.19,0.0,142.45,202.0,0.0,84.23,41.36,119.98,19.05
2017,0.0,0.0,71.2,56.99,27.72,0.0,246.68,0.0,63.34,46.02,237.64,158.2,109.3,58.97,251.76,0.0,21.04,0.0,0.0,369.49,370.34,88.12,11.09,93.84,0.0,81.05,39.13,215.6,158.98,102.45,0.0,177.91,115.08,42.57,131.7,0.0,142.1,0.0,18.87,13.69,237.43,91.16,53.28,0.0,48.73,0.0,75.7,0.0,0.0,0.0,88.67,14.3,189.89,89.18,0.0,41.0,157.0,142.68,193.06,121.89,59.89,62.14,0.0,337.44,310.62,230.03,154.54,0.0,87.17,210.5,348.57,56.45,166.25,14.0,127.04,129.98,79.44,244.97,0.0,325.14,0.0,75.21,22.0,119.32,222.08,114.84,0.0,181.32,44.19,97.61,208.46,0.0,74.0,70.49,0.0,0.0,0.0,0.0,99.23,33.42,78.34,27.36,215.36,42.23,0.0,131.05,0.0,50.36,91.86,0.0,53.8,40.52,83.14,174.0,56.33,0.0,395.94,79.14,44.73,0.0,0.0,281.82,0.0,249.47,38.59,0.0,68.92,78.95,95.17,0.0,142.81,207.25,0.0,86.44,41.79,115.52,19.44
2018,0.0,0.0,74.04,59.01,27.21,0.0,248.11,0.0,66.79,44.28,236.7,148.53,109.44,61.37,245.82,0.0,20.71,0.0,0.0,357.88,366.15,88.89,10.96,96.64,0.0,81.36,38.67,211.53,93.87,75.8,0.0,216.56,112.21,39.56,136.26,0.0,126.5,0.0,23.38,75.57,247.09,86.34,104.12,0.0,48.51,0.0,68.93,0.0,0.0,0.0,87.19,13.53,293.95,85.98,0.0,38.75,161.56,149.66,191.84,125.94,60.0,60.5,0.0,341.9,327.82,220.23,166.78,0.0,87.28,216.09,337.2,60.22,166.0,14.0,129.44,129.89,79.0,243.98,0.0,327.68,0.0,75.21,12.41,110.93,222.65,115.08,0.0,177.23,45.2,115.55,215.04,0.0,73.8,67.54,0.0,0.0,0.0,0.0,95.09,27.19,75.4,26.82,216.06,41.79,0.0,133.44,0.0,52.0,95.29,0.0,36.85,40.56,81.71,177.68,55.64,0.0,323.67,77.59,45.55,0.0,0.0,230.99,0.0,239.6,28.14,0.0,70.77,77.71,92.57,0.0,143.08,197.34,0.0,82.7,40.96,115.97,19.9
