,Barking and Dagenham,Barnet,Barnsley,Bath and North East Somerset,Bedfordshire,Bexley,Birmingham,Blackburn with Darwen,Blackpool,Bolton,Bournemouth and Poole,Bradford,Brent,Brighton and Hove,"Bristol, City of",Bromley,Buckinghamshire,Bury,Calderdale,Cambridgeshire,Camden,Cheshire,City of London and Hackney,Cornwall and Isles of Scilly,County Durham,Coventry,Croydon,Cumbria,Darlington,Derby,Derbyshire,Devon,Doncaster,Dorset,Dudley,Ealing,East Berkshire,East Riding of Yorkshire,East Sussex,Enfield,Essex,Gateshead,Gloucestershire,Greenwich,Halton and St. Helens,Hammersmith and Fulham,Hampshire,Haringey,Harrow,Hartlepool,Havering,"Herefordshire, County of",Hertfordshire,Hillingdon,Hounslow,Isle of Wight,Islington,Kensington and Chelsea,Kent,"Kingston upon Hull, City of",Kingston upon Thames,Kirklees,Knowsley,Lambeth,Lancashire,Leeds,Leicester,Leicestershire and Rutland,Lewisham,Lincolnshire,Liverpool,Luton,Manchester,Medway,Merton and Sutton,Middlesbrough,Milton Keynes,Newcastle upon Tyne,Newham,Norfolk,North East Lincolnshire,North Lincolnshire,North Somerset,North Tyneside,North Yorkshire and York,Northamptonshire,Northumberland,Nottingham,Nottinghamshire,Oldham,Oxfordshire,Peterborough,Plymouth,Portsmouth,Redbridge,Redcar and Cleveland,Richmond upon Thames,Rochdale,Rotherham,Salford,Sandwell,Sefton,Sheffield,Shropshire,Solihull,Somerset,South Gloucestershire,South Tyneside,Southampton,Southwark,Staffordshire,Stockport,Stockton-on-Tees,Stoke-on-Trent,Suffolk,Sunderland,Surrey,Swindon,Tameside and Glossop,Telford and Wrekin,Torbay,Tower Hamlets,Trafford,Wakefield,Walsall,Waltham Forest,Wandsworth,Warrington,Warwickshire,West Berkshire,West Sussex,Westminster,Wigan,Wiltshire,Wirral,Wolverhampton,Worcestershire
2009,0.0,0.0,19.57,5.73,4.26,19.83,10.85,0.0,0.0,13.88,36.2,33.37,0.0,22.77,55.71,33.08,13.83,0.0,0.0,36.6,251.97,5.21,9.23,19.09,0.0,32.03,8.22,21.0,112.63,27.54,7.33,15.96,33.09,6.86,32.62,3.9,17.88,0.0,6.17,13.49,11.94,0.0,32.49,0.0,8.86,0.0,5.31,0.0,2.94,0.0,27.22,7.66,16.64,14.67,6.47,18.0,59.61,43.03,8.79,52.52,34.61,9.41,0.0,86.08,21.16,24.07,52.23,0.0,15.83,22.84,50.44,15.6,14.68,13.83,20.9,104.9,22.48,57.77,4.2,33.31,0.0,9.72,0.0,55.87,17.17,16.87,0.0,70.67,9.42,80.24,31.73,0.0,25.68,48.96,0.0,0.0,0.0,0.0,18.41,22.1,34.64,10.94,69.23,0.0,0.0,18.35,0.0,23.11,24.33,0.0,15.43,4.46,35.68,27.35,13.87,29.86,18.38,42.82,14.88,0.0,54.12,58.88,8.73,35.34,11.18,27.8,20.64,20.95,8.41,0.0,8.76,44.39,0.0,14.56,12.53,13.03,0.0
2010,0.0,0.0,19.56,44.03,3.83,0.0,11.08,0.0,0.0,13.37,33.13,32.56,0.0,21.71,39.25,0.0,20.3,0.0,0.0,37.44,186.79,9.36,9.36,19.51,0.0,32.58,8.1,27.26,115.38,17.05,8.25,17.39,35.55,6.14,34.75,4.27,20.58,0.0,7.88,13.24,12.77,0.0,22.39,0.0,10.6,0.0,5.13,0.0,3.21,0.0,13.91,7.52,18.4,18.52,7.81,11.15,52.01,52.82,9.58,59.5,34.06,9.37,0.0,91.59,22.77,21.31,51.04,0.0,16.27,23.78,51.92,14.63,19.12,13.7,20.61,92.98,22.0,56.31,7.35,34.69,0.0,11.7,0.0,49.54,16.34,16.66,0.0,64.13,9.92,82.45,30.38,0.0,18.28,32.68,0.0,0.0,0.0,0.0,0.0,22.13,28.24,11.42,68.95,12.63,0.0,18.25,0.0,23.12,24.33,53.49,16.81,4.4,34.52,27.46,14.72,43.12,19.14,42.61,15.26,0.0,54.23,63.03,18.02,25.73,9.24,27.16,20.51,18.94,8.62,0.0,14.45,57.06,0.0,16.1,13.06,30.2,0.0
2011,0.0,17.24,24.32,29.75,5.66,0.0,14.71,0.0,49.51,14.57,40.39,30.77,0.0,10.76,42.62,0.0,9.55,0.0,0.0,49.53,158.01,11.22,4.42,13.56,0.0,33.02,11.51,45.12,132.77,24.84,0.0,17.83,117.19,11.34,27.37,6.31,25.73,0.0,7.28,6.78,12.6,22.48,18.23,0.0,16.65,0.0,9.53,0.0,4.13,0.0,29.38,8.08,14.45,29.04,10.09,15.84,51.32,53.59,12.1,41.68,10.63,12.3,0.0,77.96,24.97,40.43,47.64,0.0,13.5,21.91,57.62,21.96,21.8,10.55,23.84,87.59,23.21,95.52,5.31,37.92,0.0,25.19,18.55,63.06,23.2,18.3,0.0,60.97,2.84,55.69,28.06,0.0,17.64,28.83,0.0,0.0,0.0,0.0,0.0,12.76,34.18,12.07,1.51,13.13,0.0,15.69,0.0,28.98,26.46,54.94,11.71,13.34,43.33,35.85,12.15,0.0,36.75,26.68,18.85,0.0,0.0,67.84,21.21,52.7,8.98,29.64,24.82,35.9,14.13,0.0,11.59,86.05,0.0,14.28,13.72,32.58,6.54
2012,0.0,15.62,29.81,31.05,5.37,0.0,17.21,0.0,49.88,15.03,44.26,31.93,0.0,16.5,44.67,0.0,4.07,0.0,0.0,53.65,154.81,11.52,4.22,9.96,0.0,27.72,11.9,43.29,127.25,24.08,0.0,18.88,25.36,11.36,31.38,6.28,24.01,0.0,7.25,7.19,11.1,38.57,16.61,0.0,13.54,0.0,9.09,0.0,3.64,0.0,32.6,7.69,12.11,28.46,9.29,21.61,58.51,62.64,14.35,42.01,21.34,12.17,0.0,73.26,24.46,30.92,41.74,0.0,14.7,22.3,58.24,23.29,34.63,9.5,25.4,92.1,22.82,77.85,6.96,38.86,0.0,27.42,20.63,50.42,24.3,18.24,0.0,58.13,3.07,59.77,30.23,0.0,21.17,31.11,0.0,0.0,0.0,0.0,15.88,11.69,33.15,12.28,34.05,18.62,0.0,18.26,0.0,36.15,26.43,54.16,14.26,14.42,38.34,36.14,11.78,0.0,32.22,26.85,23.15,0.0,0.0,64.3,21.41,56.85,10.66,30.46,29.99,34.69,14.26,0.0,12.48,86.28,0.0,14.15,12.77,31.15,4.31
2013,0.0,15.1,27.67,30.75,4.48,0.0,19.03,0.0,49.22,15.92,51.25,30.77,0.0,19.2,47.12,0.0,4.0,0.0,0.0,54.21,179.54,11.19,4.22,10.75,0.0,24.38,11.42,41.25,128.02,23.37,0.0,19.06,28.03,11.41,31.06,4.59,24.04,0.0,6.68,7.17,11.48,38.98,18.26,0.0,13.63,0.0,9.48,0.0,3.31,0.0,37.83,8.72,10.65,27.97,8.86,21.65,55.9,74.21,19.14,45.78,24.94,11.82,0.0,83.21,25.71,33.71,37.46,0.0,14.46,22.06,62.11,24.31,40.07,9.15,26.07,91.33,22.69,76.44,0.0,39.08,0.0,35.9,16.09,52.83,24.74,18.15,0.0,49.61,3.11,57.38,31.76,0.0,20.66,29.33,0.0,0.0,0.0,0.0,22.91,13.37,36.02,12.39,48.38,13.42,0.0,18.08,0.0,37.07,34.99,59.39,14.62,14.05,40.12,39.56,11.54,0.0,28.52,27.9,21.0,0.0,0.0,102.64,0.0,63.83,12.89,0.0,29.21,34.38,15.32,0.0,11.13,92.32,0.0,14.3,11.78,32.93,2.92
2014,0.0,14.53,28.14,32.32,6.47,0.0,19.04,0.0,49.33,16.8,56.48,30.55,0.0,21.61,52.11,0.0,4.05,0.0,0.0,57.06,183.55,12.27,4.12,14.96,0.0,24.0,11.28,36.74,134.27,26.06,0.0,18.68,29.23,11.48,31.68,4.58,22.89,0.0,6.7,8.57,12.43,41.26,19.32,0.0,14.77,0.0,8.97,0.0,0.73,0.0,37.24,10.65,10.77,27.46,15.2,21.53,58.85,74.85,11.77,44.94,29.57,14.12,0.0,105.35,25.82,30.79,33.0,0.0,22.53,23.47,62.41,21.3,36.04,9.31,25.58,98.87,24.36,81.73,0.0,42.46,0.0,37.3,10.72,50.84,26.76,17.04,0.0,45.56,3.5,49.18,40.09,0.0,17.75,29.87,0.0,0.0,0.0,0.0,23.18,13.4,31.02,10.05,48.08,12.09,0.0,16.03,0.0,38.81,34.77,32.11,13.79,14.09,40.58,42.36,12.15,0.0,29.28,30.18,22.11,0.0,0.0,99.06,0.0,69.56,10.47,0.0,26.7,34.68,16.18,0.0,12.22,91.68,0.0,14.08,12.58,34.21,4.94
2015,0.0,3.01,26.75,30.83,6.07,0.0,17.02,0.0,45.2,16.46,56.97,29.2,17.13,19.72,59.74,0.0,3.98,0.0,0.0,57.62,165.96,11.72,4.15,19.49,0.0,23.35,10.27,37.94,142.23,39.32,0.0,19.13,33.75,11.67,33.1,2.28,19.57,0.0,6.29,6.16,12.43,43.62,19.12,0.0,15.4,0.0,8.34,0.0,0.0,0.0,36.43,10.61,11.04,27.02,15.76,21.46,62.89,67.36,12.83,44.05,37.43,14.22,0.0,116.49,25.97,29.7,32.37,0.0,29.13,33.78,64.58,22.64,34.39,9.24,26.58,101.94,25.17,82.01,0.0,45.14,0.0,38.89,7.64,53.09,25.73,15.57,0.0,43.57,4.4,46.55,44.5,0.0,29.66,30.55,0.0,0.0,0.0,0.0,29.84,13.41,27.15,10.62,48.95,11.99,0.0,16.43,0.0,39.73,33.41,0.0,11.02,13.89,37.04,50.61,12.95,0.0,31.17,34.12,18.83,0.0,0.0,94.48,0.0,76.3,13.23,0.0,26.13,34.35,16.47,0.0,14.97,84.48,0.0,15.54,12.51,40.54,4.21
2016,0.0,0.0,26.98,30.12,5.09,0.0,16.74,0.0,42.86,16.58,58.21,28.92,34.83,17.66,58.97,0.0,3.86,0.0,0.0,56.09,147.49,11.68,3.91,16.57,0.0,22.61,9.86,43.28,151.34,38.45,0.0,21.86,36.41,11.4,39.05,0.0,15.1,0.0,3.86,4.47,12.89,43.43,16.83,0.0,15.43,0.0,7.37,0.0,0.0,0.0,35.33,6.17,13.35,28.09,4.03,21.39,63.49,82.78,12.17,44.21,34.32,14.15,0.0,103.99,26.1,26.01,41.35,0.0,28.46,32.37,72.71,23.36,31.6,5.48,27.79,101.24,28.66,84.47,0.0,46.97,0.0,38.05,7.7,52.8,26.09,15.47,0.0,52.79,4.62,45.74,38.69,0.0,28.7,32.21,0.0,0.0,0.0,0.0,35.11,13.61,23.95,10.31,44.6,11.87,0.0,23.05,0.0,36.78,29.21,0.0,7.27,13.78,40.91,64.03,9.72,0.0,32.84,35.91,19.13,0.0,0.0,91.13,0.0,78.3,13.99,0.0,22.72,37.23,16.49,0.0,16.82,83.48,0.0,17.11,12.84,46.5,3.26
2017,0.0,0.0,29.26,30.2,6.16,0.0,21.69,0.0,45.28,16.16,60.07,29.58,33.21,20.46,54.82,0.0,3.93,0.0,0.0,57.0,146.17,12.29,3.91,16.65,0.0,22.5,10.17,43.26,149.49,39.86,0.0,22.6,37.25,11.35,41.23,0.0,19.01,0.0,3.42,4.11,13.04,45.04,8.48,0.0,15.88,0.0,5.52,0.0,0.0,0.0,34.63,7.49,16.08,29.5,0.0,29.08,66.81,91.61,12.42,46.76,34.3,14.21,0.0,104.13,25.85,29.31,43.71,0.0,28.93,28.02,70.91,26.3,30.48,5.04,31.04,92.42,29.69,82.8,0.0,36.19,0.0,43.91,10.34,58.35,27.09,15.49,0.0,55.08,4.58,41.76,38.98,0.0,28.13,32.83,0.0,0.0,0.0,0.0,37.68,13.3,24.07,9.96,37.27,13.3,0.0,23.6,0.0,33.67,36.4,0.0,6.18,13.92,42.31,68.13,7.44,0.0,33.4,35.91,19.96,0.0,0.0,91.51,0.0,73.2,13.72,0.0,21.32,37.65,16.86,0.0,16.75,84.66,0.0,17.43,12.95,44.44,3.3
2018,0.0,0.0,30.2,30.72,5.98,0.0,21.74,0.0,47.95,15.52,59.81,27.65,33.08,21.13,53.05,0.0,3.83,0.0,0.0,54.93,139.63,12.32,3.8,17.01,0.0,22.18,10.04,42.4,88.09,29.47,0.0,27.23,36.13,10.51,42.5,0.0,16.8,0.0,4.22,22.63,13.48,42.64,16.43,0.0,15.73,0.0,5.01,0.0,0.0,0.0,33.82,7.04,24.82,28.21,0.0,27.38,67.56,95.81,12.23,48.32,34.19,13.79,0.0,104.9,27.09,27.91,46.95,0.0,28.75,28.59,68.15,28.13,30.31,5.04,31.52,92.42,29.41,81.27,0.0,36.26,0.0,43.73,5.8,53.85,27.01,15.39,0.0,53.53,4.65,49.04,39.94,0.0,28.05,31.39,0.0,0.0,0.0,0.0,35.93,10.69,23.03,9.74,37.09,13.05,0.0,23.85,0.0,34.61,37.69,0.0,4.21,13.9,41.43,69.45,7.33,0.0,27.2,34.95,20.23,0.0,0.0,72.71,0.0,69.44,9.93,0.0,21.68,37.08,16.21,0.0,16.66,77.29,0.0,16.6,12.67,44.26,3.36
