,Avon and Somerset,Bedfordshire,Cambridgeshire,Cheshire,City of London,Cleveland,Cumbria,Derbyshire,Devon and Cornwall,Dorset,Durham,Essex,Gloucestershire,Greater Manchester,Hampshire,Hertfordshire,Humberside,Kent,Lancashire,Leicestershire,Lincolnshire,Merseyside,Metropolitan Police,Norfolk,North Yorkshire,Northamptonshire,Northumbria,Nottinghamshire,South Yorkshire,Staffordshire,Suffolk,Surrey,Sussex,Thames Valley,Warwickshire,West Mercia,West Midlands,West Yorkshire,Wiltshire
2009,21.51,7.95,28.26,10.26,301.66,38.18,21.0,12.22,21.48,21.6,19.21,11.94,32.49,15.25,13.24,16.64,16.49,9.56,16.95,16.71,22.84,21.91,25.33,33.31,17.17,16.87,27.39,24.27,42.61,18.13,13.87,18.38,10.26,19.47,8.41,1.15,17.87,22.92,23.16
2010,21.33,7.37,28.9,13.2,317.8,34.89,27.26,10.39,21.12,19.81,19.68,12.77,22.39,17.03,10.91,18.4,18.78,10.21,18.24,16.44,23.78,22.71,24.04,34.69,16.34,16.66,28.84,23.19,39.59,19.22,14.72,19.14,13.52,21.53,8.62,4.29,18.94,20.38,24.2
2011,22.21,11.04,38.2,19.59,151.92,36.65,45.12,6.06,15.04,26.13,22.66,12.6,18.23,16.11,14.17,14.45,16.22,11.86,24.83,15.42,21.91,25.01,25.27,37.92,23.2,18.3,33.89,17.17,31.2,17.18,12.15,36.75,10.03,20.29,14.13,7.54,20.43,30.91,18.08
2012,24.03,11.27,41.33,18.65,165.31,36.09,43.29,5.89,14.89,28.16,21.66,11.1,16.61,19.33,14.53,12.11,16.73,13.61,24.46,13.52,22.3,25.12,25.97,38.86,24.3,18.24,31.73,16.75,27.9,19.22,11.78,32.22,11.45,18.9,14.26,7.82,21.18,28.56,18.06
2013,24.04,10.98,41.72,18.4,184.55,36.51,41.25,5.71,15.14,31.77,21.77,11.48,18.26,18.39,15.66,10.65,19.34,17.61,25.39,12.13,22.06,26.27,27.8,39.08,24.74,18.15,32.07,14.66,35.39,20.26,11.54,28.52,11.05,19.24,15.32,6.02,22.16,30.19,18.49
2014,24.24,11.32,43.9,19.54,180.65,38.55,36.74,6.37,15.88,34.54,22.8,12.43,19.32,17.14,15.34,10.77,19.35,11.4,25.48,10.7,23.47,26.13,28.25,42.46,26.76,17.04,33.42,13.99,35.66,20.24,12.15,29.28,12.01,21.07,16.18,6.91,21.51,30.43,19.05
2015,25.93,11.49,44.26,19.29,170.93,38.11,37.94,9.63,19.36,34.89,24.11,12.43,19.12,16.35,14.83,11.04,19.45,12.28,25.2,10.55,33.78,27.11,27.02,45.14,25.73,15.57,34.32,14.23,38.08,19.96,12.95,31.17,12.94,21.08,16.47,6.54,21.21,30.76,21.26
2016,27.85,11.05,42.97,19.85,151.39,39.36,43.28,9.44,19.5,35.44,25.62,12.89,16.83,15.85,13.84,13.35,19.38,11.15,25.07,13.52,32.37,30.06,26.03,46.97,26.09,15.47,34.52,16.82,37.91,20.13,9.72,32.84,12.73,18.58,16.49,5.4,21.91,29.75,22.89
2017,27.25,12.67,43.62,20.47,144.89,37.64,43.26,9.77,19.77,36.36,25.23,13.04,8.48,15.31,14.1,16.08,21.2,11.3,25.09,14.27,28.02,29.48,26.37,36.19,27.09,15.49,34.92,17.42,35.94,20.23,7.44,33.4,13.03,20.1,16.86,5.97,23.88,30.34,23.11
2018,26.33,13.06,41.98,20.31,125.89,37.27,42.4,7.2,21.96,35.77,14.82,13.48,16.43,15.61,13.62,24.82,21.58,11.15,26.34,15.26,28.59,28.46,26.28,36.26,27.01,15.39,33.86,17.07,35.45,18.97,7.33,27.2,13.37,19.54,16.21,5.87,23.5,28.83,22.26
2019,23.55,13.71,38.3,19.19,132.19,39.35,44.26,9.18,23.02,35.53,14.86,15.64,13.54,15.69,13.54,28.3,20.95,11.12,26.87,18.94,26.91,29.47,27.24,37.55,27.52,14.66,33.76,18.17,35.39,16.51,1.87,27.95,13.56,19.19,15.3,5.58,22.75,28.64,22.2
