,Barking and Dagenham,Barnet,Barnsley,Bath and North East Somerset,Bedfordshire,Bexley,Birmingham,Blackburn with Darwen,Blackpool,Bolton,Bournemouth and Poole,Bradford,Brent,Brighton and Hove,"Bristol, City of",Bromley,Buckinghamshire,Bury,Calderdale,Cambridgeshire,Camden,Cheshire,City of London and Hackney,Cornwall and Isles of Scilly,County Durham,Coventry,Croydon,Cumbria,Darlington,Derby,Derbyshire,Devon,Doncaster,Dorset,Dudley,Ealing,East Berkshire,East Riding of Yorkshire,East Sussex,Enfield,Essex,Gateshead,Gloucestershire,Greenwich,Halton and St. Helens,Hammersmith and Fulham,Hampshire,Haringey,Harrow,Hartlepool,Havering,"Herefordshire, County of",Hertfordshire,Hillingdon,Hounslow,Isle of Wight,Islington,Kensington and Chelsea,Kent,"Kingston upon Hull, City of",Kingston upon Thames,Kirklees,Knowsley,Lambeth,Lancashire,Leeds,Leicester,Leicestershire and Rutland,Lewisham,Lincolnshire,Liverpool,Luton,Manchester,Medway,Merton and Sutton,Middlesbrough,Milton Keynes,Newcastle upon Tyne,Newham,Norfolk,North East Lincolnshire,North Lincolnshire,North Somerset,North Tyneside,North Yorkshire and York,Northamptonshire,Northumberland,Nottingham,Nottinghamshire,Oldham,Oxfordshire,Peterborough,Plymouth,Portsmouth,Redbridge,Redcar and Cleveland,Richmond upon Thames,Rochdale,Rotherham,Salford,Sandwell,Sefton,Sheffield,Shropshire,Solihull,Somerset,South Gloucestershire,South Tyneside,Southampton,Southwark,Staffordshire,Stockport,Stockton-on-Tees,Stoke-on-Trent,Suffolk,Sunderland,Surrey,Swindon,Tameside and Glossop,Telford and Wrekin,Torbay,Tower Hamlets,Trafford,Wakefield,Walsall,Waltham Forest,Wandsworth,Warrington,Warwickshire,West Berkshire,West Sussex,Westminster,Wigan,Wiltshire,Wirral,Wolverhampton,Worcestershire
2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,0.0,1.25,6.35,0.58,1.08,0.0,15.79,0.0,4.92,1.77,4.35,10.36,0.0,10.81,1.94,0.0,6.13,0.0,0.0,27.6,10.19,11.24,0.53,4.89,0.0,5.66,0.0,7.17,7.14,1.61,0.0,0.71,535.0,4.46,0.15,0.01,18.53,0.0,0.65,0.35,8.17,12.26,5.51,0.0,8.2,0.0,4.38,0.0,1.94,0.0,11.97,0.97,7.61,0.0,1.06,9.33,21.38,6.05,22.02,2.81,19.69,1.38,0.0,5.83,26.24,55.92,6.87,0.0,5.29,25.44,10.42,4.47,41.15,3.03,6.64,6.35,0.0,14.35,11.0,12.77,0.0,3.73,0.64,4.23,5.59,6.77,0.0,3.24,3.45,5.07,4.63,0.0,2.26,1.51,0.0,0.0,0.0,0.0,0.0,2.6,2.62,0.89,0.34,0.43,0.0,21.63,0.0,6.72,7.73,13.34,2.92,5.78,7.24,1.48,0.61,0.0,14.61,0.67,4.34,0.0,0.0,7.93,3.19,8.46,5.8,2.52,14.92,1.66,1.15,0.0,12.38,35.96,0.0,4.46,6.61,5.32,1.13
2012,0.0,1.9,6.97,4.38,3.78,0.0,14.81,0.0,1.85,1.29,6.42,4.37,0.0,7.81,15.63,0.0,0.73,0.0,0.0,9.84,3.09,8.2,0.26,4.78,0.0,14.57,2.9,3.86,4.22,1.52,0.0,8.8,5.47,1.12,15.89,0.12,3.93,0.0,0.94,0.15,6.76,1.5,2.33,0.0,2.4,0.0,5.65,0.0,1.45,0.0,8.86,0.5,10.37,0.05,0.91,0.0,9.54,8.18,22.79,4.27,1.12,1.61,0.0,66.66,19.91,9.45,6.82,0.0,1.42,11.48,16.74,1.66,5.52,0.55,5.26,6.65,0.36,7.21,0.0,14.32,0.0,3.47,7.43,2.25,12.92,3.52,0.0,28.63,1.35,9.92,10.1,0.0,2.08,0.94,0.0,0.0,0.0,0.0,27.53,2.18,4.22,0.93,121.56,11.34,0.0,1.75,0.0,0.95,10.59,14.02,12.71,0.84,2.59,1.17,1.68,0.0,37.16,1.54,9.79,0.0,0.0,1.07,1.54,9.91,0.44,0.02,2.04,1.39,1.72,0.0,5.48,30.16,0.0,1.73,2.21,4.18,10.56
2013,0.0,0.81,2.28,1.61,3.02,0.0,7.81,0.0,2.74,0.95,17.98,10.78,0.0,0.53,9.95,0.0,0.61,0.0,0.0,6.99,25.25,1.74,0.09,8.18,0.0,0.8,0.47,10.01,4.34,2.45,0.0,3.29,5.3,2.05,2.73,0.0,5.94,0.0,1.05,1.65,6.19,0.0,2.73,0.0,0.83,0.0,9.29,0.0,0.88,0.0,3.59,2.5,2.62,0.0,0.41,0.0,8.66,1.9,11.91,3.12,3.82,1.39,0.0,3.54,9.34,13.51,4.06,0.0,0.92,13.92,6.23,1.84,10.36,0.68,4.16,7.26,0.32,5.53,0.0,8.02,0.0,4.02,3.45,2.33,7.56,4.37,0.0,2.05,0.32,4.37,15.5,0.0,1.35,0.74,0.0,0.0,0.0,0.0,4.62,5.15,5.4,1.07,2.12,7.95,0.0,1.04,0.0,0.0,12.48,9.72,6.8,1.27,4.53,4.13,1.64,0.0,6.85,2.1,10.28,0.0,0.0,4.8,0.0,16.48,5.6,0.0,0.59,1.78,2.61,0.0,1.96,1.36,0.0,3.94,1.43,1.82,1.06
2014,0.0,3.6,1.19,1.27,9.61,0.0,1.36,0.0,5.96,1.97,0.2,4.55,0.0,10.41,9.91,0.0,0.24,0.0,0.0,16.03,2.23,1.3,0.13,6.53,0.0,1.4,1.76,10.35,6.18,9.41,0.0,3.19,4.26,0.54,0.33,0.0,1.93,0.0,0.56,6.42,7.23,4.23,5.72,0.0,3.0,0.0,2.69,0.0,3.56,0.0,3.33,0.0,7.21,0.0,0.9,0.0,6.73,0.95,15.42,6.42,8.45,1.32,0.0,70.16,8.07,3.41,2.32,0.0,26.72,3.55,13.51,0.95,9.82,0.24,5.19,3.47,1.59,12.3,0.0,11.24,0.0,5.63,8.95,3.62,10.4,7.06,0.0,5.45,3.04,8.1,33.83,0.0,2.38,1.18,0.0,0.0,0.0,0.0,6.13,0.63,9.82,3.63,2.45,0.58,0.0,1.75,0.0,1.89,4.1,112.45,2.98,0.61,3.98,0.44,6.96,0.0,6.9,3.74,3.61,0.0,0.0,6.61,0.0,19.91,5.21,0.0,0.29,1.1,2.36,0.0,14.83,0.76,0.0,7.32,0.8,0.46,0.31
2015,0.0,22.81,1.82,1.32,4.73,0.0,17.17,0.0,1.67,1.29,6.0,1.99,64.0,11.19,10.63,0.0,0.6,0.0,0.0,5.83,39.07,3.71,0.65,15.11,0.0,1.84,2.61,10.72,11.43,4.58,0.0,8.71,12.16,1.06,8.75,9.07,29.7,0.0,3.14,1.18,3.33,0.0,5.1,0.0,1.56,0.0,9.41,0.0,0.0,0.0,2.1,0.0,26.44,0.0,0.9,0.0,4.71,1.23,2.57,7.93,1.9,1.8,0.0,23.89,4.77,5.4,2.83,0.0,4.61,78.77,32.83,2.0,9.59,0.4,2.12,5.06,2.75,7.93,0.0,23.14,0.0,7.38,1.33,3.86,8.4,1.82,0.0,3.07,4.39,2.69,5.46,0.0,9.68,4.72,0.0,0.0,0.0,0.0,20.08,0.8,9.66,0.46,3.8,0.85,0.0,1.72,0.0,0.0,8.19,0.0,25.27,0.79,3.42,25.5,2.91,0.0,39.47,4.81,0.96,0.0,0.0,6.98,0.0,9.04,0.71,0.0,2.3,0.62,1.33,0.0,2.62,14.14,0.0,9.29,2.9,21.05,5.0
2016,0.0,0.0,0.15,1.43,1.68,0.0,6.41,0.0,3.18,1.07,2.76,0.82,6.71,6.19,9.46,0.0,0.37,0.0,0.0,2.68,5.87,2.17,0.19,1.53,0.0,1.85,0.97,6.47,2.82,1.75,0.0,0.98,3.34,0.71,4.62,0.0,1.22,0.0,4.64,4.79,4.42,0.0,1.91,0.0,1.27,0.0,4.23,0.0,0.0,0.0,0.91,2.89,7.94,3.41,21.61,0.0,3.76,20.41,2.81,1.42,0.33,1.15,0.0,12.26,3.57,10.57,10.61,0.0,3.53,31.09,20.45,1.1,3.34,0.99,2.62,7.67,5.38,13.74,0.0,7.67,0.0,11.55,3.79,5.89,6.71,1.75,0.0,3.14,1.66,5.9,7.22,0.0,4.8,1.48,0.0,0.0,0.0,0.0,6.1,3.22,1.6,0.75,32.78,1.1,0.0,9.83,0.0,5.16,3.44,0.0,1.49,0.48,7.32,2.26,48.68,0.0,4.74,1.09,0.83,0.0,0.0,1.51,0.0,12.39,4.3,0.0,5.28,1.8,0.97,0.0,0.2,9.59,0.0,3.07,0.7,5.31,0.12
2017,0.0,0.0,5.77,1.52,0.43,0.0,6.89,0.0,3.73,2.74,7.6,4.83,2.89,2.56,3.57,0.0,0.5,0.0,0.0,1.45,10.13,4.2,0.23,3.06,0.0,1.42,0.68,7.52,3.63,12.17,0.0,17.84,2.08,1.12,5.04,0.0,6.88,0.0,0.33,1.15,6.37,2.91,58.84,0.0,0.72,0.0,3.1,0.0,0.0,0.0,2.46,0.13,8.43,2.74,0.0,0.0,6.54,3.99,2.2,5.25,0.29,0.42,0.0,12.56,1.79,10.84,4.91,0.0,1.5,1.73,9.0,2.39,12.28,0.0,9.13,3.51,0.88,5.3,0.0,4.63,0.0,0.41,0.0,7.2,9.53,1.97,0.0,5.94,3.41,6.9,8.17,0.0,0.0,1.4,0.0,0.0,0.0,0.0,3.8,4.95,1.3,0.6,12.16,4.34,0.0,3.7,0.0,2.11,3.76,0.0,9.77,0.71,1.33,7.77,1.5,0.0,5.49,0.73,0.86,0.0,0.0,6.0,0.0,19.15,4.4,0.0,7.51,1.39,3.02,0.0,1.11,14.6,0.0,4.02,1.2,2.5,0.57
2018,0.0,0.0,4.32,1.06,3.25,0.0,9.02,0.0,0.73,1.21,3.01,29.08,2.84,3.84,3.06,0.0,0.52,0.0,0.0,21.5,6.06,2.41,0.26,0.28,0.0,0.54,0.5,3.99,0.92,4.58,0.0,7.53,2.05,2.17,3.19,0.0,7.87,0.0,0.45,0.01,3.0,0.67,3.08,0.0,0.76,0.0,1.9,0.0,0.0,0.0,2.34,1.31,53.7,3.97,0.0,4.5,4.69,10.58,5.92,11.67,0.0,3.61,0.0,20.22,8.89,12.38,4.34,0.0,2.12,5.04,12.62,2.94,5.96,0.0,2.76,5.66,0.0,7.11,0.0,15.53,0.0,0.41,1.46,4.92,2.75,2.51,0.0,9.73,2.38,7.3,5.68,0.0,0.4,1.72,0.0,0.0,0.0,0.0,1.43,0.37,2.05,0.52,0.96,4.72,0.0,2.43,0.0,0.0,0.54,0.0,0.64,0.38,3.49,0.9,1.84,0.0,6.97,1.01,0.55,0.0,0.0,36.15,0.0,8.43,3.48,0.0,8.89,1.49,3.84,0.0,2.01,3.24,0.0,6.6,0.88,1.6,0.59
