,Avon and Somerset,Bedfordshire,Cambridgeshire,Cheshire,City of London,Cleveland,Cumbria,Derbyshire,Devon and Cornwall,Dorset,Durham,Essex,Gloucestershire,Greater Manchester,Hampshire,Hertfordshire,Humberside,Kent,Lancashire,Leicestershire,Lincolnshire,Merseyside,Metropolitan Police,Norfolk,North Yorkshire,Northamptonshire,Northumbria,Nottinghamshire,South Yorkshire,Staffordshire,Suffolk,Surrey,Sussex,Thames Valley,Warwickshire,West Mercia,West Midlands,West Yorkshire,Wiltshire
2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,20.34,5.53,27.6,18.68,0.53,8.32,7.17,1.61,7.68,7.42,7.14,8.17,5.51,55.16,18.71,7.61,5.58,24.32,24.97,6.87,25.44,15.71,52.84,12.77,5.59,6.77,27.43,3.68,534.85,2.79,0.61,14.61,23.52,17.04,1.15,1.82,12.41,74.54,4.99
2012,17.75,5.08,9.84,10.0,0.26,6.86,3.86,1.52,10.44,7.13,4.22,6.76,2.33,15.9,12.04,10.37,6.16,22.66,20.03,6.82,11.48,18.72,133.15,14.32,12.92,3.52,11.13,28.38,155.55,13.53,1.68,37.16,10.23,14.16,1.72,3.48,26.2,16.95,2.78
2013,8.84,3.52,6.99,3.44,0.09,10.21,10.01,2.45,10.78,19.15,4.34,6.19,2.73,16.9,17.88,2.62,6.6,12.2,9.13,4.06,13.92,7.22,49.2,8.02,7.56,4.37,7.77,2.18,4.13,8.21,1.64,6.85,1.32,11.68,2.61,6.43,14.83,32.53,5.96
2014,12.55,9.94,16.03,4.45,0.13,2.9,10.35,9.41,10.66,0.35,6.18,7.23,5.72,10.11,5.18,7.21,7.75,15.43,9.6,2.32,3.55,12.17,13.27,11.24,10.4,7.06,16.65,2.95,7.34,2.57,6.96,6.9,25.27,34.66,2.36,0.51,12.23,16.08,6.15
2015,14.45,6.51,5.83,4.72,0.65,7.79,10.72,4.58,16.94,6.96,11.43,3.33,5.1,7.4,13.35,26.44,4.2,2.91,4.31,2.83,78.77,35.04,36.64,23.14,8.4,1.82,5.0,7.36,32.48,2.36,2.91,39.47,6.76,26.87,1.33,4.8,18.2,7.63,13.5
2016,20.44,0.93,2.68,4.74,0.19,3.97,6.47,1.75,4.19,3.4,2.82,4.42,1.91,11.0,7.16,7.94,10.35,2.73,5.17,10.61,31.09,20.57,19.77,7.67,6.71,1.75,15.52,4.35,27.38,1.57,48.68,4.74,2.2,7.51,0.97,3.11,14.96,13.29,4.13
2017,5.89,2.24,1.45,5.62,0.23,4.83,7.52,12.17,20.17,8.41,3.63,6.37,58.84,17.62,7.54,8.43,5.42,2.2,2.36,4.91,1.73,9.05,35.86,4.63,9.53,1.97,10.38,7.76,18.82,10.41,1.5,5.49,2.27,14.89,3.02,4.69,12.09,21.77,3.32
2018,4.51,3.9,21.5,3.79,0.26,6.66,3.99,4.58,7.39,2.93,0.92,3.0,3.08,13.16,4.39,53.7,12.08,5.92,9.4,4.34,5.04,12.71,26.18,15.53,2.75,2.51,9.1,11.2,4.66,1.1,1.84,6.97,4.66,6.11,3.84,5.07,7.21,50.18,6.73
2019,49.53,1.1,1.74,3.33,0.43,2.86,6.95,18.7,20.27,7.58,3.07,32.57,0.57,12.0,4.44,9.25,11.11,1.63,10.05,22.12,1.22,9.32,82.53,14.37,5.43,2.03,4.1,8.09,23.18,17.11,28.5,14.92,3.77,6.13,2.44,3.38,13.64,17.91,7.22
