,Avon and Somerset,Bedfordshire,Cambridgeshire,Cheshire,City of London,Cleveland,Cumbria,Derbyshire,Devon and Cornwall,Dorset,Durham,Essex,Gloucestershire,Greater Manchester,Hampshire,Hertfordshire,Humberside,Kent,Lancashire,Leicestershire,Lincolnshire,Merseyside,Metropolitan Police,Norfolk,North Yorkshire,Northamptonshire,Northumbria,Nottinghamshire,South Yorkshire,Staffordshire,Suffolk,Surrey,Sussex,Thames Valley,Warwickshire,West Mercia,West Midlands,West Yorkshire,Wiltshire
2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,1.27,0.9,3.42,1.82,7.15,1.49,1.43,0.16,0.46,1.0,1.15,0.47,0.92,2.05,0.98,0.68,0.61,1.4,1.71,0.67,3.56,1.14,0.69,1.49,0.7,0.98,1.93,0.3,39.8,0.25,0.08,1.29,1.46,0.8,0.21,0.15,0.45,3.35,0.73
2012,1.1,0.81,1.21,0.97,3.93,1.23,0.77,0.15,0.62,0.95,0.68,0.39,0.39,0.59,0.63,0.92,0.67,1.3,1.37,0.67,1.6,1.35,1.71,1.66,1.61,0.5,0.78,2.29,11.5,1.23,0.23,3.25,0.63,0.66,0.31,0.28,0.95,0.76,0.4
2013,0.54,0.56,0.86,0.33,1.49,1.82,2.01,0.24,0.64,2.54,0.7,0.35,0.45,0.62,0.93,0.23,0.72,0.69,0.62,0.39,1.92,0.52,0.62,0.92,0.94,0.62,0.54,0.17,0.3,0.74,0.22,0.59,0.08,0.54,0.47,0.52,0.53,1.45,0.86
2014,0.76,1.55,1.94,0.43,2.12,0.52,2.08,0.91,0.62,0.05,0.99,0.41,0.94,0.37,0.27,0.62,0.84,0.87,0.65,0.22,0.49,0.87,0.17,1.28,1.29,0.99,1.16,0.23,0.54,0.23,0.94,0.59,1.53,1.58,0.43,0.04,0.44,0.71,0.88
2015,0.87,1.0,0.7,0.45,9.72,1.39,2.15,0.44,0.98,0.91,1.83,0.19,0.83,0.27,0.68,2.27,0.45,0.16,0.29,0.27,10.68,2.5,0.45,2.62,1.03,0.25,0.35,0.58,2.36,0.21,0.39,3.37,0.41,1.21,0.24,0.38,0.64,0.33,1.91
2016,1.21,0.14,0.32,0.45,2.62,0.7,1.3,0.17,0.24,0.44,0.45,0.24,0.31,0.4,0.36,0.67,1.11,0.15,0.35,0.99,4.17,1.46,0.24,0.86,0.82,0.24,1.07,0.34,1.98,0.14,6.48,0.4,0.13,0.34,0.17,0.25,0.52,0.58,0.58
2017,0.35,0.34,0.17,0.53,3.0,0.85,1.51,1.16,1.15,1.09,0.58,0.35,9.37,0.63,0.38,0.71,0.58,0.12,0.16,0.45,0.23,0.64,0.43,0.52,1.16,0.27,0.72,0.6,1.35,0.92,0.2,0.46,0.13,0.66,0.53,0.37,0.42,0.94,0.46
2018,0.26,0.58,2.52,0.36,2.99,1.17,0.8,0.43,0.42,0.38,0.15,0.16,0.49,0.47,0.22,4.53,1.3,0.32,0.63,0.4,0.67,0.89,0.31,1.72,0.33,0.34,0.62,0.86,0.33,0.1,0.24,0.59,0.27,0.27,0.67,0.4,0.25,2.16,0.93
2019,2.88,0.16,0.2,0.31,4.42,0.5,1.39,1.76,1.14,0.98,0.48,1.76,0.09,0.42,0.22,0.78,1.19,0.09,0.67,2.01,0.16,0.65,0.98,1.58,0.66,0.27,0.28,0.62,1.65,1.51,3.74,1.25,0.22,0.27,0.42,0.26,0.47,0.77,1.0
