,England,East of England,East Midlands,London,North East,North West,South East,South West,West Midlands,Yorkshire and the Humber
2009,19.42,18.03,18.68,23.79,27.77,16.6,14.17,22.97,13.33,25.92
2010,19.55,18.95,18.05,22.58,27.96,18.56,15.02,21.54,14.78,24.36
2011,20.91,19.97,15.26,23.73,31.81,22.22,17.47,19.52,16.36,27.27
2012,20.93,19.62,14.75,24.38,30.27,23.11,17.21,20.12,17.21,25.7
2013,21.62,19.46,13.82,26.08,30.57,22.98,17.8,20.96,17.61,28.82
2014,21.8,20.66,13.53,26.49,31.99,22.34,17.2,21.82,17.57,29.3
2015,22.19,21.27,15.62,25.33,32.7,22.2,17.7,23.74,17.32,29.93
2016,22.19,21.48,16.69,24.39,33.44,22.99,16.8,24.4,17.46,29.51
2017,22.21,20.47,16.42,24.7,33.2,22.75,17.39,23.5,18.61,29.72
2018,22.02,22.09,16.07,24.61,30.05,22.84,16.35,24.61,18.09,29.02
2019,22.16,22.46,17.23,25.5,30.44,23.13,16.37,23.72,17.09,28.9
