,England,East of England,East Midlands,London,North East,North West,South East,South West,West Midlands,Yorkshire and the Humber
2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,359.13,20.4,37.77,52.84,32.1,74.09,28.76,21.92,15.56,460.7
2012,439.25,32.12,28.08,133.15,21.44,47.88,8.07,37.78,32.04,177.25
2013,155.24,13.93,14.71,49.2,19.98,28.48,8.12,44.05,10.61,47.51
2014,146.94,30.52,12.25,13.27,17.75,20.99,73.26,18.57,14.25,27.56
2015,270.02,62.58,88.98,36.64,20.31,44.33,19.92,46.5,15.78,34.76
2016,89.38,53.35,21.97,19.77,19.15,25.82,10.85,21.15,19.88,10.45
2017,157.79,14.76,19.95,35.86,8.63,30.5,18.69,35.24,9.46,46.9
2018,70.06,57.38,10.45,26.18,12.29,35.34,11.02,6.5,2.67,47.23
2019,137.0,21.09,44.5,82.53,6.56,34.14,9.54,30.48,18.87,16.45
