,England,East of England,East Midlands,London,North East,North West,South East,South West,West Midlands,Yorkshire and the Humber
2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,0.67,0.35,0.81,0.64,1.24,1.05,0.48,0.41,0.28,8.71
2012,0.83,0.54,0.6,1.6,0.82,0.68,0.22,0.71,0.57,3.33
2013,0.31,0.23,0.31,0.58,0.77,0.4,0.27,0.82,0.19,0.89
2014,0.27,0.51,0.26,0.16,0.68,0.29,0.83,0.34,0.25,0.51
2015,0.48,1.03,1.84,0.42,0.77,0.62,0.23,0.85,0.27,0.64
2016,0.17,0.87,0.45,0.23,0.73,0.36,0.18,0.38,0.34,0.19
2017,0.3,0.24,0.41,0.41,0.33,0.42,0.29,0.63,0.16,0.86
2018,0.12,0.93,0.21,0.29,0.46,0.48,0.12,0.12,0.05,0.86
2019,0.25,0.34,0.89,0.92,0.25,0.47,0.14,0.54,0.32,0.3
