year,England,Unknown,Non Allocated England,North East,County Durham,Darlington,Gateshead,Hartlepool,Middlesbrough,Newcastle upon Tyne,North Tyneside,Northumberland,Redcar and Cleveland,South Tyneside,Stockton-on-Tees,Sunderland,Non Allocated North East,North West,Blackburn with Darwen,Blackpool,Bolton,Bury,Cheshire,Cumbria,Knowsley,Lancashire,Halton and St. Helens,Liverpool,Manchester,Oldham,Rochdale,Salford,Sefton,Stockport,Tameside and Glossop,Trafford,Warrington,Wirral,Wigan,Non Allocated North West,Yorkshire and the Humber,Barnsley,Bradford,Calderdale,Doncaster,East Riding of Yorkshire,"Kingston upon Hull, City of",Kirklees,Leeds,North East Lincolnshire,North Lincolnshire,North Yorkshire and York,Rotherham,Sheffield,Wakefield,Non Allocated Yorkshire,East Midlands,Derby,Derbyshire,Leicester,Leicestershire and Rutland,Lincolnshire,Northamptonshire,Nottingham,Nottinghamshire,Non Allocated East Midlands,West Midlands,Birmingham,Coventry,Dudley,"Herefordshire, County of",Sandwell,Shropshire,Solihull,Staffordshire,Stoke-on-Trent,Telford and Wrekin,Walsall,Warwickshire,Wolverhampton,Worcestershire,Non Allocated West Midlands,East of England,Bedfordshire,Cambridgeshire,Essex,Hertfordshire,Luton,Norfolk,Peterborough,Suffolk,Non Allocated East of England,London,Barking and Dagenham,Barnet,Bexley,Brent,Bromley,Camden,City of London and Hackney,Croydon,Ealing,Enfield,Greenwich,Hammersmith and Fulham,Haringey,Harrow,Havering,Hillingdon,Hounslow,Islington,Kensington and Chelsea,Kingston upon Thames,Lambeth,Lewisham,Newham,Redbridge,Richmond upon Thames,Southwark,Merton and Sutton,Tower Hamlets,Waltham Forest,Wandsworth,Westminster,Non Allocated London,South East,Brighton and Hove,Buckinghamshire,East Berkshire,East Sussex,Hampshire,Isle of Wight,Kent,Medway,Milton Keynes,Oxfordshire,Portsmouth,Southampton,Surrey,West Berkshire,West Sussex,Non Allocated South East,South West,Bath and North East Somerset,Bournemouth and Poole,"Bristol, City of",Cornwall and Isles of Scilly,Devon,Dorset,Gloucestershire,North Somerset,Plymouth,Somerset,South Gloucestershire,Swindon,Torbay,Wiltshire,Non Allocated South West
2009,42170,879,0,2130,336,121,206,119,232,284,162,240,86,61,138,145,0,10697,258,402,414,227,526,314,378,1514,562,1834,1055,241,401,328,323,247,355,144,200,516,458,0,5129,310,660,166,481,113,373,223,676,176,120,394,364,802,271,0,3085,301,473,384,281,315,262,377,692,0,4244,1157,272,296,95,200,164,68,367,402,109,230,336,167,381,0,2597,189,412,578,261,177,506,212,262,0,5304,140,98,97,113,160,222,224,207,237,103,244,178,169,80,106,154,149,210,120,88,306,234,181,115,114,374,206,152,145,180,198,0,3978,466,81,134,550,461,80,474,198,89,250,234,141,333,160,327,0,4127,120,259,877,275,553,228,428,204,277,327,140,141,151,147,0
2010,44585,825,0,2373,391,153,208,140,300,242,144,232,137,83,194,149,0,11635,413,485,337,215,553,424,392,1632,517,1963,1106,262,464,353,422,304,378,134,269,525,487,0,5526,307,578,182,566,110,523,230,783,292,136,455,344,800,220,0,3393,393,558,367,250,372,270,449,734,0,4133,1104,237,254,143,288,151,75,402,364,99,205,228,165,418,0,2655,169,377,630,273,161,521,237,287,0,5880,166,145,134,154,154,291,223,193,244,140,288,158,211,94,105,142,173,276,111,88,386,250,175,122,157,260,220,196,178,222,224,0,4047,346,77,149,598,469,93,528,234,155,194,263,87,346,190,318,0,4118,133,257,956,337,421,253,374,195,334,246,142,167,142,161,0
2011,51353,785,0,2863,452,180,229,192,346,277,204,275,170,110,223,205,0,12667,485,545,433,259,527,518,357,1794,528,1990,1409,284,421,410,426,332,434,139,245,562,569,0,6675,378,751,223,685,164,637,367,890,317,134,558,426,827,318,0,3984,354,684,418,342,516,291,486,893,0,4660,1200,403,256,158,314,181,78,437,323,77,240,361,198,434,0,3371,292,485,765,352,184,622,306,365,0,6664,138,157,150,178,206,373,291,180,279,143,423,265,196,75,76,174,145,293,174,105,331,313,216,126,119,268,294,262,235,263,216,0,4820,329,106,130,738,645,127,555,251,171,332,362,166,361,189,358,0,4864,126,376,996,397,463,251,471,158,445,362,175,225,205,214,0
2012,57733,485,0,3473,566,226,272,210,404,314,207,344,212,181,205,332,0,13578,558,555,511,295,590,526,389,1884,635,2091,1292,412,390,412,469,379,498,189,245,583,675,0,7711,446,858,240,816,206,844,550,1130,211,147,579,423,916,345,0,4093,371,629,350,361,601,325,521,935,0,4894,1362,261,312,150,320,182,84,478,391,106,255,274,284,435,0,4071,353,527,918,553,218,751,302,449,0,7884,173,260,209,231,276,328,309,272,291,273,442,191,262,126,107,221,216,393,156,133,382,336,288,149,132,346,281,309,278,263,251,0,6547,386,160,176,723,872,872,680,253,166,387,450,246,522,203,451,0,4997,143,330,854,553,442,307,447,155,481,453,192,237,175,228,0
2013,61142,1345,0,3457,506,176,307,219,453,269,199,335,203,163,289,338,0,13157,513,438,478,273,568,533,352,1713,613,2010,1301,304,419,482,485,483,497,267,219,601,608,0,7672,478,888,278,719,201,740,543,1003,228,139,648,358,1015,434,0,4423,347,746,473,368,622,318,543,1006,0,5380,1282,400,310,157,327,170,114,558,481,115,303,394,311,458,0,4451,326,669,963,655,241,847,292,458,0,9471,142,332,250,257,318,323,385,354,346,277,474,287,322,111,98,243,218,459,176,165,651,468,371,162,151,486,301,462,327,300,255,0,6308,437,175,204,484,781,145,1157,251,177,473,359,261,662,171,571,0,5478,164,434,956,579,626,310,537,173,399,576,145,162,154,263,0
2014,68597,1737,0,3562,563,171,303,241,459,321,167,341,222,200,286,288,0,14500,490,463,610,312,733,628,379,1820,709,1901,1322,364,473,650,534,532,509,263,271,830,707,0,8716,498,1009,280,765,248,825,592,1198,268,152,833,438,984,626,0,4760,378,937,357,354,624,413,650,1047,0,6211,1685,493,377,169,379,157,180,546,553,147,293,481,315,436,0,4915,322,732,1109,653,294,835,353,617,0,10679,185,364,304,309,378,339,640,377,369,342,471,284,454,142,138,199,221,521,205,153,595,497,657,170,152,518,294,538,246,354,263,0,7587,516,253,437,644,1034,179,1271,261,218,496,415,330,795,74,664,0,5930,192,419,1118,544,799,309,521,180,331,554,243,209,209,302,0
2015,74801,2022,0,3782,623,153,336,244,485,266,214,419,248,195,315,284,0,15570,490,504,680,267,792,688,433,2084,690,2084,1509,410,382,709,571,567,521,310,264,760,855,0,9435,534,1155,328,840,259,965,662,1300,310,173,881,523,877,628,0,5193,446,1090,414,426,666,562,634,955,0,6616,1690,541,391,149,360,195,173,728,637,182,315,431,371,453,0,5590,323,813,1315,768,336,922,409,704,0,11631,216,450,317,354,412,419,740,247,384,414,509,310,525,134,150,270,253,604,253,118,642,425,662,179,165,525,355,638,269,355,337,0,7855,500,309,529,670,1082,190,1268,295,229,493,438,354,802,79,617,0,7107,217,463,1588,620,846,378,719,246,354,607,256,260,215,338,0
2016,81904,2349,0,4644,727,235,402,302,527,339,254,423,271,295,424,445,0,16435,586,487,561,271,783,723,474,2312,840,2300,1589,389,432,692,659,670,527,242,285,874,739,0,9746,454,1154,319,867,296,987,654,1267,385,287,983,573,940,580,0,5880,501,1126,655,466,735,632,718,1047,0,7913,2086,554,539,213,426,254,214,845,789,174,389,500,422,508,0,6329,588,968,1490,791,474,815,410,793,0,12054,223,449,193,368,286,380,849,406,422,413,402,330,572,162,175,274,368,561,300,126,606,440,763,178,171,572,374,754,274,354,309,0,8774,619,378,853,710,1129,103,1180,332,304,651,438,488,733,114,742,0,7780,237,535,1521,740,904,392,847,232,396,544,369,369,279,415,0
2017,82135,2584,0,5064,777,226,389,412,604,348,268,429,288,320,552,451,0,15920,529,604,545,205,935,789,486,2160,940,2018,1432,328,380,696,537,541,508,267,327,800,893,0,9636,443,1106,365,839,302,1159,661,1435,267,233,906,543,835,542,0,5539,454,1003,567,594,634,721,642,924,0,7375,1990,432,516,162,398,272,250,831,603,165,448,484,375,449,0,6388,607,865,1470,951,413,951,366,765,0,13055,330,387,253,485,368,335,922,382,544,412,558,381,502,182,243,265,391,489,282,147,589,441,801,227,177,525,353,900,389,343,452,0,8911,577,363,923,632,1186,120,1154,296,333,802,458,550,591,129,797,0,7663,198,576,1405,657,996,329,738,213,370,624,366,454,287,450,0
2018,86966,2771,0,5785,870,255,475,465,560,435,325,555,295,325,610,615,0,15990,495,680,500,240,880,760,510,2390,1070,1650,1375,350,340,645,490,550,535,330,280,935,985,0,9700,435,1440,380,915,315,1050,685,1455,265,255,765,465,725,550,0,6080,500,1125,630,595,685,615,875,1055,0,7630,1845,520,415,245,445,280,205,865,745,175,445,525,405,515,0,7435,575,1080,1995,1100,505,975,405,800,0,13620,240,430,320,580,355,445,980,420,540,390,565,490,455,235,245,285,465,510,285,200,610,420,710,245,250,550,415,795,285,395,510,0,9595,620,430,930,770,1345,165,1120,310,310,830,505,550,710,150,850,0,8360,290,580,1490,725,940,345,875,270,325,815,400,520,265,520,0
2019,96705,3370,0,6960,1135,260,445,565,625,480,425,630,350,460,830,755,0,18200,515,670,620,295,985,755,545,2610,1095,1895,1695,460,480,715,655,655,615,410,340,1040,1150,0,10450,475,1585,385,940,370,1170,625,1350,330,320,900,695,810,495,0,6430,440,940,875,730,825,800,770,1050,0,8540,2045,650,365,240,385,330,215,1135,985,205,445,615,380,545,0,8095,890,1150,1915,1320,625,1045,335,815,0,16025,300,415,240,795,290,520,1180,490,595,310,500,600,395,315,265,335,405,565,380,355,805,555,820,270,285,825,520,1025,395,605,670,0,9720,455,440,905,345,1565,240,1090,210,350,795,540,675,1055,130,925,0,8915,280,630,1695,790,710,380,850,345,300,955,580,565,275,560,0
