Fiscal year,England,Unknown,Non Allocated England,North East,County Durham,Darlington,Gateshead,Hartlepool,Middlesbrough,Newcastle upon Tyne,North Tyneside,Northumberland,Redcar and Cleveland,South Tyneside,Stockton-on-Tees,Sunderland,Non Allocated North East,North West,Blackburn with Darwen,Blackpool,Bolton,Bury,Cheshire,Cumbria,Knowsley,Lancashire,Halton and St Helens,Liverpool,Manchester,Oldham,Rochdale,Salford,Sefton,Stockport,Tameside and Glossop PCT,Trafford,Warrington,Wirral,Wigan,Non Allocated North West,Yorkshire and the Humber,Barnsley,Bradford,Calderdale,Doncaster,East Riding of Yorkshire,"Kingston upon Hull, City of",Kirklees,Leeds,North East Lincolnshire,North Lincolnshire,North Yorkshire and York,Rotherham,Sheffield,Wakefield,Non Allocated Yorkshire,East Midlands,Derby,Derbyshire,Leicester,Leicestershire and Rutland,Lincolnshire,Northamptonshire,Nottingham,Nottinghamshire,Non Allocated East Midlands,West Midlands,Birmingham,Coventry,Dudley,"Herefordshire, County of",Sandwell,Shropshire,Solihull,Staffordshire,Stoke-on-Trent,Telford and Wrekin,Walsall,Warwickshire,Wolverhampton,Worcestershire,Non Allocated West Midlands,East of England,Bedfordshire,Cambridgeshire,Essex,Hertfordshire,Luton,Norfolk,Peterborough,Suffolk,Non Allocated East of England,London,Barking and Dagenham,Barnet,Bexley,Brent,Bromley,Camden,City of London and Hackney,Croydon,Ealing,Enfield,Greenwich,Hammersmith and Fulham,Haringey,Harrow,Havering,Hillingdon,Hounslow,Islington,Kensington and Chelsea,Kingston upon Thames,Lambeth,Lewisham,Newham,Redbridge,Richmond upon Thames,Southwark,Sutton and Merton,Tower Hamlets,Waltham Forest,Wandsworth,Westminster,Non Allocated London,South East,Brighton and Hove,Buckinghamshire,East Berkshire,East Sussex,Hampshire,Isle of Wight,Kent,Medway,Milton Keynes,Oxfordshire,Portsmouth,Southampton,Surrey,West Berkshire,West Sussex,Non Allocated South East,South West,Bath and North East Somerset,Bornenmouth and Poole ,"Bristol, City of",Cornwall and Isles of Scilly,Devon,Dorset,Gloucestershire,North Somerset,Plymouth,Somerset,South Gloucestershire,Swindon,Torbay,Wiltshire,Non Allocated South West
2009,5668,89,32,99,20,9,,11,14,7,9,6,,,10,,13,1060,26,35,49,27,37,21,77,155,54,223,73,16,26,27,36,21,28,12,31,28,58,0,515,63,70,27,24,13,27,42,43,10,14,30,35,50,67,0,380,38,70,53,45,43,30,53,48,0,651,85,70,36,,19,42,,75,61,31,21,153,24,24,10,307,12,23,101,50,29,44,12,36,0,1240,43,24,41,27,42,17,35,68,25,19,84,12,24,11,27,24,21,21,16,25,97,83,57,31,37,116,72,31,47,40,23,0,701,56,11,15,106,125,17,60,18,20,25,75,33,63,36,41,0,626,8,74,47,33,130,71,146,28,,48,9,,14,9,9
2010,5809,115,0,154,51,13,1,11,10,4,3,10,16,5,26,4,0,1150,27,48,26,26,40,58,63,201,68,174,82,13,31,23,33,26,39,10,52,45,65,0,498,36,67,17,23,16,51,47,62,27,14,34,15,53,36,0,520,41,90,47,47,37,43,90,125,0,587,99,38,30,17,31,48,8,68,40,37,20,89,24,38,0,273,6,21,103,33,16,62,8,24,0,1258,45,23,60,17,37,20,32,69,19,32,96,13,24,14,35,15,17,57,13,17,92,52,44,22,55,42,93,44,33,104,22,0,726,41,13,5,135,129,17,89,30,31,13,90,13,47,39,34,0,528,6,60,45,44,106,62,121,15,8,6,4,10,20,21,0
2011,6640,95,0,199,53,23,5,10,21,9,11,13,20,4,22,8,0,1324,31,69,58,40,60,51,60,219,62,191,111,24,44,54,31,23,48,17,26,34,71,0,666,46,58,20,36,22,51,56,95,35,20,59,39,63,66,0,547,37,75,69,66,39,42,93,126,0,530,71,42,21,38,33,8,12,65,43,9,16,92,25,55,0,341,13,34,115,25,19,74,27,34,0,1499,44,25,52,36,46,50,58,49,21,34,137,22,20,12,26,28,20,46,17,26,103,80,52,24,49,43,125,65,47,122,20,0,835,70,10,5,158,145,38,100,27,14,27,109,31,37,21,43,0,604,7,132,36,37,82,66,118,5,20,40,12,16,21,12,0
2012,6173,196,0,246,43,27,11,13,22,18,15,17,15,19,13,33,0,1395,36,81,66,43,65,57,68,212,80,215,91,34,30,54,44,27,43,16,29,43,61,0,618,34,38,35,56,17,55,58,98,27,13,44,15,72,56,0,449,34,59,52,47,47,41,82,87,0,397,59,6,24,17,24,9,6,63,65,7,16,14,36,51,0,334,18,31,118,31,22,57,23,34,0,1432,44,12,65,47,78,49,43,64,26,28,110,19,30,28,20,29,25,47,34,17,80,65,46,35,23,69,75,67,43,75,39,0,692,67,8,7,102,110,20,95,31,9,15,77,28,69,5,49,0,414,7,51,27,62,29,49,101,7,16,47,2,7,2,7,0
2013,6549,180,0,283,44,15,20,16,17,21,25,12,13,27,20,53,0,1296,55,59,64,37,52,44,59,176,68,250,81,19,44,41,47,23,39,22,22,26,68,0,581,35,41,42,39,14,34,68,76,17,13,42,20,85,55,0,513,39,51,62,48,42,33,98,140,0,455,62,40,29,29,23,8,7,62,77,11,16,26,24,41,0,439,28,74,118,56,17,96,18,32,0,1691,26,36,85,39,105,24,66,72,36,49,133,61,35,21,26,32,28,31,34,25,136,110,63,41,28,89,68,73,30,51,38,0,661,53,16,5,55,69,28,183,42,4,21,53,23,64,9,36,0,450,6,57,28,52,59,35,98,7,13,69,8,4,6,8,0
2014,7139,244,66,276,56,26,12,29,23,10,15,17,12,17,19,40,0,1550,52,53,77,55,81,72,56,214,66,245,76,35,60,88,41,45,51,23,30,50,80,0,656,45,57,40,23,34,74,50,84,25,18,66,21,59,60,0,574,35,81,55,56,56,,112,142,37,552,128,42,28,24,29,8,17,59,88,9,23,26,29,42,0,415,23,28,123,52,35,90,12,52,0,1457,16,25,99,33,113,27,64,89,36,23,110,27,48,17,15,18,22,22,20,13,118,87,71,21,23,72,63,58,20,61,26,0,911,66,12,15,100,166,27,171,29,10,28,63,28,114,,64,18,504,,68,37,55,110,48,29,9,22,61,6,,33,15,11
2015,8149,284,90,283,52,22,22,24,23,27,25,26,12,10,13,27,0,1877,49,67,65,51,87,94,55,230,96,278,143,54,45,102,62,78,62,33,47,42,137,0,812,50,86,34,52,25,72,70,125,35,22,96,42,33,70,0,669,58,97,86,65,87,,107,114,55,635,135,65,28,18,34,7,,79,119,,26,33,29,49,13,638,32,68,186,83,47,130,35,57,0,1538,19,48,119,60,126,33,52,56,29,35,153,26,37,16,18,26,20,34,22,11,100,66,58,36,14,67,86,39,39,54,39,0,913,74,19,16,92,152,30,153,37,29,32,39,50,118,,61,11,500,,82,52,45,73,54,53,,19,47,11,13,23,17,11
2016,8621,374,93,471,68,18,33,24,33,45,39,52,24,25,42,68,0,1833,75,47,37,63,87,70,58,238,129,329,136,46,59,28,76,74,54,13,46,74,94,0,848,50,68,30,56,52,118,58,124,35,30,115,30,26,56,0,760,79,118,119,73,79,,114,130,48,816,166,78,57,25,59,,16,114,130,,43,50,42,25,11,637,36,51,161,104,85,85,19,62,34,1294,29,61,39,56,61,20,46,47,31,36,73,32,35,17,7,29,21,23,31,9,91,63,66,32,18,67,65,62,30,49,48,0,1022,87,66,79,109,129,15,154,27,32,59,25,63,97,14,66,0,566,11,64,67,69,86,26,78,21,18,57,16,16,17,20,0
2017,7545,346,43,523,100,27,43,29,43,54,40,38,19,32,34,64,0,1492,64,56,39,11,80,90,50,259,85,255,90,17,16,43,50,27,14,12,44,89,101,0,683,39,39,38,24,45,137,68,89,12,14,91,17,27,43,0,633,47,80,93,92,63,,139,76,43,606,120,30,49,12,31,18,21,137,74,8,38,34,14,20,0,564,81,40,99,119,58,98,9,60,0,1472,57,46,76,42,107,10,41,44,42,34,148,15,29,19,33,29,25,17,17,13,104,97,61,61,10,69,27,51,74,30,44,0,652,48,35,65,28,98,10,84,16,24,50,25,62,41,10,56,0,574,6,62,89,71,90,37,58,18,22,41,13,16,22,29,0
2018,7258,308,25,545,95,15,40,30,45,55,40,60,15,30,40,80,0,1380,50,80,40,20,65,70,55,230,90,170,65,20,10,50,75,20,15,15,40,100,100,0,700,30,85,40,55,50,90,55,110,10,20,65,15,25,50,0,690,50,110,105,95,60,45,135,90,0,710,135,55,40,15,70,15,20,105,95,10,35,40,40,35,0,600,75,25,140,160,65,80,10,45,0,1090,,25,85,50,75,10,30,55,20,30,110,20,20,25,,25,25,10,20,15,65,60,55,10,10,70,25,60,,25,35,25,665,45,50,80,50,110,15,50,20,10,45,15,55,70,,50,0,570,10,60,100,55,60,25,45,25,15,65,35,15,20,40,0
