year,Cleveland,Durham,Northumbria,Cheshire,Cumbria,Greater Manchester,Lancashire,Merseyside,Humberside,North Yorkshire,South Yorkshire,West Yorkshire,Derbyshire,Leicestershire,Lincolnshire,Northamptonshire,Nottinghamshire,Staffordshire,Warwickshire,West Mercia,West Midlands,Bedfordshire,Cambridgeshire,Essex,Hertfordshire,Norfolk,Suffolk,City of London,Metropolitan Police,Hampshire,Kent,Surrey,Sussex,Thames Valley,Avon and Somerset,Devon and Cornwall,Dorset,Gloucestershire,Wiltshire,British Transport Police
2009,37.32,24.85,33.35,33.4,17.37,107.39,58.02,65.02,40.41,28.52,48.95,57.93,32.43,47.63,23.95,57.94,77.35,41.85,41.13,28.14,137.02,76.26,51.2,42.83,16.14,15.36,27.85,347.97,163.94,31.67,32.62,11.67,46.02,58.41,59.16,23.88,22.45,30.65,29.8,346
2010,40.85,19.17,28.33,26.93,19.59,88.7,43.23,58,39.01,26.07,42.84,59.25,31.23,40.84,24.73,49.27,61.81,40.18,28.85,26.13,118.59,64.08,45.19,39.53,11.56,23.57,24.59,136.28,165.9,30.85,21.99,4.44,42.66,57.07,49.67,24.07,23.85,26.43,23.19,241
2011,39.11,25.22,27.53,25.86,27.01,75.74,46.33,43.02,41.72,23.03,36.69,59.08,35.7,42.03,23.64,48.13,45.01,33.42,30.19,34.88,110.16,64.33,36.07,30.77,24.02,18.15,24.52,215.87,173.2,23.82,20.04,5.73,21.5,54.62,34.71,23.33,23.48,33.76,21.49,223
2012,35.63,24.85,26.19,22.67,19.43,64.12,45.86,43.78,41.58,22.66,36.53,50.48,23.43,43.2,19.88,56.12,42.93,29.77,29.36,29.98,81.29,62.29,29.29,19.52,22.23,12.83,26.47,226.86,181.58,21.3,21.28,2.88,21.51,46.1,30.26,20.44,20.67,32.21,17.86,87
2013,34.82,22.84,21.9,19.7,20.06,58.48,40.06,41.78,41.76,12.77,34.74,48.96,28.5,46.64,23.88,40.39,41.17,32.25,22.38,25.39,53.99,45.2,30.96,26.21,15.69,8.85,24.6,149.23,143.91,18.85,24.49,2.43,20.11,38.15,28.5,11.76,19.24,26.07,14.55,93
2014,35.64,21.01,24.2,23.27,20.87,59.85,43.78,47.43,35.07,17.94,40.19,50.67,33.89,42.55,21.04,44.72,46.73,37,13.94,21.46,59.13,40.03,26.64,29.63,19.84,9.69,23.84,309.5,125.69,16.61,28.33,3.69,16.59,32.75,22.9,17.64,19.27,25.01,16.7,72
2015,50.51,19.03,29.72,20.3,19.86,63.8,40.15,47.95,42.8,21.8,39.7,54.13,28.93,38.64,23.06,42.23,43.28,40.4,24.86,25.89,55,45.07,37.84,35.41,29.35,10.29,21.8,119.64,119.17,23.65,29.36,7.08,19.67,17.09,23.84,18.6,20.46,31.25,18.98,86
2016,61.28,25.95,36.43,23.54,24.06,64.4,41.85,50.67,53.21,26.95,44.39,65.36,34.13,37.05,28.33,47.38,45.6,45.98,30.41,35.21,71.21,47.47,44.69,43.22,35.96,16.37,27.82,179.41,118.53,29.86,31.25,5.42,16.99,36.5,28.88,16.79,20.72,30.49,23.21,94
2017,64.82,27.78,31.82,26.09,24.08,59.13,54.75,56.53,47.21,25.74,63.3,83.7,38.61,45.97,24.63,56.26,57.31,53.28,38.08,36.93,82.63,71.77,47.57,54.49,48.61,35.4,32.37,222.11,145.92,33.05,36.84,4.39,17.25,47.9,30.32,24.41,31.79,39.96,36.01,56
2018,79.62,41.67,21.49,35.68,30.47,69.44,57.8,66.41,62.76,27.41,71.85,106.41,46.9,66.32,30.56,60.46,63.07,59.86,44.13,35.25,97.72,74.25,62.75,38.41,43.15,24.34,19.25,298.64,176.2,43.71,42.95,4.87,17.49,57.3,33.3,22.58,27.19,41.83,37.08,97
2019,77.89,31.11,65.03,35.48,33.71,129.34,77.22,99.1,71.94,36.59,74.06,115.91,58.15,78.29,35.41,71.64,78.02,59.85,48.18,41.96,118.32,88.78,44.85,39.22,46.57,31.28,29.19,,168.33,41.09,52.12,39.15,58.48,63.3,52.21,25.16,32.44,47.29,39.92,
2020,91.77,26.04,54.58,37.86,40.69,,75.89,100.07,68.99,40.15,69.43,103.61,79.56,81.14,45.65,85.34,66.63,52.78,57.62,57.17,86.36,96.81,66.27,61.06,61.89,48.91,42.71,,178.63,38.37,39.48,38.15,72.95,66.08,55.57,28.77,35.35,50.51,39.58,
