year,Cleveland,Durham,Northumberland,Cheshire,Cumbria,Greater Manchester,Lancashire,Merseyside,Humberside,North Yorkshire,South Yorkshire,West Yorkshire,Derbyshire,Leicestershire,Lincolnshire,Northamptonshire,Nottinghamshire,Staffordshire,Warwickshire,West Mercia,West Midlands,Bedfordshire,Cambridgeshire,Essex,Hertfordshire,Norfolk,Suffolk,"London, City of",Metropolitan Police,Hampshire,Kent,Surrey,Sussex,Thames Valley,Avon and Somerset,Devon and Cornwall,Dorset,Gloucestershire,Wiltshire,British Transport Police,
2009,207,152,470,341,87,2835,843,892,369,225,648,1273,327,476,169,396,940,455,223,341,3682,458,402,730,177,130,200,26,12233,592,553,130,728,1221,935,395,164,181,200,346,
2010,227,118,401,276,98,2361,630,798,357,207,571,1311,317,412,176,339,757,439,157,318,3216,390,360,679,128,201,178,10,12560,582,377,50,681,1206,790,400,176,157,157,241,
2011,218,156,391,266,135,2034,677,594,383,184,493,1316,364,428,169,334,555,367,165,427,3018,397,291,532,269,156,179,16,13341,453,347,65,346,1165,556,390,175,202,147,223,
2012,199,154,373,234,97,1732,672,607,383,182,494,1131,240,443,143,393,533,328,161,369,2245,389,238,340,251,111,194,15,14159,408,372,33,349,992,489,344,155,194,123,87,
2013,195,142,313,204,100,1587,588,580,385,103,472,1102,293,482,173,285,515,357,123,314,1502,286,253,460,179,77,181,9,11364,363,432,28,329,828,465,199,145,158,101,93,
2014,200,131,347,242,104,1634,644,661,324,145,549,1146,350,444,154,319,589,411,77,267,1659,257,220,526,229,85,177,19,10064,322,505,43,274,718,377,301,146,153,117,72,
2015,284,119,427,212,99,1757,593,672,396,177,546,1233,300,408,170,305,550,450,138,324,1559,294,316,634,342,91,163,8,9680,462,528,83,328,378,397,320,156,193,134,86,
2016,346,163,526,247,120,1791,621,715,494,220,615,1500,356,396,211,347,585,515,170,444,2044,314,376,781,423,146,209,13,9738,588,568,64,286,815,486,291,159,190,165,94,
2017,367,175,461,275,120,1655,816,801,439,211,882,1931,405,498,185,417,742,600,215,470,2394,477,403,992,574,318,245,17,12061,654,675,52,292,1075,514,427,245,251,258,56,
2018,452,264,313,378,152,1953,866,945,585,226,1008,2469,494,725,231,452,822,677,252,452,2850,497,535,704,511,220,146,26,14695,868,793,58,298,1294,570,398,210,265,267,97,
