year,England,North East,North West,Yorkshire and the Humber,East Midlands,West Midlands,East of England,London,South East,South West,British Transport Police
2009,35152.00,829.00,4998.00,2515.00,2308.00,4701.00,2097.00,12259.00,3224.00,1875.00,346.00
2010,32799.00,746.00,4163.00,2446.00,2001.00,4130.00,1936.00,12570.00,2896.00,1680.00,241.00
2011,31924.00,765.00,3706.00,2376.00,1850.00,3977.00,1824.00,13357.00,2376.00,1470.00,223.00
2012,30356.00,726.00,3342.00,2190.00,1752.00,3103.00,1523.00,14174.00,2154.00,1305.00,87.00
2013,25765.00,650.00,3059.00,2062.00,1748.00,2296.00,1436.00,11373.00,1980.00,1068.00,93.00
2014,25002.00,678.00,3285.00,2164.00,1856.00,2414.00,1494.00,10083.00,1862.00,1094.00,72.00
2015,25312.00,830.00,3333.00,2352.00,1733.00,2471.00,1840.00,9688.00,1779.00,1200.00,86.00
2016,28132.00,1035.00,3494.00,2829.00,1895.00,3173.00,2249.00,9751.00,2321.00,1291.00,94.00
2017,33645.00,1003.00,3667.00,3463.00,2247.00,3679.00,3009.00,12078.00,2748.00,1695.00,56.00
2018,39018.00,1029.00,4294.00,4288.00,2724.00,4231.00,2613.00,14721.00,3311.00,1710.00,97.00
