Police Force, Cocaine , Crack , Ecstasy , Heroin , LSD , Methadone , Morphine , Herbal Cannabis , Cannabis Resin , Cannabis Plants ,Amphetamines,Barbiturates , Anabolic steroids , Benzodiazepines , GHB , Ketamine , Temazepam 
Cleveland,2.23408,0.36416,2.90517,5.72246,0.00000,1.50450,0.00000,43.99717,1.76697,4008.00000,3.02979,0.00000,0.46300,2.92270,0.00000,0.01730,16.64700
Durham,2.35125,0.00231,0.30600,0.23570,0.00400,0.67700,0.41400,15.19133,1.50366,3839.00000,7.29848,0.00000,0.60170,3.66570,0.00000,0.00300,19.39800
Northumbria,36.78221,0.19998,5.17399,4.22563,0.01000,1.82100,0.22700,121.66702,24.40047,13231.00000,33.56159,0.00000,0.54200,20.96100,0.00500,0.04680,0.40950
Cheshire,0.55177,0.03192,1.49000,0.05365,0.00000,0.00000,0.00000,2.02851,1.48091,1612.00000,0.00416,0.00000,0.12000,0.12000,0.00000,0.00148,0.00000
Cumbria,4.14554,0.05972,0.50000,4.88532,0.00500,0.74275,0.09900,8.63052,21.76795,1495.00000,19.29308,0.00000,1.00000,46.96680,0.00000,0.02573,0.30400
Greater Manchester,58.79533,0.49703,8.05611,90.73842,0.03100,1.03100,0.01600,217.56004,131.11070,51052.00000,42.94764,0.00000,1.48800,4.73400,0.35448,0.02627,0.07200
Lancashire,21.06216,0.18974,2.17900,4.02364,0.00000,0.27100,0.01200,19.89374,26.40905,8680.00000,79.43276,0.00000,0.01200,1.64900,0.00000,0.00494,0.11100
Merseyside,25.94015,1.24591,7.19745,9.51479,0.00000,0.29637,0.18265,145.36619,39.44219,1579.00000,39.66991,0.00000,1.40688,0.52144,0.00350,0.34488,0.00000
Humberside,4.48674,0.10280,0.27289,3.54213,0.00000,0.51007,0.04219,24.38217,8.85722,6709.00000,7.95593,0.00000,0.82034,13.60732,0.00000,0.85497,0.02000
North Yorkshire,0.19999,0.06531,0.10484,0.36819,0.00000,0.24300,0.00000,9.56372,0.15346,6594.00000,0.28999,0.00000,0.00550,2.90463,0.00000,0.18021,0.00000
