Police Force, Cocaine , Crack , Ecstasy , Heroin , LSD , Methadone , Morphine , Herbal Cannabis , Cannabis Resin , Cannabis Plants ,Amphetamines,Barbiturates , Ketamine ,"Anabolic 
steroids", Benzodiazepines , GHB , Temazepam 
Cleveland,4.11864,0.78614,0.08222,11.80669,0.00000,2.07500,0.00200,26.70079,0.77128,3233.00000,13.68367,0.00000,0.00000,8.43449,6.65890,0.00000,0.30300
Durham,0.90071,0.00100,1.85340,1.13613,0.05800,0.26256,0.45000,24.95321,0.43158,4210.00000,1.05397,0.00000,0.00061,0.95150,2.95100,0.00000,0.26000
Northumbria,22.97001,0.17447,48.42396,3.22972,0.00000,1.99100,0.13900,37.63977,16.15454,17054.00000,28.55387,0.00000,0.61332,0.16300,16.62125,0.00000,0.13900
Cheshire,0.21954,0.08324,2.60529,1.04707,0.00700,0.00400,0.00000,2.08412,1.18852,174.00000,0.02504,0.00000,0.06039,0.15600,0.68550,0.04300,0.00000
Cumbria,10.69878,0.14034,13.97600,1.72962,0.02200,0.27000,0.01000,19.96091,0.82673,415.00000,19.58569,0.00000,0.00165,0.17200,6.61465,0.00000,0.00800
Greater Manchester,115.12755,1.12058,11.39888,41.88956,0.03900,0.17401,0.26000,402.24096,10.30575,35080.00000,13.75837,0.00000,0.25532,21.06634,1.26600,0.02220,0.03500
Lancashire,1.79249,0.34431,0.13372,30.52076,0.00000,0.10000,0.30200,30.60634,56.92946,3803.00000,16.05342,0.00000,0.00148,0.01000,0.26800,0.00000,0.08400
Merseyside,3.65630,0.17751,0.06600,22.77203,0.00100,0.17400,0.00000,40.84487,7.57976,24387.00000,7.38764,0.00000,0.42204,1.44122,24.36545,0.00000,0.00000
Humberside,1.00007,0.26090,0.31220,1.27632,0.00000,0.15209,0.39000,19.50617,0.39815,2661.00000,13.84137,0.00000,0.00101,0.27982,19.57383,0.00000,0.00000
North Yorkshire,0.19026,0.00065,0.04104,1.02026,0.00000,0.00200,0.00400,5.30473,0.12396,1217.00000,0.03008,0.00000,0.00197,12.39000,0.36700,0.00009,0.00500
South Yorkshire,13.89779,1.01671,3.71458,33.92742,0.00000,1.58900,0.39600,308.75246,15.77434,20887.00000,20.15444,0.00000,0.27770,110.68189,1.83800,0.00000,0.04100
West Yorkshire,0.36032,0.13313,0.40300,6.33779,0.00400,0.37000,0.00000,24.86876,1.29465,12375.00000,0.13529,0.00000,0.00394,0.27200,0.49600,0.00000,0.01900
Derbyshire,7.37286,0.16705,6.99900,0.93373,0.52700,0.53130,1.43900,159.85463,0.87615,12151.00000,9.82270,0.00000,0.00688,83.11207,1.79280,0.48960,0.01205
Leicestershire,2.00000,1.00000,0.17400,2.00000,0.01900,0.79400,0.05200,82.00000,1.00000,2670.00000,1.00000,0.00000,0.00000,0.76700,0.32200,0.00000,0.00100
Lincolnshire,1.89501,0.07919,1.52332,0.50868,0.00000,0.08200,0.06010,0.91623,4.55946,172.00000,2.26615,0.00000,0.28877,0.40203,0.11280,0.00000,0.00000
Northamptonshire,0.11014,0.02778,0.07500,0.13118,0.08700,0.53600,0.15000,43.45217,0.85959,6867.00000,0.05571,0.00000,0.00100,0.15900,1.90100,0.00000,0.00100
Nottinghamshire,8.89881,0.63071,49.01456,13.39567,0.00300,0.34750,0.20300,191.31977,1.46398,11726.00000,18.69870,0.00000,0.00865,15.41556,2.68400,0.00200,0.00000
Staffordshire,10.54655,0.61116,2.35170,10.83345,0.00100,1.11100,0.07100,26.11512,78.32920,6249.00000,99.11057,0.00000,0.00591,187.42902,3.00400,0.05680,0.00000
Warwickshire,0.15684,0.07872,0.08700,2.07659,0.83700,2.00600,0.00200,6.50504,0.15096,736.00000,0.02341,0.00000,0.00049,0.04200,0.03600,0.00000,0.01000
West Mercia,0.57959,0.18038,0.27300,0.65308,0.01200,12.67500,0.53200,20.09107,1.14150,2775.00000,0.24196,0.00000,0.00344,0.59032,0.99200,0.00020,0.00600
West Midlands,2.31031,0.70135,0.72809,0.67021,0.00200,0.32100,0.53100,85.39816,3.10590,36081.00000,0.26189,0.08600,0.00295,0.29300,0.35600,0.00000,0.00400
Bedfordshire,2.00000,0.00000,0.02900,0.00000,0.00600,0.12500,0.00100,8.00000,3.00000,302.00000,0.00000,0.00000,0.00000,0.00800,0.02300,0.00000,0.00000
Cambridgeshire,0.23953,0.05690,1.05318,0.16191,0.08600,0.23600,0.00000,26.34156,7.85815,5371.00000,3.16791,0.00000,0.08795,0.21300,1.00800,0.00000,0.00000
Essex,7.00000,1.00000,1.70200,2.00000,0.00000,0.16700,0.00300,50.00000,160.00000,55154.00000,4.00000,0.00000,0.00000,0.11600,0.01700,0.00000,0.00000
Hertfordshire,43.23786,0.00107,0.14100,0.33868,0.00000,0.00100,0.00000,48.62306,0.09436,2852.00000,36.25855,0.00000,0.00000,0.00000,0.01000,0.00000,0.00000
Norfolk,1.89374,0.56457,0.18575,1.30632,0.00400,1.49027,0.03550,36.51770,0.80869,4905.00000,0.17416,0.00000,0.07581,0.01813,0.34908,0.00000,0.00000
Suffolk,0.09550,0.34086,0.16160,0.10700,0.00200,0.17500,0.09600,17.84300,0.30813,4025.00000,0.18872,0.00000,0.00807,0.00000,0.09800,0.00000,0.00000
"London, City of",1.49964,0.00000,0.19514,0.00088,0.00000,0.00000,0.00000,1.47813,0.08492,23.00000,0.56517,0.00000,0.00364,0.00000,0.00500,0.00000,0.00000
Metropolitan Police,330.85741,23.46418,56.82217,55.70172,0.19700,4.92700,0.00200,798.28915,166.32290,31998.00000,3.46155,0.01000,0.38792,0.28200,2.02786,0.14553,0.00000
Hampshire,4.71798,0.59772,3.24800,1.05406,0.05900,0.28400,0.09900,247.20894,13.44466,27999.00000,0.00000,0.00000,0.10595,0.47157,0.61400,0.00000,0.00600
Kent,6.29464,0.17269,2.48240,0.36816,0.00300,0.00700,0.00300,22.78049,2.39139,4058.00000,1.48011,0.00000,0.00190,0.00200,0.00300,0.00000,0.00000
Surrey,0.62663,0.07024,0.29028,0.30448,0.00000,0.12097,0.00000,9.42713,0.76864,102.00000,0.06012,0.00000,0.00915,0.08650,0.99026,0.00000,0.00300
Sussex,62.20954,1.55099,17.38624,5.39795,0.07300,1.01122,0.52700,99.64562,23.59921,12326.00000,7.71420,0.00000,0.59573,1.36517,13.89050,0.00960,0.13900
Thames Valley,0.00000,1.57643,1.92600,2.54066,0.02800,0.06500,0.15000,46.72875,2.09557,3323.00000,0.00070,0.00000,4.07498,0.00100,5.25700,0.00000,0.01000
Avon & Somerset,10.02747,1.32853,8.61716,3.19675,0.01900,1.02320,0.26600,86.04345,40.08206,7847.00000,23.79576,0.00000,0.75649,27.10197,3.36430,0.00000,0.06200
Devon & Cornwall,1.21007,1.00568,2.77189,4.01797,0.00000,8.67000,0.15900,87.74160,10.94677,4189.00000,5.48824,0.00000,0.03292,0.00000,7.58900,0.00000,0.04700
