,Avon and Somerset,Bedfordshire,British Transport Police,Cambridgeshire,Central Service secondments,Cheshire,City of London,Cleveland,Cumbria,Derbyshire,Devon and Cornwall,Dorset,Durham,Essex,Gloucestershire,Greater Manchester,Hampshire,Hertfordshire,Humberside,Kent,Lancashire,Leicestershire,Lincolnshire,"London, City of",Merseyside,Metropolitan Police,Norfolk,North Yorkshire,Northamptonshire,Northumbria,Nottinghamshire,South Yorkshire,Staffordshire,Suffolk,Surrey,Sussex,Thames Valley,Warwickshire,West Mercia,West Midlands,West Yorkshire,Wiltshire,year
0,212.32,207.11,,184.63,,213.56,,316.63,256.47,211.91,214.92,206.92,259.63,204.42,232.27,311.83,203.88,198.07,231.13,224.04,258.32,236.49,174.24,,327.61,437.03,197.14,185.06,194.06,291.74,198.17,230.63,203.34,179.76,168.13,202.01,206.52,183.26,203.93,321.4,266.38,183.14,100000.0
1,208.67,204.99,,182.41,,211.02,,312.03,252.36,207.27,214.13,202.65,251.21,207.39,225.85,308.57,200.16,194.76,227.23,222.46,254.69,232.09,170.79,,327.6,437.44,195.88,185.28,194.51,292.49,196.72,225.21,199.8,175.61,166.07,201.4,207.74,181.58,200.12,319.05,262.33,177.88,100000.0
2,203.44,199.99,,178.08,,206.8,,303.4,242.62,201.74,209.75,197.54,237.18,208.61,215.35,296.84,194.68,186.65,218.26,215.56,242.85,222.14,168.1,,319.32,427.16,189.7,183.39,191.45,291.77,192.15,218.72,192.89,171.76,165.55,196.66,206.63,173.26,189.13,307.33,253.92,166.58,100000.0
3,193.03,189.89,,169.8,,197.99,,283.68,231.07,187.41,197.55,188.98,224.86,200.57,205.16,283.13,186.0,178.21,206.63,204.86,230.53,212.27,163.06,,302.28,411.39,181.7,178.17,180.98,281.69,179.93,209.35,182.78,165.1,169.57,186.56,202.61,160.61,179.56,289.26,239.82,156.13,100000.0
4,181.23,177.89,,167.6,,194.78,,266.82,225.6,177.31,186.15,177.58,219.3,190.9,199.36,270.54,178.06,172.58,197.34,193.18,221.63,204.35,156.65,,287.85,396.68,176.77,172.13,175.8,268.8,170.28,203.98,170.91,160.58,171.12,177.31,199.74,150.19,172.74,277.14,227.73,152.21,100000.0
5,172.04,163.82,,165.78,,188.92,,254.01,227.19,174.87,180.18,166.11,212.11,183.02,195.05,259.67,171.48,168.37,187.41,183.67,212.77,197.81,150.74,,281.17,382.83,177.61,171.2,175.14,258.6,168.8,201.19,160.82,162.58,167.62,171.22,197.75,144.98,163.13,265.61,218.94,148.17,100000.0
6,164.84,162.15,,163.11,,184.32,,240.09,230.91,174.3,179.02,161.72,195.28,174.08,190.25,248.65,161.54,164.08,178.54,179.56,201.76,188.91,148.81,,276.63,387.34,177.85,172.7,171.25,248.28,166.97,193.4,153.4,159.01,161.67,168.09,197.57,145.13,157.03,253.73,210.81,144.61,100000.0
7,160.15,163.41,,161.21,,188.56,,230.2,226.55,174.2,174.13,162.19,182.6,164.7,180.55,233.55,150.92,162.46,170.71,174.49,195.93,178.31,145.67,,260.18,388.66,173.47,166.66,167.55,237.23,158.77,183.32,150.54,148.17,159.64,162.32,193.39,150.16,163.33,245.25,200.97,141.63,100000.0
8,158.17,163.96,,158.71,,190.64,,226.1,222.81,165.07,167.45,160.41,179.06,155.97,172.22,224.55,146.16,163.43,170.8,175.26,190.02,167.87,142.97,,250.64,384.83,168.25,165.23,162.4,227.53,146.85,177.93,144.93,145.63,163.65,154.02,186.27,149.01,163.11,236.77,199.07,138.56,100000.0
9,153.74,168.62,,158.78,,189.32,,223.91,221.44,164.17,166.34,164.25,180.12,157.02,169.21,224.04,144.22,164.49,182.39,176.46,192.86,163.19,144.32,,245.3,370.82,169.39,163.63,159.63,222.14,143.14,176.16,141.78,146.09,167.78,150.37,180.67,143.9,157.2,227.12,209.19,136.24,100000.0
10,153.48,169.97,,165.54,,188.43,,215.51,228.57,164.83,168.0,159.85,177.97,162.25,168.3,225.5,138.45,166.55,199.0,181.84,193.27,162.73,144.52,,239.05,361.39,174.97,164.24,159.98,213.95,147.93,170.85,139.75,150.83,161.7,151.02,180.09,139.83,151.87,223.48,218.14,137.19,100000.0
