year,Cleveland,Durham,Northumbria,Cheshire,Cumbria,Greater Manchester,Lancashire,Merseyside,Humberside,North Yorkshire,South Yorkshire,West Yorkshire,Derbyshire,Leicestershire,Lincolnshire,Northamptonshire,Nottinghamshire,Staffordshire,Warwickshire,West Mercia,West Midlands,Bedfordshire,Cambridgeshire,Essex,Hertfordshire,Norfolk,Suffolk,"London, City of",Metropolitan Police,Hampshire,Kent,Surrey,Sussex,Thames Valley,Avon and Somerset,Devon and Cornwall,Dorset,Gloucestershire,Wiltshire,Central Service secondments,British Transport Police
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,19.25,40.5,41.01,15.39,23.14,58.96,54.98,11.83,27.42,13.19,50.37,47.95,31.31,23.26,12.19,10.48,1.25,25.22,13.29,40.69,36.82,4.43,16.72,67.56,23.9,9.84,23.18,23.09,438.7,31.97,37.84,21.48,20.12,63.58,32.03,3.84,13.78,31.52,24.14,13.34,25.76
2011,34.83,38.04,42.31,41.78,29.66,178.37,100.63,109.78,52.78,18.03,45.85,111.86,31.59,52.97,4.86,19.43,45.7,41.31,26.96,70.68,245.15,17.35,37.12,31.17,40.79,32.12,15.66,14.96,462.84,44.93,60.24,13.59,56.72,29.92,45.92,62.19,17.75,24.27,40.85,18.79,22.73
2012,64.46,34.75,90.79,34.08,27.45,146.41,63.81,106.98,48.03,28.27,58.34,158.88,101.03,34.77,29.7,36.43,77.41,65.53,37.67,35.86,161.4,28.63,16.83,84.09,32.63,25.55,34.73,23.89,395.56,115.22,84.71,47.99,71.94,13.85,85.88,106.18,37.49,26.84,21.68,26.47,38.3
2013,33,1.83,85.73,7.51,3.51,149.08,63.12,86.99,43.67,16.64,3.74,82.83,4.25,27.18,6.48,24.66,36.72,59.35,19.47,52.01,107.3,32.67,18.94,51.22,15.47,12.39,11.22,28.5,876.1,28.74,87.81,5.79,56.16,17.42,83.15,71.79,38.45,9.67,6.2,56.84,54.34
2014,41,37.08,55.24,44.54,15.75,103.89,64.38,32.29,35.96,20.62,23.38,103.47,19.59,23.21,23.49,15.93,31.57,51.98,4.59,60.84,163.64,37.09,15.76,58.31,14.53,20.4,16.45,14.6,267.51,75.03,46.72,16.51,20.93,11.82,37.19,25.15,41.7,5.46,15.62,34.09,140.55
2015,28.89,60.87,69.29,27.84,8.93,147.23,83.06,80.23,44.69,6.56,68.25,54.62,49.02,45.09,5.63,6.48,31.45,22.87,20.42,49.43,83.95,34.25,8.01,68.67,13.83,7.12,39.67,3.55,483.9,91.71,39.92,38.64,7.68,28.4,48.75,14.88,33.76,11.64,6.52,82.51,20.09
2016,36.05,28.32,89.28,29.83,12.58,203.02,42.57,119.95,27.2,29.66,46.31,125.01,48.69,47.78,13.78,12.02,64.19,27,13.9,39.6,94.52,7.26,6.79,88.37,17.24,28.69,30.72,18.66,172.73,90.39,24.73,45.36,72.42,64.32,10.71,54.8,24.94,37.69,17.91,24.39,98.57
2017,20.36,14.76,36.82,1.74,7.93,41.19,39.54,11.93,49.7,20.04,17.41,113.92,30.11,35.55,12.61,14.08,68.44,24.89,10.19,19.03,95.52,26.64,4.94,47.45,21.77,5.61,15.78,9.3,304.79,8.01,41.43,45.46,51.33,76.22,12.55,26.57,25.79,12.79,23.11,66.01,164.53
2018,12.74,2.97,57.7,16.07,8.94,57.87,68.91,44.31,82.23,28.81,12.17,148.8,16.59,16.14,6.74,19.27,44.76,19.18,14.46,40.54,116.77,8.82,26.46,71.88,6.96,23.43,16.51,10.79,565.54,30.49,3.31,11.7,21.67,14.57,35.42,24.03,6.79,16.82,14.22,20.98,174.99
2019,29.65,13.44,46.98,9.13,42.4,47.48,46.22,28.33,53.99,14.02,46.2,65.08,16.81,33.81,15.63,15.47,25.52,18.94,8.03,35.24,44.83,16.75,31.95,64.72,28.44,27.08,22.65,22.69,161.34,70.38,151.73,56.44,40.35,54.87,39.94,20.53,22.77,1.02,4.29,43.81,127.27
