year,Cleveland,Durham,Northumbria,Cheshire,Cumbria,Greater Manchester,Lancashire,Merseyside,Humberside,North Yorkshire,South Yorkshire,West Yorkshire,Derbyshire,Leicestershire,Lincolnshire,Northamptonshire,Nottinghamshire,Staffordshire,Warwickshire,West Mercia,West Midlands,Bedfordshire,Cambridgeshire,Essex,Hertfordshire,Norfolk,Suffolk,"London, City of",Metropolitan Police,Hampshire,Kent,Surrey,Sussex,Thames Valley,Avon and Somerset,Devon and Cornwall,Dorset,Gloucestershire,Wiltshire,Central Service secondments,British Transport Police
2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,3.46,6.58,2.9,1.5,4.63,2.22,3.77,0.86,3.0,1.66,3.78,2.17,3.08,2.31,1.71,1.52,0.1,2.31,2.44,3.34,1.36,0.73,2.1,3.93,2.16,1.15,3.2,314.66,5.79,1.69,2.21,1.91,1.26,3.01,2.01,0.23,1.87,5.31,3.57,0.03,0.05
2011,6.25,6.15,2.98,4.06,5.93,6.64,6.89,7.95,5.75,2.26,3.41,5.02,3.1,5.2,0.68,2.8,3.71,3.76,4.93,5.77,8.95,2.81,4.6,1.8,3.64,3.74,2.14,201.83,6.01,2.36,3.48,1.2,3.52,1.4,2.87,3.72,2.38,4.06,5.97,0.04,0.04
2012,11.54,5.61,6.37,3.3,5.5,5.42,4.35,7.72,5.21,3.52,4.31,7.09,9.86,3.39,4.13,5.2,6.23,5.95,6.87,2.91,5.84,4.58,2.07,4.83,2.89,2.95,4.74,361.31,5.07,6.02,4.85,4.19,4.43,0.64,5.31,6.31,5.0,4.46,3.15,0.05,0.07
2013,5.89,0.29,6.0,0.73,0.7,5.49,4.3,6.27,4.74,2.06,0.28,3.68,0.41,2.63,0.89,3.49,2.94,5.36,3.54,4.21,3.86,5.16,2.32,2.92,1.36,1.42,1.52,472.56,11.09,1.49,4.98,0.5,3.43,0.8,5.1,4.24,5.1,1.6,0.89,0.11,0.1
2014,7.31,5.95,3.85,4.28,3.16,3.81,4.38,2.32,3.89,2.55,1.71,4.57,1.9,2.22,3.21,2.23,2.5,4.68,0.83,4.89,5.83,5.78,1.91,3.28,1.26,2.33,2.22,237.82,3.34,3.87,2.62,1.42,1.27,0.54,2.26,1.47,5.5,0.89,2.23,0.06,0.26
2015,5.14,9.73,4.82,2.67,1.79,5.35,5.62,5.72,4.83,0.81,4.96,2.4,4.73,4.27,0.76,0.9,2.48,2.05,3.68,3.95,2.96,5.25,0.96,3.84,1.19,0.8,5.31,53.09,5.96,4.7,2.22,3.3,0.46,1.28,2.93,0.87,4.43,1.88,0.92,0.15,0.04
2016,6.38,4.51,6.18,2.84,2.52,7.3,2.87,8.5,2.93,3.63,3.34,5.45,4.67,4.47,1.85,1.64,5.0,2.41,2.49,3.14,3.29,1.1,0.81,4.89,1.47,3.22,4.09,257.52,2.1,4.59,1.36,3.84,4.3,2.88,0.64,3.16,3.25,6.05,2.52,0.04,0.18
2017,3.6,2.34,2.54,0.17,1.59,1.47,2.65,0.84,5.34,2.44,1.25,4.94,2.87,3.28,1.68,1.9,5.29,2.21,1.8,1.5,3.3,4.01,0.58,2.61,1.84,0.62,2.08,121.51,3.69,0.4,2.26,3.84,3.03,3.4,0.74,1.52,3.35,2.04,3.23,0.12,0.3
2018,2.24,0.47,3.96,1.52,1.79,2.06,4.6,3.11,8.82,3.49,0.87,6.41,1.58,1.48,0.89,2.58,3.43,1.7,2.53,3.16,4.0,1.32,3.1,3.92,0.59,2.59,2.18,123.94,6.78,1.54,0.18,0.98,1.27,0.65,2.07,1.36,0.88,2.65,1.97,0.04,0.31
2019,5.21,2.11,3.21,0.86,8.48,1.67,3.06,1.98,5.79,1.69,3.28,2.79,1.59,3.07,2.05,2.05,1.95,1.67,1.39,2.73,1.53,2.48,3.73,3.5,2.39,2.98,2.97,233.41,1.92,3.53,8.16,4.72,2.36,2.42,2.32,1.16,2.94,0.16,0.59,0.08,0.23
