,Cocaine,Crack,Heroin,Herbal Cannabis,Cannabis Resin,Amphetamines,Ecstasy,LSD,Methadone,Morphine,Cannabis Plants
Class,A,A,A,B,B,B,A,A,A,A,B
Seizures,17689,5380,10812,139209,18293,7177,2535,95,1067,114,14411
<1g,10877,3561,7576,34192,3629,3287,,,,,
1g-500g,6237,1808,3105,104063,14456,3738,,,,,
500g-1kg,177,3,40,259,50,58,,,,,
1kg-10kg,347,7,72,495,91,76,,,,,
10kg-100kg,35,1,17,149,35,11,,,,,
>100kg,3,0,1,42,31,1,,,,,
Total kg,2386.95,50.01,731.60,20693.06,27866.30,710.26,,,,,
Average kg,134.94,9.30,67.67,148.65,1523.33,98.96,,,,,
1-50 doses,,,,,,,2373,79,653,90,12359
51-100 doses,,,,,,,72,2,163,7,783
101-500 doses,,,,,,,59,4,216,13,1060
501-1000 doses,,,,,,,5,2,24,4,146
1001-10000 doses,,,,,,,13,4,10,0,62
10000- doses,,,,,,,5,3,1,0,1
Total doses,,,,,,,357.11,4.33,172.42,8.54,729.50
Average doses,,,,,,,140.87,45.58,161.59,74.88,50.62
