,Cocaine,Crack,Heroin,Herbal Cannabis,Cannabis Resin,Amphetamines,Ketamine,Ecstasy,LSD,Methadone,Morphine,Cannabis Plants,Anabolic steroids
Class,A,A,A,B,B,B,B,A,A,A,A,B,C
Seizures,15257,5833,7435,85966,6976,3484,726,3190,145,463,189,7618,949
<1g,9376.90,3353.20,4557.01,17178.85,1081.15,1716.66,348.18,,,,,,
1g-500g,5573.65,2462.52,2785.88,67252.04,5750.77,1637.70,348.80,,,,,,
500g-1kg,73.04,10.18,25.35,563.60,42.83,22.50,1.00,,,,,,
1kg-10kg,178.11,6.10,52.61,795.75,63.90,35.76,8.00,,,,,,
10kg-100kg,47.30,1.00,13.15,116.74,20.35,14.35,4.02,,,,,,
>100kg,5.00,0.00,0.00,18.03,5.00,3.03,0.00,,,,,,
Total kg,3358.58,64.04,494.09,28666.27,7781.18,1592.61,246.52,,,,,,
Average kg,220.13,10.98,66.46,333.46,1115.42,457.12,339.56,,,,,,
1-50 doses,,,,,,,,2577.92,131.73,302.26,141.29,6368.09,381.06
51-100 doses,,,,,,,,214.27,7.18,70.76,17.27,506.98,89.31
101-500 doses,,,,,,,,254.20,6.09,68.74,28.45,653.31,160.44
501-1000 doses,,,,,,,,22.26,0.00,14.15,0.00,63.89,30.08
1001-10000 doses,,,,,,,,13.24,0.00,7.08,0.00,24.73,63.11
10000- doses,,,,,,,,6.11,0.00,0.00,0.00,0.00,9.01
Total doses,,,,,,,,682.86,3.35,53.19,9.26,351881.00,1740.55
Average doses,,,,,,,,214.06,23.11,114.88,48.97,46.19,1834.09
