year,England,North East,North West,Yorkshire and the Humber,East Midlands,West Midlands,East of England,South East,South West,British Transport Police,Central Service secondments
2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,1525.32,100.75999999999999,164.3,138.93,78.49000000000001,116.01999999999998,145.63000000000002,174.99,105.31,25.76,13.34
2011,2432.48,115.18,460.22,228.51999999999998,154.55,384.1,174.21,205.40000000000003,190.98,22.73,18.79
2012,2760.51,190.0,378.73,293.52,279.34000000000003,300.46000000000004,222.46,333.71000000000004,278.07,38.3,26.47
2013,2477.9399999999996,120.56,310.21000000000004,146.88,99.28999999999999,238.13,141.91,195.92000000000002,209.25999999999996,54.34,56.84
2014,1887.86,133.32,260.85,183.43,113.78999999999999,281.04999999999995,162.54,171.01,125.11999999999999,140.55,34.09
2015,2078.3,159.05,347.29,174.12,137.67000000000002,176.67000000000002,171.55,206.35,115.55,20.09,82.51
2016,2087.95,153.65,407.95,228.18,186.45999999999998,175.01999999999998,179.07,297.22,146.04999999999998,98.57,24.39
2017,1675.84,71.94,102.33000000000001,201.07,160.79,149.63,122.19,222.45000000000002,100.80999999999999,164.53,66.01
2018,1941.35,73.41,196.1,272.01,103.5,190.95,154.05999999999997,81.74000000000001,97.28,174.99,20.98
2019,1666.2199999999998,90.07,173.56,179.29000000000002,107.24,107.03999999999999,191.59,373.77,88.55,127.27,43.81
