Police Force, Cocaine , Crack , Ecstasy , Heroin , LSD , Methadone , Morphine , Herbal Cannabis , Cannabis Resin , Cannabis Plants ,Amphetamines,Barbiturates , Anabolic steroids , Benzodiazepines , GHB , Ketamine , Temazepam 
Cleveland,2.25241,0.22182,0.44582,1.30124,0.00000,2.30800,0.43500,18.41496,1.32668,4682.00000,3.87632,0.00000,0.02149,4.75350,0.00000,0.00318,15.15200
Durham,3.51209,0.05842,0.25160,0.21210,0.02300,0.83600,0.23700,21.23548,1.23362,3684.00000,2.90001,0.00000,0.74370,7.70910,0.00000,0.00049,0.23400
Northumbria,4.18337,0.12822,6.29052,1.21098,0.00450,7.10830,0.13410,73.08314,22.76099,15657.00000,14.71428,0.00000,3.24070,17.83452,0.00000,0.07620,0.14800
Cheshire,0.14369,0.01776,0.15900,0.05310,0.00000,0.10000,0.00000,1.62101,4.98071,1451.00000,0.04056,0.00000,0.02700,0.13500,0.00000,0.00514,0.00000
Cumbria,3.91958,0.07540,1.54900,1.74502,0.00200,0.71000,0.03100,12.19094,13.41619,711.00000,49.72029,0.00000,0.20900,29.84600,0.00000,0.00996,1.62900
Greater Manchester,44.66916,0.35230,52.04630,12.69722,0.03700,2.98600,0.00600,242.40868,18.77573,33547.00000,210.26342,0.00000,1.35300,5.42400,0.20105,0.73050,0.01700
Lancashire,7.34928,0.18593,0.19921,5.54998,0.00000,0.24000,0.00000,28.69361,2.75534,7080.00000,2.03457,0.00000,4.24600,2.03300,0.00000,0.04709,0.01500
Merseyside,5.73955,0.18542,0.14228,5.58405,0.00000,0.02450,0.00438,66.09480,5.16167,1151.00000,24.25702,0.00000,0.40900,0.04155,0.00000,0.03960,0.00000
Humberside,3.48589,0.50778,0.66613,3.58010,0.00000,0.23159,0.03600,28.16132,15.38379,6682.00000,48.83365,0.00000,25.71644,66.47923,0.00000,6.62122,0.54500
North Yorkshire,0.61886,0.14395,0.35056,3.63967,0.00000,1.11047,0.01500,22.28701,55.45499,1304.00000,0.39720,0.00000,5.03890,2.76900,0.00000,0.04626,0.01000
