Police Force, Cocaine , Crack , Ecstasy , Heroin , LSD , Methadone , Morphine , Herbal Cannabis , Cannabis Resin , Cannabis Plants ,Amphetamines,Barbiturates , Ketamine ,"Anabolic 
steroids", Benzodiazepines , GHB , Temazepam 
 Cleveland ,6.64228,0.12715,9.53343,18.15050,0.00100,1.71000,0.66100,46.50244,1.14026,10626.00000,8.42573,0.00000,0.01107,0.74050,4.75300,0.00200,0.06000
 Durham ,1.16044,0.10089,0.36600,0.40714,0.03000,1.08100,0.32900,22.26371,0.46700,7564.00000,1.05496,0.00000,0.00050,0.30000,1.61375,0.00000,2.57900
 Northumbria ,9.98233,0.17029,1.97980,3.05331,0.03000,1.09000,0.90700,125.55821,5.74286,14679.00000,64.32090,0.00000,0.02992,3.33000,9.91979,0.00000,0.02300
 Cheshire ,0.34165,0.07349,0.56300,0.08191,0.09100,0.17000,0.30000,8.38472,41.31190,3835.00000,0.07298,0.00000,0.05405,1.38408,0.30900,0.00000,0.00000
 Cumbria ,1.91375,0.24633,1.18700,2.46467,0.02600,0.07100,0.01100,9.65064,1.63697,251.00000,0.71880,0.00000,0.01042,0.21300,5.58300,0.00000,0.21900
 Greater Manchester ,93.02372,1.11800,28.87551,119.51223,0.04100,0.03000,0.00200,302.21202,102.02031,23231.00000,3.00571,0.00000,29.61293,3.27617,66.76640,0.00040,0.80100
 Lancashire ,4.78615,0.13494,0.20500,0.45372,0.00000,0.01000,0.25000,8.62169,0.79893,6080.00000,229.27222,0.00000,0.01443,0.02000,0.67200,0.00000,0.00000
 Merseyside ,9.65803,0.61986,0.00000,3.93988,0.00600,0.27500,0.00000,24.41463,60.71673,24939.00000,21.03969,0.00000,0.02329,1.16138,1.02453,0.00000,0.00000
 Humberside ,0.37555,1.17858,1.02226,0.67648,0.00000,0.02800,0.00200,13.02114,0.29191,2713.00000,1.74142,0.00000,0.00660,1.05398,5.15014,0.00000,0.00200
 North Yorkshire ,0.08622,0.03346,0.16346,0.04331,0.00600,0.01422,0.00000,9.11413,0.21272,4351.00000,0.03202,0.00000,0.00444,0.56769,2.06510,0.00000,0.00000
 South Yorkshire ,10.44441,1.51716,12.98640,7.87890,0.00400,0.87900,0.54700,193.20496,22.84021,13133.00000,1.13533,0.03400,0.13731,2.06200,0.93300,0.00000,0.13500
 West Yorkshire ,0.50943,0.11566,0.44900,0.11279,0.49900,0.12800,0.02600,39.88024,2.23159,11995.00000,0.10859,0.00000,0.04576,1.64800,1.24600,0.20838,0.00200
 Derbyshire ,27.07117,0.47488,5.29760,1.27994,0.02700,3.19400,0.76900,102.93551,0.28626,5289.00000,91.78969,0.00000,99.73193,2.13489,5.46480,0.00008,0.02100
 Leicestershire ,5.35890,0.71138,1.04184,6.16095,0.11100,0.81500,0.36000,90.66565,12.50285,3632.00000,0.39592,0.00000,0.00349,0.97372,0.17740,0.00000,0.00000
 Lincolnshire ,0.60074,0.16545,1.16600,0.55167,0.00000,0.00018,0.11000,0.44379,0.03763,198.00000,1.61588,0.00000,0.05688,0.05600,3.15310,0.00000,0.00600
 Northamptonshire ,0.38944,0.34046,0.29696,0.14686,0.00100,0.00100,0.30100,44.56200,0.93894,2419.00000,0.18178,0.00000,0.09800,0.01400,0.12200,0.00000,0.00100
 Nottinghamshire ,3.22877,0.30344,3.63044,0.31295,0.00000,0.94500,0.20100,52.28620,0.81345,11482.00000,27.63736,0.00000,0.00409,1.98172,9.77850,0.00000,0.00000
 Staffordshire ,4.96386,0.65141,2.90625,1.29954,0.00200,6.66400,0.00785,186.98918,1.56959,17204.00000,29.31716,0.00000,0.04515,1.47391,3.91044,0.00000,0.00500
 Warwickshire ,2.72148,1.94434,22.71900,0.16822,0.00000,0.63500,0.00100,34.02270,18.98050,7960.00000,48.44470,0.00000,0.00148,0.25142,5.30600,0.00000,0.00000
 West Mercia ,1.25263,1.78687,1.19144,0.80627,0.00400,3.25730,0.95100,34.30741,1.04782,6296.00000,0.93235,0.04200,0.04609,25.25740,1.08239,0.00000,0.02300
 West Midlands ,2.32679,1.06886,0.92103,1.92932,0.01500,0.79700,0.03100,54.47501,2.79433,36316.00000,0.05956,0.00100,0.00720,0.29100,5.09620,0.00000,0.02000
 Bedfordshire ,4.30942,0.41577,0.14088,0.28358,0.00100,1.08000,0.00000,29.97068,1.48017,3574.00000,0.09067,0.00000,0.01740,2.53500,0.08710,0.00000,0.00000
 Cambridgeshire ,0.79500,0.20837,1.70797,0.72861,0.35200,0.11800,0.02100,381.67362,6.73168,13481.00000,0.11753,0.00000,0.03000,0.49500,1.11200,0.00000,0.00000
 Essex ,51.15878,1.06037,0.79406,0.76198,0.00600,0.00880,0.13000,42.22605,0.70335,12363.00000,0.78585,0.00000,0.06403,0.04000,0.76065,0.00000,0.00000
 Hertfordshire ,2.79186,0.01938,0.28600,12.48865,0.00000,0.00300,0.00000,27.35732,0.06605,8126.00000,0.09217,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
 Norfolk ,2.81756,0.62727,12.94319,1.77765,0.00000,4.17800,0.30100,40.91194,1.48619,3195.00000,2.58295,0.00000,0.03973,0.18723,1.26254,0.00000,0.07700
 Suffolk ,0.17932,6.24793,0.00500,0.01304,0.00000,0.00000,0.00800,31.18505,1.26556,11777.00000,0.00430,0.00000,0.02211,0.01234,0.22200,0.00000,0.00000
" London, City of ",0.59934,0.00000,0.59724,0.00088,0.00000,0.00000,0.00000,1.23617,0.14097,7.00000,0.05254,0.00000,0.06704,0.25000,0.43100,0.00000,0.00000
 Metropolitan Police ,336.15769,9.23301,32.02903,126.25586,0.13000,1.16100,0.02500,393.14063,208.31018,25697.00000,130.34673,0.00000,0.12635,9.97646,1.77464,0.00880,0.00000
