 Police Force , Cocaine , Crack , Ecstasy , Heroin , LSD , Methadone , Morphine , Herbal Cannabis , Cannabis Resin , Cannabis Plants ,Amphetamines,Barbiturates , Anabolic steroids , Benzodiazepines , GHB , Ketamine , Temazepam 
Cleveland,6.23188,0.73792,3.41600,3.24691,0.00000,4.19100,0.00000,12.99135,24.40248,1.89100,30.57828,0.00000,0.00000,12.60064,0.00000,0.00000,0.20700
Durham,2.43193,0.01161,0.51630,0.40900,0.24600,1.43992,0.07300,11.86580,6.55426,3.67300,1.80679,0.00000,2.29800,5.27470,0.00000,0.03709,0.23200
Northumbria,30.94511,0.04210,1.29405,2.78514,0.07200,20.15463,0.66700,95.94748,84.72888,59.55200,39.93492,0.00000,9.16500,221.32400,0.04000,0.34819,10.96200
Cheshire,1.75315,1.01180,0.40200,3.15952,0.00500,0.01000,0.00000,3.21652,19.80326,1.80000,0.12725,0.00000,0.03700,0.00000,0.00000,0.00446,0.00000
Cumbria,2.05223,0.00431,1.16000,0.46734,0.00100,0.95600,0.03700,5.71061,25.43389,1.06200,21.04043,0.00000,0.00000,1.41700,0.00000,0.00103,0.47000
Greater Manchester,50.46090,18.83446,1.38393,41.16334,0.00800,1.84460,0.02100,185.89951,78.81742,63.15900,17.08060,0.00000,1.65444,9.87971,0.01496,0.67873,0.01900
Lancashire,8.97346,0.54220,0.85700,4.66629,0.00000,0.25000,0.00000,113.31100,66.14766,12.15700,43.41412,0.00000,0.01000,3.30028,0.00279,0.00424,0.11750
Merseyside,2.94777,0.14697,2.27800,0.42048,0.00000,0.05600,0.00400,28.46714,20.36647,7.94000,0.19979,0.00000,0.08000,0.09000,0.00000,0.00492,0.02500
Humberside,5.46053,0.51443,0.80540,11.18423,0.00000,0.46275,0.00000,98.94081,13.26542,23.14800,14.41499,0.00000,1.26100,21.80486,0.00000,0.08842,0.08300
North Yorkshire,1.20048,0.15848,0.17705,2.00189,0.00000,0.06400,0.00000,6.80158,1.04287,3.17500,2.25602,0.00000,0.13900,1.02600,0.00000,0.20523,0.00000
South Yorkshire,2.55334,4.67265,3.64626,8.48029,0.00100,3.31300,0.01000,205.60706,117.43689,33.06100,56.43078,0.05500,3.66900,0.67600,0.09580,0.96346,0.25300
West Yorkshire,0.35608,0.16976,0.53800,0.23630,0.02100,0.14200,0.00000,22.97629,1.41701,15.30100,0.15679,0.00000,0.18700,0.07200,0.00140,0.00148,0.00400
Derbyshire,3.55779,0.24659,6.91850,3.70434,0.00000,8.89000,0.42100,53.30053,3.73591,25.99300,11.01461,0.00000,1.99800,1.66153,3.28380,1.65127,0.04400
Leicestershire,4.77992,0.13945,0.07787,1.94785,0.00200,9.83750,0.00000,29.63552,2.07240,23.50500,45.17039,0.00000,2.13700,1.75022,0.00000,0.02095,0.00900
Lincolnshire,1.11938,0.07261,0.07000,0.85988,0.10900,0.00103,0.01600,20.52253,4.27448,0.53400,3.19168,0.00000,0.00000,0.54422,0.04050,0.40422,0.00600
Northamptonshire,10.97135,0.01579,0.44600,0.89154,0.00000,3.10900,0.01000,139.38092,14.21994,4.96200,3.78787,0.00000,2.69706,1.39978,0.00000,0.00070,0.58800
Nottinghamshire,5.88212,0.98353,2.59300,6.79878,0.00000,0.80500,0.06900,203.03599,1.92319,19.02900,11.65805,0.00200,2.23600,2.97300,0.00000,0.00120,0.00000
Staffordshire,63.49449,0.40265,2.48790,17.56322,0.00000,5.02000,0.10000,51.21598,74.70261,26.50500,29.92009,0.00000,0.41200,2.49625,0.03000,0.03850,0.00600
