Police Force, Cocaine , Crack , Ecstasy , Heroin , LSD , Methadone , Morphine , Herbal Cannabis , Cannabis Resin , Cannabis Plants ,Amphetamines,Barbiturates , Anabolic steroids , Benzodiazepines , GHB , Ketamine , Temazepam 
Cleveland,13.22,0.99,0.11,6.98,0.00,0.71,0.00,16.71,3.75,5201.00,19.64,0.00,0.63,8.28,0.00,0.00,10.66
Durham,0.50,0.01,0.19,0.82,0.85,2.39,0.29,17.62,4.36,5479.00,10.75,0.00,1.00,3.72,0.00,0.01,0.07
Northumbria,8.78,0.00,3.48,11.85,0.73,1.98,0.04,64.74,51.56,11539.00,20.49,0.00,3.24,40.63,0.09,0.03,6.27
Cheshire,0.42,0.04,8.78,0.49,0.00,0.36,0.00,3.76,1.08,2898.00,0.06,0.00,0.00,0.99,0.00,0.00,0.00
Cumbria,2.82,0.07,5.91,6.40,0.01,0.90,0.00,14.41,50.63,1594.00,34.37,0.00,0.12,19.25,0.00,0.01,12.57
Greater Manchester,8.13,1.20,3.55,5.53,0.02,0.64,0.25,189.84,222.15,89011.00,33.17,0.00,0.80,17.46,0.00,0.09,0.03
Lancashire,13.36,0.34,0.76,5.85,0.05,1.49,0.00,17.21,118.71,13548.00,2.75,0.00,0.02,13.09,0.00,0.00,0.06
Merseyside,26.95,0.46,18.53,48.58,0.23,0.26,0.00,107.99,249.35,2380.00,54.65,0.00,4.07,0.59,0.00,0.00,0.00
Humberside,2.16,0.32,0.58,2.60,0.00,7.81,0.00,40.18,6.87,14256.00,8.57,0.00,0.63,16.76,0.00,0.01,3.05
North Yorkshire,0.81,0.07,0.46,0.17,0.00,0.55,0.00,49.24,1.81,2717.00,2.63,0.00,0.09,5.24,0.00,0.07,0.00
South Yorkshire,6.16,0.74,1.01,7.48,0.00,2.62,0.08,269.91,12.99,20354.00,21.35,0.01,2.32,0.26,0.00,1.57,0.26
West Yorkshire,0.41,0.15,0.08,0.21,0.00,0.47,0.00,37.48,1.66,12918.00,0.15,0.00,0.20,0.40,0.00,0.00,0.01
Derbyshire,1.20,0.14,0.38,3.20,0.02,3.87,1.58,86.28,0.48,16039.00,4.38,0.00,3.81,13.62,0.03,0.01,0.70
Leicestershire,1.55,0.62,0.40,5.74,0.00,2.45,0.00,24.95,0.45,16375.00,0.63,0.00,1.36,0.72,0.00,0.02,0.00
Lincolnshire,1.49,0.08,0.01,0.60,0.00,0.02,0.00,6.95,12.13,303.00,5.50,0.00,0.09,0.02,0.00,0.21,0.00
Northamptonshire,6.90,0.11,1.59,0.13,0.00,3.26,0.05,277.71,134.18,15105.00,0.33,0.00,2.07,17.64,0.00,0.25,0.04
Nottinghamshire,3.99,1.44,5.64,0.33,0.00,1.89,0.08,59.58,1.97,1029.00,10.33,0.02,1.96,8.21,0.04,0.59,0.00
Staffordshire,2.05,1.45,0.86,5.43,0.00,1.31,0.00,54.53,277.01,16774.00,1.01,0.00,0.46,28.59,0.00,0.03,0.02
Warwickshire,0.26,0.10,0.52,1.00,0.00,0.31,0.00,7.62,0.47,5290.00,0.03,0.00,0.20,0.01,0.00,0.01,0.00
West Mercia,2.84,0.23,0.10,3.53,0.00,3.09,0.01,165.64,5.21,2401.00,16.59,0.00,1.31,2.87,1.31,0.49,0.05
West Midlands,1.29,0.45,1.58,0.74,0.00,1.45,0.01,111.28,12.54,78795.00,0.11,0.00,51.13,0.18,0.00,0.21,0.06
Bedfordshire,2.01,0.80,0.03,0.79,0.00,0.61,0.00,22.52,0.57,554.00,0.10,0.00,0.03,0.03,0.00,0.43,0.00
Cambridgeshire,4.54,0.56,0.98,0.88,0.44,0.43,0.00,16.90,0.43,6862.00,1.32,0.00,0.10,0.78,0.00,0.04,0.04
Essex,5.19,0.12,0.58,0.16,0.00,0.00,0.00,151.03,426.14,18005.00,1.14,0.00,0.04,0.12,0.00,0.04,0.00
Hertfordshire,13.28,0.21,0.27,0.75,0.04,1.30,0.00,52.95,6.21,11461.00,0.41,0.00,0.00,0.16,0.00,0.00,0.00
Norfolk,1.54,1.32,2.82,6.39,0.00,9.09,0.01,828.64,761.36,4437.00,3.22,0.00,0.77,1.59,0.00,0.48,0.02
Suffolk,175.61,0.19,11.24,0.26,0.00,0.08,0.22,18.49,0.46,4580.00,0.79,0.00,0.20,1.81,0.00,0.28,0.00
"London, City of",0.24,0.00,0.10,0.00,0.00,0.00,0.00,2.77,0.30,14.00,0.25,0.00,0.00,0.83,0.00,0.04,0.00
Metropolitan Police,62.26,12.21,54.66,39.17,0.09,3.90,0.03,671.13,1141.34,76618.00,52.20,0.00,0.91,6.06,0.09,0.40,0.08
Hampshire,3.29,0.30,1.90,1.99,0.01,1.77,0.03,58.63,3.49,8807.00,5.99,0.00,0.50,17.71,0.00,0.44,0.08
Kent,3.52,0.31,0.76,1.26,0.01,0.03,0.00,32.08,3.03,9381.00,4.65,0.00,0.19,0.17,0.00,0.15,0.00
Surrey,2.83,0.25,6.64,0.59,0.02,0.64,0.00,61.34,1.34,6934.00,1.99,0.00,1.12,3.96,0.00,0.07,0.00
Sussex,61.23,1.09,2.91,5.26,0.34,0.94,0.21,147.14,66.65,33046.00,9.18,0.08,1.76,5.28,0.01,0.86,0.63
Thames Valley,17.87,0.73,1.14,1.67,0.01,0.97,0.01,222.51,211.91,20770.00,2.43,0.04,0.44,5.25,0.10,1.10,0.01
Avon and Somerset,13.14,0.99,2.59,8.08,0.05,6.23,1.07,149.43,11.65,23731.00,3.11,0.00,2.92,14.49,0.00,1.77,0.14
Devon and Cornwall,12.64,0.47,3.39,1.00,0.02,16.63,35.34,68.75,5.39,13459.00,128.22,0.00,8.03,27.69,0.00,0.03,0.04
Dorset,1.51,0.16,0.61,0.93,0.00,1.60,0.25,31.91,3.17,6020.00,6.11,0.00,0.66,5.62,0.00,0.10,0.07
Gloucestershire,18.73,0.69,0.30,10.10,0.01,0.06,0.00,38.16,2.90,2572.00,0.47,0.00,0.75,0.49,0.00,0.29,0.00
Wiltshire,9.94,0.67,1.50,0.35,0.48,2.02,0.03,20.11,5.26,4302.00,13.82,0.00,10.12,5.74,0.00,0.01,0.00
British Transport Police,2.29,0.04,3.26,20.05,0.00,0.32,0.01,12.16,6.08,544.00,0.38,0.00,0.09,0.39,0.00,0.04,0.00
Border Force,2932.84,4.03,505.48,1623.22,0.51,,0.08,17702.16,15566.19,0.00,539.80,,912.99,,0.00,68.35,
