Police Force, Cocaine , Crack , Ecstasy , Heroin , LSD , Methadone , Morphine , Herbal Cannabis , Cannabis Resin , Cannabis Plants ,Amphetamines,Barbiturates , Ketamine ,"Anabolic 
steroids", Benzodiazepines , GHB , Temazepam 
Cleveland,21.69,0.20,4.37,4.90,0.03,2.29,0.37,49.41,12.44,3556.00,6.07,0.00,0.15,2.23,5.05,0.00,0.07
Durham,0.76,0.03,2.23,0.33,0.03,0.83,0.29,11.79,0.31,3889.00,3.89,0.00,0.00,0.17,1.77,0.00,0.23
Northumbria,7.49,0.08,32.54,0.84,0.04,1.24,0.39,67.27,10.19,19547.00,85.94,0.01,0.19,1.51,18.29,0.00,0.07
Cheshire,0.18,0.04,1.57,0.06,0.03,0.00,0.01,2.70,3.79,1125.00,0.05,0.00,0.01,0.60,0.21,0.00,0.00
Cumbria,0.24,0.79,0.13,0.91,0.17,0.00,0.00,15.94,0.76,588.00,0.28,0.00,0.01,0.00,8.26,0.00,0.14
Greater Manchester,42.29,3.28,25.75,25.58,0.07,0.01,0.45,278.05,676.04,22929.00,128.03,0.00,0.35,0.94,48.07,0.00,0.00
Lancashire,0.89,0.06,0.53,0.23,0.00,0.00,0.02,7.04,0.55,4916.00,0.11,0.00,0.00,0.09,0.61,0.00,0.00
Merseyside,159.79,0.28,0.00,13.14,0.00,0.09,0.00,20.34,125.51,25608.00,30.08,0.00,0.02,1.49,0.65,0.00,0.00
Humberside,1.02,0.74,0.57,17.18,0.00,0.07,0.08,26.56,0.24,2625.00,1.24,0.00,0.00,0.58,3.24,0.00,0.01
North Yorkshire,0.09,0.02,0.39,0.08,0.00,0.00,0.00,5.44,0.36,1568.00,0.11,0.00,0.00,0.05,1.97,0.00,0.01
South Yorkshire,9.77,1.85,1.41,26.88,0.01,1.24,0.01,193.91,33.85,13203.00,2.83,0.00,0.90,4.66,3.35,0.00,0.02
West Yorkshire,0.40,0.11,0.28,0.09,0.01,0.64,0.05,23.74,1.37,9276.00,0.11,0.00,0.01,1.42,0.37,0.00,0.00
Derbyshire,1.14,0.83,0.68,0.96,0.01,5.15,1.04,85.52,0.26,9901.00,5.31,0.00,0.01,6.94,2.58,0.02,0.17
Leicestershire,5.63,1.12,2.05,7.04,0.02,0.25,0.46,90.88,1.46,22712.00,4.59,0.00,0.00,12.36,0.89,0.00,0.04
Lincolnshire,0.75,0.07,1.16,0.37,0.00,0.64,0.02,1.06,0.06,242.00,0.24,0.00,0.20,10.18,6.19,9.02,0.00
Northamptonshire,0.06,0.01,0.00,0.04,0.00,0.01,0.02,14.43,0.27,529.00,0.04,0.00,0.00,0.00,0.05,0.00,0.00
Nottinghamshire,4.47,0.63,2.73,0.87,0.05,6.02,0.01,65.23,2.81,9706.00,5.09,0.00,0.00,0.90,2.04,0.00,0.03
Staffordshire,15.93,0.61,6.75,1.06,0.01,0.24,0.00,127.56,94.37,7430.00,2.04,0.00,0.01,3.39,0.28,0.00,0.00
Warwickshire,4.29,0.16,0.31,0.19,0.00,0.02,0.17,16.28,0.37,1137.00,0.36,0.00,0.00,0.76,0.46,0.00,0.00
West Mercia,1.86,1.13,0.94,0.74,0.02,5.73,0.34,43.29,2.48,5702.00,1.45,0.00,0.03,5.32,2.60,0.00,0.02
West Midlands,2.02,0.69,0.62,1.65,0.00,0.48,0.31,58.23,1.88,34604.00,0.14,0.00,0.00,0.18,0.09,0.00,0.00
Bedfordshire ,1.13,0.14,0.30,0.56,0.00,0.16,0.00,486.54,83.25,2635.00,165.00,0.00,42.00,0.00,0.04,0.00,0.00
Cambridgeshire,4.31,0.22,1.08,0.79,0.01,1.88,0.00,48.46,0.33,8811.00,0.19,0.00,2.69,0.35,0.55,0.00,0.01
Essex,15.85,0.96,0.38,1.08,0.00,0.05,0.00,49.03,10.10,6602.00,19.11,0.00,0.06,0.00,0.56,0.00,0.00
Hertfordshire,2.51,0.01,1.19,1.43,0.00,0.00,0.00,28.37,0.18,3463.00,0.40,0.00,0.00,0.00,0.13,0.00,0.00
Norfolk,0.55,0.15,0.36,0.39,0.01,1.67,0.00,31.32,0.56,2157.00,0.33,0.00,0.10,0.10,0.69,0.00,0.00
Suffolk,0.01,0.06,0.05,0.03,0.00,0.00,0.00,17.81,0.38,1493.00,0.06,0.00,0.00,0.00,0.01,0.00,0.00
"London, City of",0.90,0.00,0.14,0.00,0.00,1.87,0.00,2.11,1.25,17.00,0.01,0.00,0.00,0.00,0.01,0.00,0.00
Metropolitan Police,633.21,12.21,106.51,103.60,0.14,2.73,0.03,893.45,211.93,19380.00,13.39,0.04,6.63,0.00,1.03,0.01,0.02
Hampshire ,7.00,1.51,4.41,5.05,0.01,0.98,0.35,211.64,17.14,2133.00,0.00,0.00,0.24,0.54,0.92,0.01,0.00
Kent,5.00,0.00,2.46,0.00,0.00,0.01,0.00,19.00,3.00,4015.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
Surrey,1.72,0.26,0.40,0.24,0.00,0.14,0.00,8.11,0.32,157.00,0.04,0.00,0.03,0.14,3.35,0.00,0.03
Sussex,13.13,2.04,4.60,0.97,0.16,1.35,1.51,112.29,97.12,26019.00,7.95,0.02,0.09,1.15,6.78,0.22,0.03
Thames Valley,0.93,0.69,0.25,0.84,0.07,0.00,0.00,19.46,0.60,4098.00,0.00,0.00,0.00,0.00,53.27,0.00,0.00
Avon & Somerset,9.58,1.43,4.06,9.68,0.06,3.16,0.01,52.65,2.14,5881.00,11.68,0.00,0.51,0.89,2.62,0.00,0.01
Devon & Cornwall,3.38,1.94,4.11,7.30,0.00,9.87,0.57,75.36,5.48,6181.00,2.86,0.00,0.08,0.53,14.64,0.00,0.03
Dorset,4.10,0.49,3.87,0.83,0.00,0.28,0.04,53.81,4.62,2941.00,0.29,0.01,0.02,0.04,0.63,0.00,0.02
Gloucestershire,1.48,1.66,0.76,2.02,0.00,0.08,0.01,8.58,0.77,931.00,0.35,0.00,0.06,0.42,4.64,0.00,0.02
Wiltshire,1.71,0.26,1.73,0.35,0.01,0.08,1.20,20.98,0.40,889.00,0.69,0.00,0.00,1.49,7.50,0.00,0.00
British Transport Police,11.85,0.10,4.20,0.23,0.02,0.62,0.00,28.70,2.52,532.00,0.51,0.00,0.73,0.00,0.76,0.56,0.00
Border Force,4503.26,1.13,264.63,537.26,0.66,,0.06,8369.64,4414.30,17.00,710.79,,2.65,4995.35,,0.00,
