Police force,All drugs,Cocaine,Crack,Ecstasy,Heroin,LSD,Methadone,Morphine,Other Class A,Total Class A,All Cannabis,Amphetamines,Barbiturates,Ketamine,"Mephedrone
(non-injection)",Other Class B,Total Class C,Anabolic-steroids,Benzodiazepines,GHB,Temazepam,Other Class C,Total Class C,Unknown
Cleveland,1935,256,37,18,136,0,19,1,7,446,1120,139,0,0,7,12,1243,19,73,0,5,74,159,293
Durham,1569,134,1,24,63,4,5,2,5,231,946,106,0,1,6,2,1041,8,52,0,10,10,77,340
Northumbria,4044,485,51,60,283,0,20,10,8,870,2469,343,0,9,85,31,2839,9,218,0,10,52,275,319
Cheshire,653,122,18,45,32,1,1,0,10,195,394,19,0,8,5,23,442,2,12,1,0,11,24,46
Cumbria,942,150,16,45,98,1,4,3,1,294,565,70,0,4,11,2,632,3,54,0,2,10,67,9
Greater Manchester,4693,707,95,123,259,2,12,3,5,1058,3645,195,0,11,8,2,3818,17,23,3,2,35,80,0
Lancashire,1877,223,50,22,127,0,2,3,5,397,1417,92,0,3,1,0,1495,1,11,0,6,5,22,0
Merseyside,1629,338,126,66,187,1,6,0,35,685,768,52,0,36,13,164,984,17,15,0,0,30,60,0
Humberside,1390,149,64,28,126,0,7,2,5,348,878,67,0,1,57,5,986,9,100,0,0,21,127,14
North Yorkshire,1789,97,5,16,71,0,3,1,7,194,1128,25,0,2,8,2,1160,5,31,1,1,8,43,518
South Yorkshire,4175,339,203,70,218,0,29,7,51,801,2904,183,0,23,65,56,3161,27,23,0,6,56,111,430
West Yorkshire,4604,348,144,46,208,3,22,2,14,709,3286,128,0,9,0,11,3394,24,30,0,3,19,75,943
Derbyshire,2858,374,74,53,200,3,17,11,25,686,1983,164,0,6,145,14,2234,22,46,3,4,58,126,0
Leicestershire,1069,156,41,13,94,3,8,1,5,267,1067,30,0,1,0,131,1180,7,13,0,1,5,25,5
Lincolnshire,271,34,14,26,40,0,4,2,8,104,80,39,0,14,0,71,178,8,8,0,0,14,27,10
Northamptonshire,2091,38,5,4,17,3,8,1,6,79,1374,13,0,1,0,2,1387,4,17,0,1,11,33,719
Nottinghamshire,4006,596,64,76,174,2,9,1,19,866,2975,213,0,5,0,69,3188,35,27,1,0,17,78,194
Staffordshire,2631,339,70,53,201,1,7,2,10,599,1795,88,0,3,120,46,2001,52,21,1,0,113,174,1
Warwickshire,1234,129,37,12,37,1,7,1,2,202,912,26,0,1,8,5,939,3,4,0,1,9,17,162
West Mercia,3447,231,100,33,185,3,27,9,8,533,2531,60,0,6,38,13,2615,18,37,1,3,52,108,476
West Midlands,5997,740,243,36,367,2,25,3,6,1293,4765,76,5,3,27,23,4870,4,12,0,2,40,57,0
Bedfordshire,1210,177,69,11,41,2,12,1,11,300,930,12,0,6,0,4,944,4,3,0,1,19,26,0
Cambridgeshire,1985,194,37,42,92,1,4,0,6,365,1551,60,0,23,5,7,1631,6,17,0,0,24,47,0
Essex,2575,338,142,43,130,0,9,0,16,576,2008,65,0,0,0,35,2071,0,0,0,0,14,16,1
Hertfordshire,3276,454,5,20,118,0,1,0,7,560,2521,60,0,0,0,0,2571,0,2,0,0,0,2,221
Norfolk,1767,168,28,23,111,2,13,3,6,323,1425,65,0,16,4,2,1493,5,19,0,0,8,31,0
Suffolk,1343,56,31,20,42,2,4,4,8,149,968,28,0,11,8,3,1008,1,7,0,0,7,15,206
"London, City of",328,107,0,12,4,0,0,1,0,117,214,7,0,1,2,1,220,0,1,0,0,5,6,5
Metropolitan Police,37625,3086,1554,418,1490,21,78,2,118,6030,31833,484,1,52,77,39,32310,10,36,31,0,139,211,706
Hampshire,2965,219,50,102,91,8,2,1,60,511,2509,0,0,9,0,22,2531,5,17,0,1,5,27,0
Kent,3841,329,94,55,177,3,6,2,16,626,2827,126,0,5,4,0,2928,3,3,0,0,0,6,536
Surrey,1144,266,26,44,70,0,2,0,9,365,801,35,0,9,11,8,849,2,18,0,2,3,22,13
Sussex,5352,965,294,268,423,10,36,16,68,1830,3460,161,0,33,27,102,3693,34,105,13,12,47,197,194
Thames Valley,4405,454,148,95,257,4,13,2,160,1004,3169,1,0,25,0,16,3205,1,36,0,2,27,65,368
Avon and Somerset,4120,517,325,231,455,4,16,10,25,1172,2855,126,0,53,31,68,3023,20,88,0,4,105,198,155
Devon and Cornwall,2582,207,60,90,271,0,55,6,9,597,1988,107,0,19,8,7,2072,0,109,0,4,29,133,4
Dorset,2206,168,105,53,179,2,5,0,9,399,1704,67,1,17,23,30,1805,11,40,0,4,32,79,93
Gloucestershire,1392,132,68,44,72,2,2,1,14,302,1021,65,1,7,26,6,1103,7,34,0,2,14,55,0
Wiltshire,1530,172,145,30,205,1,5,5,59,604,674,4,1,7,0,19,704,22,18,1,1,8,50,196
British Transport Police,1468,155,1,41,55,0,7,0,9,240,1154,31,0,16,16,12,1211,4,25,1,0,19,46,29
Border Force,5305,555,2,236,94,2,0,4,538,1396,2243,63,,47,28,185,2559,465,,0,,954,1399,0
