year,Cocaine,Crack,Ecstasy,Heroin,LSD,Methadone,Morphine,Other Class A,All Class A,Herbal cannabis,Cannabis resin,Cannabis plants,Total Cannabis,Amphetamines,Barbiturates,Ketamine,Mephedrone (non-injection),Other Class B,All Class B,Anabolic steroids,Benzodiazepines,GHB,Temazepam,Other Class C,All Class C,Unknown,Total
2009,24659,6623,5218,13302,132,1069,117,638,47727,145353,35795,9380,186147,7760,25,1269,0,600,193687,805,4038,47,609,1088,6350,2645,241473
2010,21377,5081,3724,12836,102,1036,112,684,41268,144456,24339,12920,176830,7302,28,1612,35,342,183995,871,2957,59,285,991,5045,3061,224401
2011,17710,5385,2537,10821,95,1067,114,913,35264,139237,18312,14423,167410,7185,22,1793,1948,797,176591,675,2489,66,250,2595,5950,3685,212786
2012,17597,4985,3200,9182,90,880,115,821,33643,149371,14207,16590,175264,6774,13,1543,2461,787,184267,709,2696,45,230,2010,5566,4030,218705
2013,16758,4597,3224,8573,70,835,129,1519,32667,138167,8336,14832,157208,5935,17,1527,3850,1100,166944,854,2085,61,143,1680,4802,5041,200880
2014,16913,4762,3245,8682,89,761,166,1560,32847,131257,6864,14728,149087,6239,10,1639,3073,1303,158732,1143,2107,41,127,2275,5618,6060,194346
2015,15815,4132,3018,7892,105,686,173,1076,29705,110626,5339,11612,124408,5530,9,558,2325,1493,132327,1057,2122,75,110,3098,6244,7375,167132
2016,15588,4718,2906,8050,98,547,136,1462,29949,97218,5429,9578,109527,4418,10,591,1031,1311,115187,933,1964,64,99,2279,5128,7354,148614
2017,14892,5484,3174,8092,139,498,189,1301,29807,87588,6078,8753,99779,3820,12,572,202,1218,104300,1040,1945,37,63,2185,5016,8715,139019
2018,15250,5451,3190,7470,145,463,189,1119,29090,86058,6964,7650,98025,3497,6,725,67,2714,103597,949,1989,51,49,2281,5092,8678,136439
2019,17038,6561,3147,8444,200,407,204,1774,32753,95549,6583,8663,108362,3664,15,959,63,3554,115047,754,2249,68,52,2383,5282,11489,153135
