,Cocaine,Crack,Heroin,Herbal Cannabis,Cannabis Resin,Amphetamines,Ecstasy,LSD,Methadone,Morphine,Cannabis Plants
Class,A,A,A,B,B,B,A,A,A,A,B
Seizures,17449,4971,9150,147384,14178,6693,3181,90,890,115,16386
<1g,10930,3177,6160,37623,2429,3064,,,,,
1g-500g,5965,1786,2831,108310,11541,3488,,,,,
500g-1kg,160,5,57,450,57,43,,,,,
1kg-10kg,343,3,76,774,99,78,,,,,
10kg-100kg,38,0,21,198,23,10,,,,,
>100kg,2,0,4,25,28,2,,,,,
Total kg,3456.30,34.34,1848.58,21999.57,19471.38,1042.44,,,,,
Average kg,198.08,6.91,202.03,149.27,1373.35,155.75,,,,,
1-50 doses,,,,,,,2953,75,597,95,14590
51-100 doses,,,,,,,99,3,115,6,714
101-500 doses,,,,,,,82,6,155,7,897
501-1000 doses,,,,,,,12,3,13,2,140
1001-10000 doses,,,,,,,24,1,10,0,44
10000- doses,,,,,,,3,2,0,0,1
Total doses,,,,,,,656.30,3.94,86.82,39.74,612373.00
Average doses,,,,,,,206.32,43.72,97.55,345.61,37.37
