,Cocaine,Crack,Heroin,Herbal Cannabis,Cannabis Resin,Amphetamines,Ketamine,Ecstasy,LSD,Methadone,Morphine,Cannabis Plants,Anabolic steroids
Class,A,A,A,B,B,B,B,A,A,A,A,B,C
Seizures,15588,4718,8050,97218,5429,4418,530,2906,98,547,136,9578,933
<1g,9739.51,2888.59,5092.86,21945.49,842.09,2264.39,255.65,,,,,,
1g-500g,5445.63,1820.84,2834.53,73744.46,4484.34,2003.16,249.24,,,,,,
500g-1kg,79.19,4.25,31.13,338.58,23.50,30.08,5.05,,,,,,
1kg-10kg,244.73,3.25,72.13,924.22,58.86,69.58,9.05,,,,,,
10kg-100kg,57.95,1.08,17.36,205.41,15.18,19.71,1.00,,,,,,
>100kg,5.00,0.00,1.00,45.83,4.03,2.08,0.00,,,,,,
Total kg,4227.79,41.98,805.96,30492.75,7034.75,458.89,56.03,,,,,,
Average kg,271.22,8.90,100.12,313.65,1295.77,103.87,105.71,,,,,,
1-50 doses,,,,,,,,2506.66,92.69,384.93,104.55,8445.77,386.38
51-100 doses,,,,,,,,119.06,1.08,73.57,16.23,512.96,89.61
101-500 doses,,,,,,,,105.78,1.00,68.24,13.18,539.80,115.78
501-1000 doses,,,,,,,,23.49,3.24,13.86,2.03,51.61,26.25
1001-10000 doses,,,,,,,,27.75,0.00,6.40,0.00,27.87,62.49
10000- doses,,,,,,,,3.26,0.00,0.00,0.00,0.00,32.49
Total doses,,,,,,,,801.29,2.32,47.47,6.93,393702.00,4949.04
Average doses,,,,,,,,275.74,23.67,86.78,50.99,41.10,5304.44
