year,Cleveland,Durham,Northumbria,Cheshire,Cumbria,Greater Manchester,Lancashire,Merseyside,Humberside,North Yorkshire,South Yorkshire,West Yorkshire,Derbyshire,Leicestershire,Lincolnshire,Northamptonshire,Nottinghamshire,Staffordshire,Warwickshire,West Mercia,West Midlands,Bedfordshire,Cambridgeshire,Essex,Hertfordshire,Norfolk,Suffolk,City of London,Metropolitan Police,Hampshire,Kent,Surrey,Sussex,Thames Valley,Avon and Somerset,Devon and Cornwall,Dorset,Gloucestershire,Wiltshire,Central Service secondments,British Transport Police
2009,316.63,259.63,291.74,213.56,256.47,311.83,258.32,327.61,231.13,185.06,230.63,266.38,211.91,236.49,174.24,194.06,198.17,203.34,183.26,203.93,321.4,207.11,184.63,204.42,198.07,197.14,179.76,10887.18,437.03,203.88,224.04,168.13,202.01,206.52,212.32,214.92,206.92,232.27,183.14,0.97,5.05
2010,312.03,251.21,292.49,211.02,252.36,308.57,254.69,327.6,227.23,185.28,225.21,262.33,207.27,232.09,170.79,194.51,196.72,199.8,181.58,200.12,319.05,204.99,182.41,207.39,194.76,195.88,175.61,11249.93,437.44,200.16,222.46,166.07,201.4,207.74,208.67,214.13,202.65,225.85,177.88,0.94,5.07
2011,303.4,237.18,291.77,206.8,242.62,296.84,242.85,319.32,218.26,183.39,218.72,253.92,201.74,222.14,168.1,191.45,192.15,192.89,173.26,189.13,307.33,199.99,178.08,208.61,186.65,189.7,171.76,11729.76,427.16,194.68,215.56,165.55,196.66,206.63,203.44,209.75,197.54,215.35,166.58,0.94,5.0
2012,283.68,224.86,281.69,197.99,231.07,283.13,230.53,302.28,206.63,178.17,209.35,239.82,187.41,212.27,163.06,180.98,179.93,182.78,160.61,179.56,289.26,189.89,169.8,200.57,178.21,181.7,165.1,12919.84,411.39,186.0,204.86,169.57,186.56,202.61,193.03,197.55,188.98,205.16,156.13,0.87,4.86
2013,266.82,219.3,268.8,194.78,225.6,270.54,221.63,287.85,197.34,172.13,203.98,227.73,177.31,204.35,156.65,175.8,170.28,170.91,150.19,172.74,277.14,177.89,167.6,190.9,172.58,176.77,160.58,13339.74,396.68,178.06,193.18,171.12,177.31,199.74,181.23,186.15,177.58,199.36,152.21,0.77,4.86
2014,254.01,212.11,258.6,188.92,227.19,259.67,212.77,281.17,187.41,171.2,201.19,218.94,174.87,197.81,150.74,175.14,168.8,160.82,144.98,163.13,265.61,163.82,165.78,183.02,168.37,177.61,162.58,12345.17,382.83,171.48,183.67,167.62,171.22,197.75,172.04,180.18,166.11,195.05,148.17,0.73,5.18
2015,240.09,195.28,248.28,184.32,230.91,248.65,201.76,276.63,178.54,172.7,193.4,210.81,174.3,188.91,148.81,171.25,166.97,153.4,145.13,157.03,253.73,162.15,163.11,174.08,164.08,177.85,159.01,11110.96,387.34,161.54,179.56,161.67,168.09,197.57,164.84,179.02,161.72,190.25,144.61,0.71,5.29
2016,230.2,182.6,237.23,188.56,226.55,233.55,195.93,260.18,170.71,166.66,183.32,200.97,174.2,178.31,145.67,167.55,158.77,150.54,150.16,163.33,245.25,163.41,161.21,164.7,162.46,173.47,148.17,9930.03,388.66,150.92,174.49,159.64,162.32,193.39,160.15,174.13,162.19,180.55,141.63,0.56,5.38
2017,226.1,179.06,227.53,190.64,222.81,224.55,190.02,250.64,170.8,165.23,177.93,199.07,165.07,167.87,142.97,162.4,146.85,144.93,149.01,163.11,236.77,163.96,158.71,155.97,163.43,168.25,145.63,9032.01,384.83,146.16,175.26,163.65,154.02,186.27,158.17,167.45,160.41,172.22,138.56,0.66,5.16
2018,223.91,180.12,222.14,189.32,221.44,224.04,192.86,245.3,182.39,163.63,176.16,209.19,164.17,163.19,144.32,159.63,143.14,141.78,143.9,157.2,227.12,168.62,158.78,157.02,164.49,169.39,146.09,7879.28,370.82,144.22,176.46,167.78,150.37,180.67,153.74,166.34,164.25,169.21,136.24,0.69,5.1
2019,215.51,177.97,213.95,188.43,228.57,225.5,193.27,239.05,199.0,164.24,170.85,218.14,164.83,162.73,144.52,159.98,147.93,139.75,139.83,151.87,223.48,169.97,165.54,162.25,166.55,174.97,150.83,7441.72,361.39,138.45,181.84,161.7,151.02,180.09,153.48,168.0,159.85,168.3,137.19,0.64,5.2
2020,219.56,177.09,212.24,190.74,236.98,233.33,194.23,247.4,205.68,172.6,170.35,223.6,170.32,169.99,141.84,164.35,150.76,141.23,161.32,163.53,220.99,178.65,174.57,172.5,171.63,180.6,156.33,7718.44,371.77,134.81,194.98,159.08,155.61,186.03,158.43,171.1,158.95,176.2,137.29,0.6,5.21
