year,England,East of England,East Midlands,London,North East,North West,South East,South West,West Midlands,Yorkshire and the Humber,British Transport Police,Central Service secondments
2009,139544.34,11309.49,9464.09,33423.85,7455.19,19943.489999999998,16994.58,11023.21,14311.470000000001,12477.369999999999,2637.5,504.1
2010,139752.54,11362.160000000002,9408.54,33942.43,7420.74,19857.239999999998,17065.15,10918.5,14259.199999999999,12356.93,2666.75,494.9
2011,137379.49000000002,11252.490000000002,9218.369999999999,33771.93,7302.83,19269.18,16885.66,10664.62,13800.67,12063.920000000002,2653.22,496.6
2012,132297.72000000003,10853.29,8770.3,32933.4,6989.49,18414.47,16470.93,10171.829999999998,13093.43,11538.07,2599.31,463.2
2013,127993.14,10534.32,8439.74,32128.63,6698.44,17731.66,16045.849999999999,9710.119999999999,12563.060000000001,11104.68,2619.63,417.01
2014,125039.08000000002,10378.79,8350.34,31411.52,6456.39,17234.47,15713.32,9397.74,12069.91,10815.73,2812.9,397.97
2015,123778.29,10211.76,8257.53,32206.97,6138.86,16780.5,15453.55,9253.59,11671.52,10515.8,2900.4,387.81
2016,121935.81999999998,9984.289999999999,8071.83,32651.3,5871.92,16182.09,15078.71,9088.789999999999,11625.28,10097.78,2972.97,310.86
2017,119948.26,9817.359999999999,7728.99,32499.420000000002,5704.08,15788.1,14830.76,8920.52,11409.18,10014.7,2868.42,366.73
2018,118988.58,9947.16,7663.0599999999995,31612.22,5648.14,15791.96,14760.93,8884.3,11064.8,10374.01,2857.38,384.62
2019,119046.29000000002,10277.86,7783.260000000001,31044.04,5492.1,15881.68,14746.970000000001,8916.25,10902.02,10712.650000000001,2927.97,361.49
2020,122012.20999999999,10756.51,7970.9,31942.02,5484.45,16304.32,15100.87,9100.31,11120.78,10964.470000000001,2930.96,336.62
