,Police Force,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Cleveland,1756.19,1734.03,1691.27,1584.2,1494.1,1425.3,1349.92,1299.77,1280.06,1271.16,1226.53
1,Durham,1588.06,1546.59,1467.14,1393.58,1363.3,1322.38,1221.2,1146.89,1128.07,1141.15,1133.49
2,Northumbria,4110.94,4140.12,4144.42,4011.71,3841.04,3708.71,3567.74,3425.26,3295.95,3235.83,3132.08
3,Cheshire,2180.04,2162.37,2127.38,2043.62,2016.61,1964.88,1924.61,1978.56,2009.62,2005.42,2009.89
4,Cumbria,1284.35,1262.24,1212.68,1153.51,1124.63,1132.27,1151.25,1130.0,1110.42,1104.72,1142.88
5,Greater Manchester,8231.88,8213.53,7971.39,7648.44,7341.21,7089.42,6847.76,6494.65,6284.62,6301.32,6394.4
6,Lancashire,3753.15,3711.6,3548.7,3377.9,3253.41,3129.61,2979.84,2907.27,2832.26,2889.68,2916.27
7,Merseyside,4494.07,4507.5,4409.03,4191.0,3995.8,3918.29,3877.04,3671.61,3551.18,3490.82,3418.24
8,Humberside,2110.43,2079.77,2003.7,1903.2,1819.38,1731.42,1651.79,1585.02,1588.22,1700.06,1856.25
9,North Yorkshire,1459.76,1471.27,1465.23,1430.82,1388.79,1383.96,1401.98,1360.74,1354.56,1348.97,1361.05
10,South Yorkshire,3053.22,3001.71,2939.19,2831.16,2771.05,2748.39,2660.18,2539.77,2479.32,2471.38,2407.3
11,West Yorkshire,5853.96,5804.18,5655.8,5372.89,5125.46,4951.96,4801.85,4612.25,4592.6,4853.6,5088.05
12,Derbyshire,2136.73,2103.79,2057.03,1919.63,1822.67,1805.92,1807.42,1816.78,1731.61,1729.27,1747.17
13,Leicestershire,2363.39,2341.5,2262.2,2176.55,2111.63,2064.0,1994.46,1906.02,1818.43,1783.92,1790.55
14,Lincolnshire,1229.45,1215.68,1201.49,1172.73,1134.94,1103.27,1097.22,1084.95,1073.95,1090.84,1100.15
15,Northamptonshire,1326.3,1338.25,1328.59,1267.47,1240.51,1249.36,1236.69,1227.24,1203.73,1193.42,1205.1
16,Nottinghamshire,2408.22,2409.32,2369.06,2233.92,2129.99,2127.79,2121.74,2036.84,1901.27,1865.61,1940.29
17,Staffordshire,2210.6,2183.09,2118.48,2013.93,1891.98,1786.43,1708.71,1686.15,1632.2,1603.6,1587.46
18,Warwickshire,993.52,988.08,946.95,880.67,825.34,800.92,805.72,839.4,841.24,821.68,808.14
19,West Mercia,2470.84,2435.64,2315.22,2209.88,2136.38,2029.77,1965.23,2059.8,2075.82,2015.69,1961.55
20,West Midlands,8636.51,8652.39,8420.02,7988.95,7709.36,7452.79,7191.86,7039.93,6859.92,6623.83,6544.87
21,Bedfordshire,1243.89,1247.54,1234.19,1185.81,1125.62,1051.75,1057.86,1080.89,1089.65,1128.66,1147.3
22,Cambridgeshire,1449.74,1453.15,1436.68,1379.67,1369.77,1368.77,1362.23,1356.29,1344.52,1353.6,1416.67
23,Essex,3484.36,3562.17,3607.14,3493.93,3350.47,3249.42,3117.05,2976.01,2839.25,2877.87,2996.22
24,Hertfordshire,2172.0,2157.24,2090.12,2012.56,1968.43,1943.33,1912.1,1911.12,1929.98,1948.12,1981.09
25,Norfolk,1668.48,1670.71,1630.29,1571.44,1538.42,1558.36,1573.52,1546.93,1511.56,1530.74,1588.27
26,Suffolk,1291.02,1271.35,1254.07,1209.88,1181.61,1207.16,1189.0,1113.05,1102.4,1108.17,1148.31
27,"London, City of",813.49,825.52,869.41,854.26,804.52,757.87,742.99,719.53,691.31,685.97,723.41
28,Metropolitan Police,32610.36,33116.91,32902.52,32079.14,31324.11,30653.65,31463.98,31931.77,31808.11,30926.25,30320.63
29,Hampshire,3810.62,3776.03,3702.4,3562.34,3428.16,3325.22,3155.46,2971.66,2892.26,2863.9,2757.56
30,Kent,3798.64,3814.48,3732.08,3581.57,3407.32,3273.88,3228.91,3171.19,3211.27,3258.23,3382.38
31,Surrey,1872.46,1869.66,1879.58,1939.98,1974.9,1951.31,1895.39,1885.3,1939.81,1996.5,1934.33
32,Sussex,3195.72,3214.99,3164.35,3027.51,2900.44,2828.06,2803.18,2732.83,2607.27,2562.09,2585.53
33,Thames Valley,4317.14,4389.99,4407.25,4359.53,4335.03,4334.85,4370.61,4317.73,4180.15,4080.21,4087.17
34,Avon and Somerset,3355.48,3318.54,3258.5,3119.49,2956.44,2832.57,2745.1,2694.98,2681.04,2631.18,2638.3
35,Devon and Cornwall,3555.62,3558.03,3505.95,3324.47,3150.94,3075.15,3079.44,3017.66,2928.79,2931.55,2977.94
36,Dorset,1511.55,1495.71,1472.31,1416.86,1338.47,1258.82,1233.14,1244.45,1236.25,1268.48,1237.02
37,Gloucestershire,1371.51,1341.76,1288.42,1235.51,1208.05,1193.18,1174.87,1124.97,1081.76,1072.06,1072.2
38,Wiltshire,1229.05,1204.46,1139.44,1075.5,1056.22,1038.02,1021.04,1006.73,992.68,981.03,990.79
39,Central Service secondments,504.1,494.9,496.6,463.2,417.01,397.97,387.81,310.86,366.73,384.62,361.49
40,British Transport Police,2637.5,2666.75,2653.22,2599.31,2619.63,2812.9,2900.4,2972.97,2868.42,2857.38,2927.97
