,Police Force,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Cleveland,0,19.25,34.83,64.46,33.0,41.0,28.89,36.05,20.36,12.74,29.65
1,Durham,0,40.5,38.04,34.75,1.83,37.08,60.87,28.32,14.76,2.97,13.44
2,Northumbria,0,41.01,42.31,90.79,85.73,55.24,69.29,89.28,36.82,57.7,46.98
3,Cheshire,0,15.39,41.78,34.08,7.51,44.54,27.84,29.83,1.74,16.07,9.13
4,Cumbria,0,23.14,29.66,27.45,3.51,15.75,8.93,12.58,7.93,8.94,42.4
5,Greater Manchester,0,58.96,178.37,146.41,149.08,103.89,147.23,203.02,41.19,57.87,47.48
6,Lancashire,0,54.98,100.63,63.81,63.12,64.38,83.06,42.57,39.54,68.91,46.22
7,Merseyside,0,11.83,109.78,106.98,86.99,32.29,80.23,119.95,11.93,44.31,28.33
8,Humberside,0,27.42,52.78,48.03,43.67,35.96,44.69,27.2,49.7,82.23,53.99
9,North Yorkshire,0,13.19,18.03,28.27,16.64,20.62,6.56,29.66,20.04,28.81,14.02
10,South Yorkshire,0,50.37,45.85,58.34,3.74,23.38,68.25,46.31,17.41,12.17,46.2
11,West Yorkshire,0,47.95,111.86,158.88,82.83,103.47,54.62,125.01,113.92,148.8,65.08
12,Derbyshire,0,31.31,31.59,101.03,4.25,19.59,49.02,48.69,30.11,16.59,16.81
13,Leicestershire,0,23.26,52.97,34.77,27.18,23.21,45.09,47.78,35.55,16.14,33.81
14,Lincolnshire,0,12.19,4.86,29.7,6.48,23.49,5.63,13.78,12.61,6.74,15.63
15,Northamptonshire,0,10.48,19.43,36.43,24.66,15.93,6.48,12.02,14.08,19.27,15.47
16,Nottinghamshire,0,1.25,45.7,77.41,36.72,31.57,31.45,64.19,68.44,44.76,25.52
17,Staffordshire,0,25.22,41.31,65.53,59.35,51.98,22.87,27.0,24.89,19.18,18.94
18,Warwickshire,0,13.29,26.96,37.67,19.47,4.59,20.42,13.9,10.19,14.46,8.03
19,West Mercia,0,40.69,70.68,35.86,52.01,60.84,49.43,39.6,19.03,40.54,35.24
20,West Midlands,0,36.82,245.15,161.4,107.3,163.64,83.95,94.52,95.52,116.77,44.83
21,Bedfordshire,0,4.43,17.35,28.63,32.67,37.09,34.25,7.26,26.64,8.82,16.75
22,Cambridgeshire,0,16.72,37.12,16.83,18.94,15.76,8.01,6.79,4.94,26.46,31.95
23,Essex,0,67.56,31.17,84.09,51.22,58.31,68.67,88.37,47.45,71.88,64.72
24,Hertfordshire,0,23.9,40.79,32.63,15.47,14.53,13.83,17.24,21.77,6.96,28.44
25,Norfolk,0,9.84,32.12,25.55,12.39,20.4,7.12,28.69,5.61,23.43,27.08
26,Suffolk,0,23.18,15.66,34.73,11.22,16.45,39.67,30.72,15.78,16.51,22.65
27,"London, City of",0,23.09,14.96,23.89,28.5,14.6,3.55,18.66,9.3,10.79,22.69
28,Metropolitan Police,0,438.7,462.84,395.56,876.1,267.51,483.9,172.73,304.79,565.54,161.34
29,Hampshire,0,31.97,44.93,115.22,28.74,75.03,91.71,90.39,8.01,30.49,70.38
30,Kent,0,37.84,60.24,84.71,87.81,46.72,39.92,24.73,41.43,3.31,151.73
31,Surrey,0,21.48,13.59,47.99,5.79,16.51,38.64,45.36,45.46,11.7,56.44
32,Sussex,0,20.12,56.72,71.94,56.16,20.93,7.68,72.42,51.33,21.67,40.35
33,Thames Valley,0,63.58,29.92,13.85,17.42,11.82,28.4,64.32,76.22,14.57,54.87
34,Avon and Somerset,0,32.03,45.92,85.88,83.15,37.19,48.75,10.71,12.55,35.42,39.94
35,Devon and Cornwall,0,3.84,62.19,106.18,71.79,25.15,14.88,54.8,26.57,24.03,20.53
36,Dorset,0,13.78,17.75,37.49,38.45,41.7,33.76,24.94,25.79,6.79,22.77
37,Gloucestershire,0,31.52,24.27,26.84,9.67,5.46,11.64,37.69,12.79,16.82,1.02
38,Wiltshire,0,24.14,40.85,21.68,6.2,15.62,6.52,17.91,23.11,14.22,4.29
39,Central Service secondments,0,13.34,18.79,26.47,56.84,34.09,82.51,24.39,66.01,20.98,43.81
40,British Transport Police,0,25.76,22.73,38.3,54.34,140.55,20.09,98.57,164.53,174.99,127.27
